Model,Mut_sigma,Mut_ratio,Mut_alpha,Mut_corr,Iter,Folder,Set,Type,rho_fold,p-val_fold,rho_signed,p-val_signed,rho_ratio,p-val_ratio
Mixed,0.075,0.2,0,0,Bm020_iter1,Bp_higher_1e5,Bp_higher_WGD,All,0.5313154419384708,3.572693104858699e-182,0.3252815546377014,1.4619759931034034e-123,0.1448709359473498,3.3792602943091133e-13
Mixed,0.075,0.2,0,0,Bm020_iter1,Bp_higher_1e5,Bp_higher_WGD,True duplicates,0.2660498731688523,1.2233741042393008e-30,0.0511101154685757,0.0007934464485136,0.661662490807825,7.18241684583455e-228
No Cost,0.075,0.2,0,0,Bm020_iter1,Bp_higher_1e5,Bp_higher_WGD,All,0.4993841810214691,7.954145100147369e-158,0.2453230641579877,1.9777223841877116e-69,-0.0624357719097235,0.0017885072445087
No Cost,0.075,0.2,0,0,Bm020_iter1,Bp_higher_1e5,Bp_higher_WGD,True duplicates,0.3383866253577739,9.599526516303044e-52,0.0095322885782896,0.5279567334368707,0.1635270038019882,8.992637972622354e-13
ADS,0.075,0.2,0,0,Bm020_iter1,Bp_higher_1e5,Bp_higher_WGD,All,0.3440419619907139,2.143005630053957e-70,0.0845021919939142,2.171636862653174e-09,-0.6779009335521494,0.0
ADS,0.075,0.2,0,0,Bm020_iter1,Bp_higher_1e5,Bp_higher_WGD,True duplicates,0.2940111221637581,1.3238320591720139e-41,-0.0290424921938844,0.0508364103504907,-0.5803374361198914,2.2473274458480083e-182
Minimal,0.075,0.2,0,0,Bm020_iter1,Bp_higher_1e5,Bp_higher_WGD,All,0.329558456569353,2.0851036589113664e-64,0.0762974673384481,6.605967040665639e-08,-0.6857394791903167,0.0
Minimal,0.075,0.2,0,0,Bm020_iter1,Bp_higher_1e5,Bp_higher_WGD,True duplicates,0.2725466393197927,1.9816190752757168e-36,-0.0463329260622311,0.0017485063734544,-0.6016742345934061,3.3104513285463625e-203
Mixed,0.075,0.33,0,0,Bm033_iter2,Bp_higher_1e5,Bp_higher_WGD,All,0.5099652266824363,1.312741942897945e-165,0.2649671594302755,4.2148733163449467e-81,0.3509680981388957,2.252247164772525e-73
Mixed,0.075,0.33,0,0,Bm033_iter2,Bp_higher_1e5,Bp_higher_WGD,True duplicates,0.2823380552311715,1.7515661242413317e-35,0.0228930601521979,0.1305541265814104,0.67532508901045,2.314551800216749e-248
No Cost,0.075,0.33,0,0,Bm033_iter2,Bp_higher_1e5,Bp_higher_WGD,All,0.4449172544187607,7.957938903822763e-122,0.1962848443746294,1.3075310559378486e-44,0.2312616700258672,1.0494593093249716e-31
No Cost,0.075,0.33,0,0,Bm033_iter2,Bp_higher_1e5,Bp_higher_WGD,True duplicates,0.2973903037553583,1.3726629954324672e-40,-0.0236535643709933,0.1157075393322847,0.2790589517578596,9.444323517621422e-36
ADS,0.075,0.33,0,0,Bm033_iter2,Bp_higher_1e5,Bp_higher_WGD,All,0.3307039548646328,7.197652640275257e-65,0.0979703602153903,3.851538658189097e-12,-0.4894399426303908,9.31260682378196e-151
ADS,0.075,0.33,0,0,Bm033_iter2,Bp_higher_1e5,Bp_higher_WGD,True duplicates,0.2665781088586451,2.952663165550785e-34,-0.0372984563662806,0.01212030958072,-0.3954827479435757,1.0195181044688334e-76
Minimal,0.075,0.33,0,0,Bm033_iter2,Bp_higher_1e5,Bp_higher_WGD,All,0.312905518992883,6.505321574793146e-58,0.1165521271165731,1.3667169966186032e-16,-0.5122531866005099,2.506086679910899e-167
Minimal,0.075,0.33,0,0,Bm033_iter2,Bp_higher_1e5,Bp_higher_WGD,True duplicates,0.2577673806094578,5.456661783322571e-32,-0.018380607334942,0.2167431835216188,-0.4127175351761123,7.700778028612613e-84
Mixed,0.075,0.5,0,0,Bm05_iter3,Bp_higher_1e5,Bp_higher_WGD,All,0.4468984174877468,5.042357838524334e-123,0.2447042399671478,4.439985014681237e-69,0.4365664073866251,7.323203202716589e-117
Mixed,0.075,0.5,0,0,Bm05_iter3,Bp_higher_1e5,Bp_higher_WGD,True duplicates,0.2901737649238107,6.842661037192997e-39,0.0458021483459107,0.0022757967846458,0.6929536195099185,3.17355124231124e-277
No Cost,0.075,0.5,0,0,Bm05_iter3,Bp_higher_1e5,Bp_higher_WGD,All,0.3832390831422533,2.8525555740414435e-88,0.1408029014874469,1.468788396006246e-23,0.3266092147534744,3.157493321552308e-63
No Cost,0.075,0.5,0,0,Bm05_iter3,Bp_higher_1e5,Bp_higher_WGD,True duplicates,0.2851061068277807,2.212446092399679e-38,-0.0218464908061936,0.143648128199716,0.3069242815394428,1.6797280739630046e-44
ADS,0.075,0.5,0,0,Bm05_iter3,Bp_higher_1e5,Bp_higher_WGD,All,0.2987250272520044,1.0558570118118085e-52,0.1079326495818537,1.9719206449941775e-14,-0.3588252025000324,7.620008590689966e-77
ADS,0.075,0.5,0,0,Bm05_iter3,Bp_higher_1e5,Bp_higher_WGD,True duplicates,0.2815186177089495,1.2887429729028454e-38,-0.0206590832566921,0.1636225939312514,-0.274197139492694,1.2033002732091789e-36
Minimal,0.075,0.5,0,0,Bm05_iter3,Bp_higher_1e5,Bp_higher_WGD,All,0.2927855992296959,1.3202042462003878e-50,0.0950744615790516,1.6240127829714922e-11,-0.3466495136399222,1.654028004469096e-71
Minimal,0.075,0.5,0,0,Bm05_iter3,Bp_higher_1e5,Bp_higher_WGD,True duplicates,0.2819821437558042,3.8485868911212645e-39,-0.0386033138947085,0.0090565667876856,-0.3115766613490029,7.761715774893185e-48
Mixed,0.075,5.0,0,0,Bm5_iter3,Bp_higher_1e5,Bp_higher_WGD,All,0.4107091829568939,2.3872914615963516e-102,0.1660563742143948,3.0338891052531875e-32,0.8042034889285583,0.0
Mixed,0.075,5.0,0,0,Bm5_iter3,Bp_higher_1e5,Bp_higher_WGD,True duplicates,0.3030995298174101,7.287306741956821e-43,0.0232423493704678,0.1207935464691767,0.7776449461564984,0.0
No Cost,0.075,5.0,0,0,Bm5_iter3,Bp_higher_1e5,Bp_higher_WGD,All,0.3639040326246452,3.852529954504654e-79,-0.0820287142898435,6.297996215663806e-09,0.8170939693270352,0.0
No Cost,0.075,5.0,0,0,Bm5_iter3,Bp_higher_1e5,Bp_higher_WGD,True duplicates,0.3219456621934526,1.267678529911069e-48,-0.1060522186293397,1.2072637726831386e-12,0.7115673575992033,3.2567672879288494e-303
ADS,0.075,5.0,0,0,Bm5_iter3,Bp_higher_1e5,Bp_higher_WGD,All,0.3609791425566628,8.188963542105673e-78,0.0769156138683968,5.1670716243999774e-08,0.6719589404094306,0.0
ADS,0.075,5.0,0,0,Bm5_iter3,Bp_higher_1e5,Bp_higher_WGD,True duplicates,0.3213122764217005,5.069554268952753e-50,-0.0409227160219641,0.0058635333025026,0.5812859580949734,5.31116706573763e-184
Minimal,0.075,5.0,0,0,Bm5_iter3,Bp_higher_1e5,Bp_higher_WGD,All,0.3434184595549535,3.939690850882551e-70,0.0892286867585915,2.6079689826360077e-10,0.6534821323331412,1.931670940966748e-304
Minimal,0.075,5.0,0,0,Bm5_iter3,Bp_higher_1e5,Bp_higher_WGD,True duplicates,0.3142980511328522,5.517170721881355e-48,-0.0205401960977437,0.1664806685350395,0.5578311960243473,4.1107466417902785e-167
Mixed,0.075,4.0,0,0,Bm4_iter3,Bp_higher_1e5,Bp_higher_WGD,All,0.3886532413205186,6.101946960409654e-91,0.153881961163306,7.129764125821655e-28,0.7894863194698112,0.0
Mixed,0.075,4.0,0,0,Bm4_iter3,Bp_higher_1e5,Bp_higher_WGD,True duplicates,0.2748909008771068,2.0141586158669356e-35,-0.0040356314902064,0.7874531199439209,0.7815403309317852,0.0
No Cost,0.075,4.0,0,0,Bm4_iter3,Bp_higher_1e5,Bp_higher_WGD,All,0.3650231048036967,1.1862222415861287e-79,-0.0783238600023631,2.9316766744550274e-08,0.7949157577785214,0.0
No Cost,0.075,4.0,0,0,Bm4_iter3,Bp_higher_1e5,Bp_higher_WGD,True duplicates,0.3288086180585262,2.332087350644016e-52,-0.091720925406892,6.251516048104985e-10,0.7130518218337675,6.38782946e-315
ADS,0.075,4.0,0,0,Bm4_iter3,Bp_higher_1e5,Bp_higher_WGD,All,0.322750206136033,1.056635145483252e-61,0.0723108875087769,3.078530017718889e-07,0.5924699961071994,8.061976308873662e-237
ADS,0.075,4.0,0,0,Bm4_iter3,Bp_higher_1e5,Bp_higher_WGD,True duplicates,0.2756241959128031,1.590956535525216e-36,-0.0547770301660582,0.0002295559045542,0.5103836775276465,2.3453957534023297e-134
Minimal,0.075,4.0,0,0,Bm4_iter3,Bp_higher_1e5,Bp_higher_WGD,All,0.3111221090435375,3.05149245460788e-57,0.0850901261616244,1.6785177260833576e-09,0.6018771835323494,2.669900244676763e-246
Minimal,0.075,4.0,0,0,Bm4_iter3,Bp_higher_1e5,Bp_higher_WGD,True duplicates,0.2838085518598527,3.9051223644482855e-39,-0.0330712431951676,0.0258264505997135,0.4973299227969778,4.812050735073212e-128
Mixed,0.075,3.0,0,0,Bm3_iter3,Bp_higher_1e5,Bp_higher_WGD,All,0.3767357940377271,3.9444293486076307e-85,0.1735045893817121,4.3333733804364274e-35,0.7342835473733677,0.0
Mixed,0.075,3.0,0,0,Bm3_iter3,Bp_higher_1e5,Bp_higher_WGD,True duplicates,0.2536917279872105,3.9205257507225845e-30,0.0113074830469035,0.4503729965116197,0.7552442819938693,0.0
