Model,Parameter,Log2 fold-change
Mixed,Transcription rate,3.6682123250827505
Mixed,Transcription rate,2.191127840877725
Mixed,Transcription rate,0.40257154545573737
Mixed,Transcription rate,5.09347269383788
Mixed,Transcription rate,1.0733224365226715
Mixed,Transcription rate,1.4886445160886268
Mixed,Transcription rate,0.4796842638866484
Mixed,Transcription rate,0.6780580184009748
Mixed,Transcription rate,0.6509182920579858
Mixed,Transcription rate,3.75354197575503
Mixed,Transcription rate,0.07164524886892125
Mixed,Transcription rate,0.6126886517366025
Mixed,Transcription rate,0.09229839505524083
Mixed,Transcription rate,3.046551362783924
Mixed,Transcription rate,0.2683871255936051
Mixed,Transcription rate,0.2522379763695336
Mixed,Transcription rate,0.3297551939045435
Mixed,Transcription rate,3.462804532997404
Mixed,Transcription rate,0.6174062457652865
Mixed,Transcription rate,1.1499839049762604
Mixed,Transcription rate,0.8302330652209318
Mixed,Transcription rate,0.0472487354801448
Mixed,Transcription rate,1.9224358435657225
Mixed,Transcription rate,0.08423594069015965
Mixed,Transcription rate,1.5071093642120768
Mixed,Transcription rate,3.64244609829668
Mixed,Transcription rate,0.04548036401369254
Mixed,Transcription rate,2.9377313119011323
Mixed,Transcription rate,1.105089372449135
Mixed,Transcription rate,1.0283510961661595
Mixed,Transcription rate,1.0139152106739222
Mixed,Transcription rate,0.23421001450211415
Mixed,Transcription rate,0.008757984304425858
Mixed,Transcription rate,0.040604776267811504
Mixed,Transcription rate,1.0547811110013934
Mixed,Transcription rate,1.9804549078714706
Mixed,Transcription rate,0.12879036856220266
Mixed,Transcription rate,3.1691576134593014
Mixed,Transcription rate,0.5704562577018016
Mixed,Transcription rate,1.4450780785824835
Mixed,Transcription rate,0.7061676641178484
Mixed,Transcription rate,0.087046086385703
Mixed,Transcription rate,4.947424473577813
Mixed,Transcription rate,0.48706061636372244
Mixed,Transcription rate,0.9905134715684684
Mixed,Transcription rate,0.6414449723372988
Mixed,Transcription rate,1.2808880483139233
Mixed,Transcription rate,1.3884839494884404
Mixed,Transcription rate,3.619505058519872
Mixed,Transcription rate,2.1553066327885606
Mixed,Transcription rate,0.21987461924961663
Mixed,Transcription rate,0.04070663882969739
Mixed,Transcription rate,4.736418358870967
Mixed,Transcription rate,1.2605009048568783
Mixed,Transcription rate,0.8510776770240069
Mixed,Transcription rate,3.6010406698441764
Mixed,Transcription rate,3.9104370940783735
Mixed,Transcription rate,1.0399141818810547
Mixed,Transcription rate,0.11173526949556603
Mixed,Transcription rate,0.5400389549198515
Mixed,Transcription rate,0.2750509843514636
Mixed,Transcription rate,2.9398437885529662
Mixed,Transcription rate,4.8415078716152875
Mixed,Transcription rate,0.7242794867174274
Mixed,Transcription rate,0.3998518564634928
Mixed,Transcription rate,0.05716447715153995
Mixed,Transcription rate,3.716266382019797
Mixed,Transcription rate,0.029903643103229707
Mixed,Transcription rate,2.445290206924979
Mixed,Transcription rate,0.15108314658393085
Mixed,Transcription rate,2.092792113851906
Mixed,Transcription rate,0.00044552969031550925
Mixed,Transcription rate,0.16421022750276967
Mixed,Transcription rate,2.6413722550189633
Mixed,Transcription rate,0.7241421197619964
Mixed,Transcription rate,0.9870809486879871
Mixed,Transcription rate,0.2761247452204366
Mixed,Transcription rate,0.08133431773258948
Mixed,Transcription rate,1.7781671937059653
Mixed,Transcription rate,0.545010946388063
Mixed,Transcription rate,0.7528666762319771
Mixed,Transcription rate,0.3534784935474182
Mixed,Transcription rate,1.1948470701923772
Mixed,Transcription rate,2.6129006208499574
Mixed,Transcription rate,4.30180174781873
Mixed,Transcription rate,0.22684824595087455
Mixed,Transcription rate,0.04025864993076551
