Model,Mut_sigma,Mut_ratio,Mut_alpha,Mut_corr,Iter,Folder,Set,Comparison,Property,Type,Moods_stat,Moods_p-val,KS_stat,KS_p-val
Mixed,0.075,0.1,0,0,Bm01_iter1,Bp_higher_1e5,Bp_higher_WGD,All duplicates,Transcription rate,All,3.3160624990920424,0.0686059595450132,0.0741643031784841,0.0395073285159559
Mixed,0.075,0.1,0,0,Bm01_iter1,Bp_higher_1e5,Bp_higher_WGD,All duplicates,Transcription rate,True duplicates,50.85374001542503,9.951148005190705e-13,0.2174436294485194,2.6800856199939615e-14
Mixed,0.075,0.1,0,0,Bm01_iter1,Bp_higher_1e5,Bp_higher_WGD,WGD,Transcription rate,All,0.654990890242036,0.4183339373482651,0.0824734693877551,0.0904460277432639
Mixed,0.075,0.1,0,0,Bm01_iter1,Bp_higher_1e5,Bp_higher_WGD,WGD,Transcription rate,True duplicates,36.00823843354654,1.964850298796908e-09,0.2220975056689342,8.073203925055182e-10
Mixed,0.075,0.1,0,0,Bm01_iter1,Bp_higher_1e5,Bp_higher_WGD,SSD,Transcription rate,All,2.8654243902439025,0.0905018358406084,0.1048975609756097,0.0626150933116819
Mixed,0.075,0.1,0,0,Bm01_iter1,Bp_higher_1e5,Bp_higher_WGD,SSD,Transcription rate,True duplicates,20.12567750677507,7.2516549379451955e-06,0.2604742547425474,1.7667881563982971e-09
Mixed,0.075,0.1,0,0,Bm01_iter1,Bp_higher_1e5,Bp_higher_WGD,All duplicates,Translation rate,All,7.1525265221347025,0.0074858459536254,0.1380352078239609,2.6332183054033023e-06
Mixed,0.075,0.1,0,0,Bm01_iter1,Bp_higher_1e5,Bp_higher_WGD,All duplicates,Translation rate,True duplicates,97.41772673796348,5.614116523272589e-23,0.2782219505569139,3.004779519334173e-23
Mixed,0.075,0.1,0,0,Bm01_iter1,Bp_higher_1e5,Bp_higher_WGD,WGD,Translation rate,All,1.1601338144242097,0.2814377902304231,0.1469469387755102,0.000113625986115
Mixed,0.075,0.1,0,0,Bm01_iter1,Bp_higher_1e5,Bp_higher_WGD,WGD,Translation rate,True duplicates,42.843069999854734,5.931182341533615e-11,0.2454988662131519,6.390055571694341e-12
Mixed,0.075,0.1,0,0,Bm01_iter1,Bp_higher_1e5,Bp_higher_WGD,SSD,Translation rate,All,8.895160975609755,0.0028592739649769,0.1895609756097561,2.5668634641956015e-05
Mixed,0.075,0.1,0,0,Bm01_iter1,Bp_higher_1e5,Bp_higher_WGD,SSD,Translation rate,True duplicates,62.59917344173442,2.533597813477132e-15,0.3321409214092141,2.988419492724711e-15
Mixed,0.075,0.1,0,0,Bm01_iter1,Bp_higher_1e5,Bp_higher_WGD,All duplicates,Protein abundance,All,5.543153226818255,0.0185531238849424,0.0913662591687041,0.0052481820567697
Mixed,0.075,0.1,0,0,Bm01_iter1,Bp_higher_1e5,Bp_higher_WGD,All duplicates,Protein abundance,True duplicates,65.88846192291795,4.77176952881501e-16,0.2933292583537082,7.803005630209077e-26
Mixed,0.075,0.1,0,0,Bm01_iter1,Bp_higher_1e5,Bp_higher_WGD,WGD,Protein abundance,All,2.600656454580691,0.1068194616010537,0.0945469387755102,0.0344743393639895
Mixed,0.075,0.1,0,0,Bm01_iter1,Bp_higher_1e5,Bp_higher_WGD,WGD,Protein abundance,True duplicates,42.843069999854734,5.931182341533615e-11,0.2944331065759637,4.9330816810389715e-17
Mixed,0.075,0.1,0,0,Bm01_iter1,Bp_higher_1e5,Bp_higher_WGD,SSD,Protein abundance,All,2.8654243902439025,0.0905018358406084,0.1016,0.0774430323448013
Mixed,0.075,0.1,0,0,Bm01_iter1,Bp_higher_1e5,Bp_higher_WGD,SSD,Protein abundance,True duplicates,24.75624661246612,6.505761388343231e-07,0.3006910569105691,1.5508094997369596e-12
Mixed,0.075,0.1,0,0,Bm01_iter1,Bp_higher_1e5,Bp_higher_WGD,All duplicates,Divergence ratio,All,20.14149236023809,7.191942676958733e-06,0.1457427872860635,5.561057729476553e-07
Mixed,0.075,0.1,0,0,Bm01_iter1,Bp_higher_1e5,Bp_higher_WGD,All duplicates,Divergence ratio,True duplicates,9.472030910182038,0.002086282741387,0.1560499864167346,1.4768271054856606e-07
Mixed,0.075,0.1,0,0,Bm01_iter1,Bp_higher_1e5,Bp_higher_WGD,WGD,Divergence ratio,All,24.600659374279424,7.052759734434378e-07,0.1853714285714285,3.484532808739737e-07
Mixed,0.075,0.1,0,0,Bm01_iter1,Bp_higher_1e5,Bp_higher_WGD,WGD,Divergence ratio,True duplicates,10.737484091519187,0.001049869740821,0.1515192743764172,8.646530626232903e-05
Mixed,0.075,0.1,0,0,Bm01_iter1,Bp_higher_1e5,Bp_higher_WGD,SSD,Divergence ratio,All,2.345619512195122,0.125635606231492,0.1634829268292683,0.0004602720936497
Mixed,0.075,0.1,0,0,Bm01_iter1,Bp_higher_1e5,Bp_higher_WGD,SSD,Divergence ratio,True duplicates,0.3260027100271002,0.568022371670297,0.1665718157181571,0.000408494478047
No Cost,0.075,0.1,0,0,Bm01_iter1,Bp_higher_1e5,Bp_higher_WGD,All duplicates,Transcription rate,All,29.68091255842983,5.093387818632976e-08,0.1510268948655256,1.8240472411829265e-07
No Cost,0.075,0.1,0,0,Bm01_iter1,Bp_higher_1e5,Bp_higher_WGD,All duplicates,Transcription rate,True duplicates,84.37881554459572,4.0850150443406727e-20,0.2951158145178058,2.655293275492255e-26
No Cost,0.075,0.1,0,0,Bm01_iter1,Bp_higher_1e5,Bp_higher_WGD,WGD,Transcription rate,All,19.57483013585516,9.673525299472752e-06,0.1626530612244898,1.257884275648578e-05
