Model,Parameter,Log2 fold-change
Mixed,Transcription rate,3.671253425198769
Mixed,Transcription rate,0.6290169945633847
Mixed,Transcription rate,0.538773115473171
Mixed,Transcription rate,0.3119025876921439
Mixed,Transcription rate,0.050245464451156824
Mixed,Transcription rate,0.38431249548204593
Mixed,Transcription rate,2.346097969763896
Mixed,Transcription rate,0.60947433222612
Mixed,Transcription rate,0.26145037146118816
Mixed,Transcription rate,0.4663113092131955
Mixed,Transcription rate,0.22377006515987546
Mixed,Transcription rate,3.34358038748963
Mixed,Transcription rate,0.4178393825324464
Mixed,Transcription rate,0.9015857585039838
Mixed,Transcription rate,0.13470322189159586
Mixed,Transcription rate,0.2661523548151557
Mixed,Transcription rate,0.9960610202318834
Mixed,Transcription rate,1.3503986509831996
Mixed,Transcription rate,0.590960044659679
Mixed,Transcription rate,0.09389447232551959
Mixed,Transcription rate,0.07542685848603509
Mixed,Transcription rate,0.6284530762125122
Mixed,Transcription rate,0.9224408911638974
Mixed,Transcription rate,0.6269658739494486
Mixed,Transcription rate,1.1410318503380472
Mixed,Transcription rate,1.3577148578298712
Mixed,Transcription rate,0.7570187489960294
Mixed,Transcription rate,3.7404624291719633
Mixed,Transcription rate,2.547317461683276
Mixed,Transcription rate,4.599150529125192
Mixed,Transcription rate,0.8583146143032381
Mixed,Transcription rate,0.1175896864979279
Mixed,Transcription rate,0.06876012780629642
Mixed,Transcription rate,0.006578430525690402
Mixed,Transcription rate,0.09958058193353413
Mixed,Transcription rate,0.37566398496869197
Mixed,Transcription rate,1.4355464164457659
Mixed,Transcription rate,5.09140901280745
Mixed,Transcription rate,2.3582061523475586
Mixed,Transcription rate,0.03342873785941073
Mixed,Transcription rate,2.0376441254045248
Mixed,Transcription rate,0.4896684905405867
Mixed,Transcription rate,1.798168868104197
Mixed,Transcription rate,0.1544450528127217
Mixed,Transcription rate,0.33065036054299796
Mixed,Transcription rate,0.4106949262173775
Mixed,Transcription rate,2.0183211163898274
Mixed,Transcription rate,1.1180846864868443
Mixed,Transcription rate,0.36350821905785924
Mixed,Transcription rate,0.9378570909466755
Mixed,Transcription rate,0.012810280416539137
Mixed,Transcription rate,1.0368405903757227
Mixed,Transcription rate,1.4112065855897782
Mixed,Transcription rate,2.716777698515716
Mixed,Transcription rate,0.5908658076963771
Mixed,Transcription rate,0.5937637716990033
Mixed,Transcription rate,2.270789276784188
Mixed,Transcription rate,1.5683269247463214
Mixed,Transcription rate,0.006249266164092775
Mixed,Transcription rate,0.7145793573465712
Mixed,Transcription rate,0.4765746217427794
Mixed,Transcription rate,2.0447707185203843
Mixed,Transcription rate,1.7123117584822658
Mixed,Transcription rate,0.34063843174895214
Mixed,Transcription rate,2.9702511612870026
Mixed,Transcription rate,0.04722306635801847
Mixed,Transcription rate,0.464718523435114
Mixed,Transcription rate,1.4812092570453426
Mixed,Transcription rate,3.593980667959051
Mixed,Transcription rate,2.580313729027341
Mixed,Transcription rate,1.1059671320755442
Mixed,Transcription rate,0.1307242393168465
Mixed,Transcription rate,1.5484312193559795
Mixed,Transcription rate,0.04134877241808926
Mixed,Transcription rate,1.2354280517818477
Mixed,Transcription rate,1.2097717058262916
Mixed,Transcription rate,0.5490127692280762
Mixed,Transcription rate,0.3180937094847999
Mixed,Transcription rate,0.7215797072603771
Mixed,Transcription rate,0.5296432932852487
Mixed,Transcription rate,0.4892629950759385
Mixed,Transcription rate,0.04014142036781279
Mixed,Transcription rate,0.13133309720885158
Mixed,Transcription rate,0.4281849871608005
Mixed,Transcription rate,1.4744379942497001
Mixed,Transcription rate,0.339926217468075
Mixed,Transcription rate,0.4996313736463531
Mixed,Transcription rate,1.0361653253701117
Mixed,Transcription rate,4.7055377329560475
Mixed,Transcription rate,1.989846306024459
Mixed,Transcription rate,4.12481620693184
Mixed,Transcription rate,2.325019605715017
Mixed,Transcription rate,0.07623838912276862
Mixed,Transcription rate,0.8062583394819398
Mixed,Transcription rate,0.38360146185446103
Mixed,Transcription rate,0.1921591274415995
Mixed,Transcription rate,1.1911861999660658
Mixed,Transcription rate,2.2615062015756977
Mixed,Transcription rate,1.351522700671743
Mixed,Transcription rate,0.1317027273100245
Mixed,Transcription rate,2.9148922723194204
Mixed,Transcription rate,0.1405471899049191
Mixed,Transcription rate,2.94732169681102
Mixed,Transcription rate,2.664715150164038
Mixed,Transcription rate,0.45811678263301747
Mixed,Transcription rate,0.09017879283177017
Mixed,Transcription rate,2.248730463040406
Mixed,Transcription rate,2.15061967212696
Mixed,Transcription rate,0.4415588336357893
Mixed,Transcription rate,3.9825174462016397
Mixed,Transcription rate,1.3232693884270545
Mixed,Transcription rate,1.289496632701994
Mixed,Transcription rate,0.7985451585357994
Mixed,Transcription rate,4.716386481231329
Mixed,Transcription rate,0.1177525865704636
Mixed,Transcription rate,0.2736420394399343
Mixed,Transcription rate,0.6831940878560878
Mixed,Transcription rate,0.048503834306860935
Mixed,Transcription rate,2.538400738899825
Mixed,Transcription rate,0.6141200078795096
Mixed,Transcription rate,0.31508294612914745
Mixed,Transcription rate,1.7861377753040533
Mixed,Transcription rate,0.7144385864965083
Mixed,Transcription rate,2.1816658866968854
Mixed,Transcription rate,0.3423908737002692
Mixed,Transcription rate,4.692882445155378
Mixed,Transcription rate,0.6747254711433075
Mixed,Transcription rate,1.6374271755259606
Mixed,Transcription rate,1.875541189512821
Mixed,Transcription rate,2.9537261910727697
Mixed,Transcription rate,0.42399815955834125
Mixed,Transcription rate,3.298077195835256
Mixed,Transcription rate,5.393054134202757
Mixed,Transcription rate,1.981869625117589
Mixed,Transcription rate,0.15734630472577546
Mixed,Transcription rate,0.9349656494558488
Mixed,Transcription rate,0.16682785087435903
Mixed,Transcription rate,1.1426821785988392
Mixed,Transcription rate,1.0818024178960552
Mixed,Transcription rate,4.915256578256304
Mixed,Transcription rate,1.2770230013777053
Mixed,Transcription rate,3.365570957159132
Mixed,Transcription rate,0.54311357403228
Mixed,Transcription rate,4.776660534581806
Mixed,Transcription rate,2.816419556874386
Mixed,Transcription rate,1.8585550671611346
Mixed,Transcription rate,1.7763078508985803
Mixed,Transcription rate,0.6639511937829927
Mixed,Transcription rate,3.177285299711455
Mixed,Transcription rate,1.3096283279235372
Mixed,Transcription rate,0.8796633004599024
Mixed,Transcription rate,1.7608948942500589
Mixed,Transcription rate,0.5151647959985635
Mixed,Transcription rate,2.0544284274569664
Mixed,Transcription rate,3.5391871964320916
Mixed,Transcription rate,0.4222097407638217
Mixed,Transcription rate,0.3846464496290452
Mixed,Transcription rate,0.673596203080655
Mixed,Transcription rate,1.396296673259199
Mixed,Transcription rate,0.3992163207304784
Mixed,Transcription rate,0.9567894524989842
Mixed,Transcription rate,2.1567962441058106
Mixed,Transcription rate,2.54245084114452
Mixed,Transcription rate,0.8846208093749145
Mixed,Transcription rate,0.3541848075264354
Mixed,Transcription rate,0.008075986085413553
Mixed,Transcription rate,0.35326290678502925
Mixed,Transcription rate,0.5367332403876433
Mixed,Transcription rate,0.6169231494481544
Mixed,Transcription rate,3.741083159348586
Mixed,Transcription rate,0.5078401336528622
Mixed,Transcription rate,1.7884514509940201
Mixed,Transcription rate,0.29653316826650666
Mixed,Transcription rate,0.5913874731570423
Mixed,Transcription rate,4.817616433248846
Mixed,Transcription rate,2.0223855425667123
Mixed,Transcription rate,2.8971782374517847
Mixed,Transcription rate,0.5210253227729342
Mixed,Transcription rate,0.32926421834925923
Mixed,Transcription rate,0.9765960556998615
Mixed,Transcription rate,0.18299193094471963
Mixed,Transcription rate,0.8991980470407936
Mixed,Transcription rate,0.2639352336101758
Mixed,Transcription rate,1.1781944578051051
Mixed,Transcription rate,1.6255845639981843
Mixed,Transcription rate,3.399092615395897
Mixed,Transcription rate,1.3967627858354654
Mixed,Transcription rate,1.3040346861984577
Mixed,Transcription rate,3.242178072104628
Mixed,Transcription rate,1.3260065292521122
Mixed,Transcription rate,0.24602284315833373
Mixed,Transcription rate,0.7907378632497025
Mixed,Transcription rate,0.7941909338510185
Mixed,Transcription rate,0.9409148357349604
Mixed,Transcription rate,3.947879908204871
Mixed,Transcription rate,0.8852875359615178
Mixed,Transcription rate,0.10102362674897368
Mixed,Transcription rate,0.20466057711395025
Mixed,Transcription rate,1.791013723669246
Mixed,Transcription rate,0.1492400146378379
Mixed,Transcription rate,3.209129644386368
Mixed,Transcription rate,0.4899973615345993
Mixed,Transcription rate,0.057687261965683426
Mixed,Transcription rate,0.17797467676064097
Mixed,Transcription rate,0.819690603966753
Mixed,Transcription rate,1.846083986191441
Mixed,Transcription rate,4.461221028058325
Mixed,Transcription rate,1.2414175254363826
Mixed,Transcription rate,1.786726574042925
Mixed,Transcription rate,1.9113439503966327
Mixed,Transcription rate,1.1513087040599383
Mixed,Transcription rate,0.005949429897712045
Mixed,Transcription rate,0.6686814784571371
Mixed,Transcription rate,0.6649482183726785
