Model,Parameter,Log2 fold-change
Mixed,Transcription rate,0.19639129040902983
Mixed,Transcription rate,4.112607586522963
Mixed,Transcription rate,0.19098231176802055
Mixed,Transcription rate,0.05881946255778404
Mixed,Transcription rate,0.8276612643587402
Mixed,Transcription rate,1.3681281346296679
Mixed,Transcription rate,1.6928282541665152
Mixed,Transcription rate,0.1618348135018487
Mixed,Transcription rate,4.538850085273387
Mixed,Transcription rate,1.7658766793087892
Mixed,Transcription rate,0.07989563834917282
Mixed,Transcription rate,1.1170631441236654
Mixed,Transcription rate,1.0287505182748864
Mixed,Transcription rate,1.3587617343339145
Mixed,Transcription rate,1.1669091384079497
Mixed,Transcription rate,3.0044579457783063
Mixed,Transcription rate,1.9841495561231917
Mixed,Transcription rate,2.0877287685605044
Mixed,Transcription rate,2.2520041428011432
Mixed,Transcription rate,0.619219510224583
Mixed,Transcription rate,3.4487921856931667
Mixed,Transcription rate,2.3571347832389757
Mixed,Transcription rate,1.4780798367913612
Mixed,Transcription rate,0.2440572943876636
Mixed,Transcription rate,2.456140177196995
Mixed,Transcription rate,1.5575959618224913
Mixed,Transcription rate,0.3486551271205211
Mixed,Transcription rate,0.22141855980070593
Mixed,Transcription rate,0.3515685231516104
Mixed,Transcription rate,0.28693021805543184
Mixed,Transcription rate,0.10792024251832702
Mixed,Transcription rate,2.2360059294761854
Mixed,Transcription rate,1.0399745231528907
Mixed,Transcription rate,0.7383673904612815
Mixed,Transcription rate,0.06915845707074386
Mixed,Transcription rate,2.6469544531555784
Mixed,Transcription rate,0.2207791782274996
Mixed,Transcription rate,0.5407509241577311
Mixed,Transcription rate,2.7353435674559115
Mixed,Transcription rate,3.2903779690689943
Mixed,Transcription rate,0.27316930230099506
Mixed,Transcription rate,1.6952926240571184
Mixed,Transcription rate,1.0547884464849524
Mixed,Transcription rate,2.966067321697717
Mixed,Transcription rate,3.0431090522092714
Mixed,Transcription rate,0.0644646597116186
Mixed,Transcription rate,0.24347498268167758
Mixed,Transcription rate,4.244694415519728
Mixed,Transcription rate,2.527687624393462
Mixed,Transcription rate,6.057737853403969
Mixed,Transcription rate,1.4813196542999636
Mixed,Transcription rate,0.740405692833783
Mixed,Transcription rate,3.040161962866847
Mixed,Transcription rate,4.34699114261971
Mixed,Transcription rate,1.1216934395603007
Mixed,Transcription rate,0.4244711315266304
Mixed,Transcription rate,0.3726949693144199
Mixed,Transcription rate,1.6535754465096146
Mixed,Transcription rate,0.11953633038490477
Mixed,Transcription rate,0.7148209035516311
Mixed,Transcription rate,0.5674484576075738
Mixed,Transcription rate,1.4160466864274093
Mixed,Transcription rate,0.0010831811206864056
Mixed,Transcription rate,1.79230096542547
Mixed,Transcription rate,2.9489156444839475
Mixed,Transcription rate,2.666395012993545
Mixed,Transcription rate,2.003310667310538
Mixed,Transcription rate,5.057620703538405
Mixed,Transcription rate,0.20866219598751418
Mixed,Transcription rate,3.0030625444507635
Mixed,Transcription rate,0.030926326086500904
Mixed,Transcription rate,0.036994949372544404
Mixed,Transcription rate,3.021939196743382
Mixed,Transcription rate,1.2352433129549116
Mixed,Transcription rate,2.707226761762882
Mixed,Transcription rate,2.098248823868628
Mixed,Transcription rate,0.86278110002926
Mixed,Transcription rate,1.1189223046036543
Mixed,Transcription rate,0.7186789036747525
Mixed,Transcription rate,4.430358158239339
Mixed,Transcription rate,5.20202587445325
Mixed,Transcription rate,0.8192957370964107
Mixed,Transcription rate,0.8659655681763682
Mixed,Transcription rate,5.381111077515373
Mixed,Transcription rate,0.4698678359540708
Mixed,Transcription rate,5.9393115290874405
Mixed,Transcription rate,2.743595321459084
Mixed,Transcription rate,1.070094118203986
Mixed,Transcription rate,5.133823505563235
Mixed,Transcription rate,0.5232983168182421
Mixed,Transcription rate,1.7657133774414024
Mixed,Transcription rate,0.06365102869033183
Mixed,Transcription rate,5.002484591970902
Mixed,Transcription rate,1.79542301042065
Mixed,Transcription rate,1.873525471016355
Mixed,Transcription rate,3.4295277463216074
Mixed,Transcription rate,2.588431639899806
Mixed,Transcription rate,0.20454505741618836
Mixed,Transcription rate,3.221579757516537
Mixed,Transcription rate,0.07546890281622275
Mixed,Transcription rate,0.10661621408894305
Mixed,Transcription rate,5.688681329025001
Mixed,Transcription rate,0.016708475512236347
Mixed,Transcription rate,0.38266009636303383
Mixed,Transcription rate,4.519614615091619
Mixed,Transcription rate,0.39532839936962255
Mixed,Transcription rate,2.461989331303755
Mixed,Transcription rate,0.19595977453554753
Mixed,Transcription rate,0.5987997062388933
Mixed,Transcription rate,0.13288727148226773
Mixed,Transcription rate,4.608854898532543
Mixed,Transcription rate,0.2694153031589856
Mixed,Transcription rate,1.5990675167701605
Mixed,Transcription rate,1.5714494514657507
Mixed,Transcription rate,3.202257168547895
Mixed,Transcription rate,5.161157245569031
Mixed,Transcription rate,0.38396305304517325
Mixed,Transcription rate,0.27654190454686456
Mixed,Transcription rate,1.7924188592617543
Mixed,Transcription rate,2.5677127154319876
Mixed,Transcription rate,1.4318426908673911
Mixed,Transcription rate,0.08418851517229015
Mixed,Transcription rate,0.17521262637726293
Mixed,Transcription rate,0.6919364195096815
Mixed,Transcription rate,0.3259222769305341
Mixed,Transcription rate,0.873764204863439
Mixed,Transcription rate,0.09377470215468907
Mixed,Transcription rate,0.058732618395766954
Mixed,Transcription rate,0.17003339075226878
Mixed,Transcription rate,0.004309182104976261
Mixed,Transcription rate,0.07416416152889056
Mixed,Transcription rate,0.23987622209087306
Mixed,Transcription rate,1.6080424129515802
Mixed,Transcription rate,0.2700962298801938
Mixed,Transcription rate,0.5969991980497906
Mixed,Transcription rate,1.5346718099520678
Mixed,Transcription rate,0.4503859355108626
Mixed,Transcription rate,0.277667992808274
Mixed,Transcription rate,0.09813783596127658
Mixed,Transcription rate,2.2646765193014597
Mixed,Transcription rate,0.22597167766279364
Mixed,Transcription rate,1.4707473662586947
Mixed,Transcription rate,2.276713867980878
Mixed,Transcription rate,1.930748031756536
Mixed,Transcription rate,1.3260600946736936
Mixed,Transcription rate,1.4633542813178284
Mixed,Transcription rate,1.0900971813494729
Mixed,Transcription rate,0.8352487762229834
Mixed,Transcription rate,3.5730909770257684
Mixed,Transcription rate,3.8523052584349404
Mixed,Transcription rate,2.725399524980061
Mixed,Transcription rate,0.7996919035338761
Mixed,Transcription rate,0.07627257372014187
Mixed,Transcription rate,1.969670343685561
Mixed,Transcription rate,0.12339167634018158
Mixed,Transcription rate,3.225701140194185
Mixed,Transcription rate,0.13598919868888146
Mixed,Transcription rate,0.5483987288392318
Mixed,Transcription rate,0.4168798106489502
Mixed,Transcription rate,1.6052888350927284
Mixed,Transcription rate,4.650017109055553
Mixed,Transcription rate,3.979387806467195
Mixed,Transcription rate,0.7233148591008234
Mixed,Transcription rate,3.335343417643108
Mixed,Transcription rate,1.5005428576549262
Mixed,Transcription rate,0.9018657607181765
Mixed,Transcription rate,0.8635576626044347
Mixed,Transcription rate,0.20848708170676042
Mixed,Transcription rate,4.0204784854507265
Mixed,Transcription rate,0.24636238417264067
Mixed,Transcription rate,3.875287818917034
Mixed,Transcription rate,1.9935610922102145
Mixed,Transcription rate,0.3794755516430282
Mixed,Transcription rate,5.226332508433173
Mixed,Transcription rate,0.5204984718224344
Mixed,Transcription rate,3.0490300435200175
Mixed,Transcription rate,0.317573723505143
Mixed,Transcription rate,1.024671747566917
Mixed,Transcription rate,0.5265914663202522
Mixed,Transcription rate,0.374468511955342
Mixed,Transcription rate,0.9076652218303638
Mixed,Transcription rate,5.947466126449539
Mixed,Transcription rate,4.471928626795483
Mixed,Transcription rate,2.9022388005718733
Mixed,Transcription rate,0.15031904943322213
Mixed,Transcription rate,2.937543540705177
Mixed,Transcription rate,1.790914315958144
Mixed,Transcription rate,1.5594366457548166
Mixed,Transcription rate,0.5368672760449535
Mixed,Transcription rate,0.7838767259881956
Mixed,Transcription rate,3.216322455264128
Mixed,Transcription rate,0.1968522674012683
Mixed,Transcription rate,1.6935598149987916
Mixed,Transcription rate,2.3603540249010018
Mixed,Transcription rate,0.5835753405312921
Mixed,Transcription rate,1.9357633539154948
Mixed,Transcription rate,0.44898093626233115
Mixed,Transcription rate,0.9717248778442991
Mixed,Transcription rate,2.028237192415067
Mixed,Transcription rate,1.122555753550311
Mixed,Transcription rate,4.018379573011484
Mixed,Transcription rate,2.3292587393274897
Mixed,Transcription rate,0.13655311059884725
Mixed,Transcription rate,1.3319437802203646
Mixed,Transcription rate,0.15289875415957746
Mixed,Transcription rate,0.009407051053346178
Mixed,Transcription rate,3.5463494694552367
Mixed,Transcription rate,0.5333513343385711
Mixed,Transcription rate,0.156889035105234
Mixed,Transcription rate,4.2682885133406385
Mixed,Transcription rate,4.68749139540301
Mixed,Transcription rate,0.730274111650417
Mixed,Transcription rate,1.874959125295761
Mixed,Transcription rate,1.1541221158782469
Mixed,Transcription rate,0.5014516869538455
Mixed,Transcription rate,1.0689933734936046
Mixed,Transcription rate,0.23838939876720433
Mixed,Transcription rate,0.9949748628516997
Mixed,Transcription rate,0.14007014909418708
Mixed,Transcription rate,1.386270403441819
Mixed,Transcription rate,4.011022318396452
Mixed,Transcription rate,2.400905369002498
Mixed,Transcription rate,1.0489425918583806
Mixed,Transcription rate,3.0660287455408417
Mixed,Transcription rate,0.80008283028651
Mixed,Transcription rate,3.104658957059642
Mixed,Transcription rate,0.2896148168134103
Mixed,Transcription rate,0.07087897084746943
Mixed,Transcription rate,6.6960747679868815
Mixed,Transcription rate,1.145626323156993
Mixed,Transcription rate,6.042445243643862
Mixed,Transcription rate,0.00792526996137328
Mixed,Transcription rate,0.13375536993788142
Mixed,Transcription rate,0.40634900424743786
Mixed,Transcription rate,0.7189272097987118
Mixed,Transcription rate,2.8770646724885762
Mixed,Transcription rate,0.3115270283734474
Mixed,Transcription rate,4.673108127192635
Mixed,Transcription rate,4.762733597608864
Mixed,Transcription rate,1.1746998375418367
Mixed,Transcription rate,2.0295212259771858
Mixed,Transcription rate,2.363402776894525
Mixed,Transcription rate,0.2850174104418157
Mixed,Transcription rate,0.7809435536521789
Mixed,Transcription rate,4.742366329220955
Mixed,Transcription rate,1.1894622585218753
Mixed,Transcription rate,1.9213618762001166
Mixed,Transcription rate,1.7523477043779525
Mixed,Transcription rate,3.3314490171302205
Mixed,Transcription rate,2.5972565232151794
Mixed,Transcription rate,0.4865919949502918
Mixed,Transcription rate,1.710265543486686
Mixed,Transcription rate,4.323940464568797
Mixed,Transcription rate,2.7005261336603414
Mixed,Transcription rate,2.425513941087086
Mixed,Transcription rate,0.7929128366778705
Mixed,Transcription rate,1.7630314376586727
Mixed,Transcription rate,4.8751637212310355
Mixed,Transcription rate,0.562338130253354
Mixed,Transcription rate,1.004761559774434
Mixed,Transcription rate,0.46250933833712593
Mixed,Transcription rate,0.43330873705733414
Mixed,Transcription rate,2.0207419822178023
Mixed,Transcription rate,0.04775903288576431
Mixed,Transcription rate,1.7141904828930166
Mixed,Transcription rate,6.611396100576177
Mixed,Transcription rate,0.5294212421533268
Mixed,Transcription rate,0.013798839859684563
Mixed,Transcription rate,0.4411713985022577
Mixed,Transcription rate,3.4346738963715033
Mixed,Transcription rate,3.3631889933404664
Mixed,Transcription rate,0.1599921276494391
Mixed,Transcription rate,1.8650792885078906
Mixed,Transcription rate,0.03270654630703008
Mixed,Transcription rate,0.14562426229633055
Mixed,Transcription rate,2.065693954986378
Mixed,Transcription rate,2.879980132562045
Mixed,Transcription rate,0.5105078109415113
Mixed,Transcription rate,1.3952649794429723
Mixed,Transcription rate,0.9161779453456422
Mixed,Transcription rate,0.04399894853507893
Mixed,Transcription rate,0.15847282724188835
Mixed,Transcription rate,1.2082150231882653
Mixed,Transcription rate,5.662016350121102
Mixed,Transcription rate,3.292202981734843
Mixed,Transcription rate,0.8709257642514004
Mixed,Transcription rate,0.05075619130055313
Mixed,Transcription rate,2.262187666748282
Mixed,Transcription rate,3.2907634701725774
Mixed,Transcription rate,2.109238871128469
Mixed,Transcription rate,0.24743836821848567
Mixed,Transcription rate,4.687726099638803
Mixed,Transcription rate,1.6323791322344996
Mixed,Transcription rate,4.837300282868823
