Model,Parameter,Log2 fold-change
Mixed,Transcription rate,0.6909288637701874
Mixed,Transcription rate,4.802375456992933
Mixed,Transcription rate,2.503369107700807
Mixed,Transcription rate,2.3172579719080426
Mixed,Transcription rate,1.4234994859961776
Mixed,Transcription rate,0.791446937818817
Mixed,Transcription rate,1.4270083461626708
Mixed,Transcription rate,1.0931550426569072
Mixed,Transcription rate,0.127069871376779
Mixed,Transcription rate,3.5346651249449406
Mixed,Transcription rate,1.127298184702022
Mixed,Transcription rate,0.48157139134103377
Mixed,Transcription rate,0.33753425230905937
Mixed,Transcription rate,4.8447931062724345
Mixed,Transcription rate,1.3097323292192404
Mixed,Transcription rate,0.1333991936583301
Mixed,Transcription rate,1.211944625485723
Mixed,Transcription rate,2.86506542453542
Mixed,Transcription rate,1.2055222312932399
Mixed,Transcription rate,0.5429551049997492
Mixed,Transcription rate,0.9557996324603187
Mixed,Transcription rate,3.362255814146277
Mixed,Transcription rate,0.403197474301156
Mixed,Transcription rate,0.17270811875772193
Mixed,Transcription rate,0.908660363258813
Mixed,Transcription rate,0.09710997597618691
Mixed,Transcription rate,2.0035140145895003
Mixed,Transcription rate,0.9915900039690646
Mixed,Transcription rate,0.6942394934745117
Mixed,Transcription rate,1.0121533120308077
Mixed,Transcription rate,0.38829549225131416
Mixed,Transcription rate,1.7721259521465342
Mixed,Transcription rate,0.8076885397013531
Mixed,Transcription rate,1.3471625165199006
Mixed,Transcription rate,0.5718071927521444
Mixed,Transcription rate,2.7596992887000407
Mixed,Transcription rate,1.6936584202372817
Mixed,Transcription rate,2.69146931250902
Mixed,Transcription rate,3.156023871274173
Mixed,Transcription rate,1.2374346705442256
Mixed,Transcription rate,0.7645353512749244
Mixed,Transcription rate,0.9871135183223748
Mixed,Transcription rate,1.5514672221222237
Mixed,Transcription rate,1.6962068037043703
Mixed,Transcription rate,0.4712009918935447
Mixed,Transcription rate,0.5129633079143249
Mixed,Transcription rate,0.20617579786237464
Mixed,Transcription rate,0.010334859350118599
Mixed,Transcription rate,0.9802663778539796
Mixed,Transcription rate,0.10333401964707191
Mixed,Transcription rate,0.10236087733924035
Mixed,Transcription rate,0.27005406808232274
Mixed,Transcription rate,0.3272900850177973
Mixed,Transcription rate,0.6212168252226327
Mixed,Transcription rate,0.45560955219385024
Mixed,Transcription rate,0.5351850569440125
Mixed,Transcription rate,0.15172530654369473
Mixed,Transcription rate,0.018571503189748696
Mixed,Transcription rate,1.6973269882896433
Mixed,Transcription rate,1.299735975138503
Mixed,Transcription rate,0.5900978593800454
Mixed,Transcription rate,0.0643157195564481
Mixed,Transcription rate,2.2485019942069355
Mixed,Transcription rate,0.04287823115309135
Mixed,Transcription rate,1.422891673570278
Mixed,Transcription rate,0.11041244600645858
Mixed,Transcription rate,0.5583795515273651
Mixed,Transcription rate,0.38948438704409455
Mixed,Transcription rate,3.9861700628521586
Mixed,Transcription rate,2.4878914933811043
Mixed,Transcription rate,1.406618146453308
Mixed,Transcription rate,0.011848672725551207
Mixed,Transcription rate,5.166493826711794
Mixed,Transcription rate,0.26416926523703915
Mixed,Transcription rate,1.8236822858464345
Mixed,Transcription rate,5.028612326804618
Mixed,Transcription rate,2.664572695254298
Mixed,Transcription rate,4.653390563399404
Mixed,Transcription rate,0.5838594197907029
Mixed,Transcription rate,0.547182120767179
Mixed,Transcription rate,0.1878702271413426
Mixed,Transcription rate,0.6395568792458457
Mixed,Transcription rate,2.4892476798818364
Mixed,Transcription rate,3.267495240259295
Mixed,Transcription rate,1.0305960730947425
Mixed,Transcription rate,0.03589549302214518
Mixed,Transcription rate,0.05551119889835344
Mixed,Transcription rate,0.4669425640878452
Mixed,Transcription rate,0.2652743140167361
Mixed,Transcription rate,0.3136051172987121
Mixed,Transcription rate,0.4818911253001219
Mixed,Transcription rate,1.9391570358161476
Mixed,Transcription rate,0.15209002580973355
Mixed,Transcription rate,2.588848368275538
Mixed,Transcription rate,2.074201202522062
Mixed,Transcription rate,1.767571627830717
Mixed,Transcription rate,1.3448212668262503
Mixed,Transcription rate,0.17168691935008182
Mixed,Transcription rate,0.1042560289636984
Mixed,Transcription rate,2.483201286573075
Mixed,Transcription rate,2.8445092774782927
Mixed,Transcription rate,0.2521811834154283
Mixed,Transcription rate,4.405831506427241
Mixed,Transcription rate,0.05724210821075491
Mixed,Transcription rate,1.4672618352753652
Mixed,Transcription rate,1.18864707054111
Mixed,Transcription rate,0.1025336302549203
Mixed,Transcription rate,2.364817029188181
Mixed,Transcription rate,1.1560242788858883
Mixed,Transcription rate,0.4963788210989457
Mixed,Transcription rate,0.6921654707376248
Mixed,Transcription rate,2.602483380276136
Mixed,Transcription rate,0.2630507576322506
Mixed,Transcription rate,2.1192128870757316
Mixed,Transcription rate,2.464948451265737
Mixed,Transcription rate,2.084585269529486
Mixed,Transcription rate,2.0873174636266065
Mixed,Transcription rate,0.793399289595119
Mixed,Transcription rate,1.4320474240073404
Mixed,Transcription rate,2.490824024686427
Mixed,Transcription rate,1.930828424845098
Mixed,Transcription rate,2.025275143746426
Mixed,Transcription rate,0.06691593640761265
Mixed,Transcription rate,1.3955363101703915
Mixed,Transcription rate,2.4524712232685166
Mixed,Transcription rate,1.3302107925787674
Mixed,Transcription rate,0.10873348512247641
Mixed,Transcription rate,1.5584158439704259
Mixed,Transcription rate,1.3164026889670009
Mixed,Transcription rate,2.8553307083359534
Mixed,Transcription rate,2.0091848048457743
Mixed,Transcription rate,0.70212898893131
