,Model,Comparison,Property,KS stats,KS p-value,Ratio,Mut_sd
0,Mixed,SSD,Transcription rate,0.1680975609756097,0.0003252727748499,1/2,0.1
1,Mixed,SSD,Translation rate,0.1370609756097561,0.0060160082691614,1/2,0.1
2,Mixed,SSD,Protein abundance,0.1110243902439024,0.0438596670738545,1/2,0.1
3,Mixed,SSD,Divergence ratio,0.1661829268292683,0.0003962607056146,1/2,0.1
4,No Cost,SSD,Transcription rate,0.136780487804878,0.0061600837084168,1/2,0.1
5,No Cost,SSD,Translation rate,0.1019756097560975,0.0793291675379439,1/2,0.1
6,No Cost,SSD,Protein abundance,0.0990243902439024,0.0951978338348495,1/2,0.1
7,No Cost,SSD,Divergence ratio,0.1583414634146341,0.0008682347299767,1/2,0.1
8,ADS,SSD,Transcription rate,0.2500853658536585,7.785687317074519e-09,1/2,0.1
9,ADS,SSD,Translation rate,0.1975731707317073,1.1635901681739114e-05,1/2,0.1
10,ADS,SSD,Protein abundance,0.1023780487804878,0.0773479675762002,1/2,0.1
11,ADS,SSD,Divergence ratio,0.3033536585365853,7.331912854624535e-13,1/2,0.1
12,Minimal,SSD,Transcription rate,0.2625853658536585,1.049109910056245e-09,1/2,0.1
13,Minimal,SSD,Translation rate,0.2125731707317073,1.7286500765267832e-06,1/2,0.1
14,Minimal,SSD,Protein abundance,0.1133780487804878,0.0372856143989939,1/2,0.1
15,Minimal,SSD,Divergence ratio,0.3105975609756097,1.8118839761882557e-13,1/2,0.1
16,Mixed,SSD,Transcription rate,0.1485853658536585,0.0021841233617291,1/2,0.1
17,Mixed,SSD,Translation rate,0.102060975609756,0.0789078350843128,1/2,0.1
18,Mixed,SSD,Protein abundance,0.0975243902439024,0.1042295463581536,1/2,0.1
19,Mixed,SSD,Divergence ratio,0.1706585365853658,0.0002488828567361,1/2,0.1
20,No Cost,SSD,Transcription rate,0.1325853658536585,0.0087211488377818,1/2,0.1
21,No Cost,SSD,Translation rate,0.0915731707317073,0.1473106642939046,1/2,0.1
22,No Cost,SSD,Protein abundance,0.0994024390243902,0.0930247788885967,1/2,0.1
23,No Cost,SSD,Divergence ratio,0.1437317073170731,0.003380237265419,1/2,0.1
24,ADS,SSD,Transcription rate,0.2500853658536585,7.785687317074519e-09,1/2,0.1
25,ADS,SSD,Translation rate,0.1687317073170731,0.0003045075569778,1/2,0.1
26,ADS,SSD,Protein abundance,0.1140243902439024,0.035637995493401,1/2,0.1
