Model,Run,Iter,Dupli_effect,pearson,r_pval,spearman,rho_pval
ADS,Bm1,iter1,2,0.16230023917868813,2.830706249762227e-13,0.2704751341187835,7.178179575545364e-35
ADS,Bm1,iter2,2,0.16483286347138107,1.1914176095296848e-13,0.26349121787280444,4.0678569738998426e-33
ADS,Bm1,iter3,2,0.1344438618721578,1.5780919593513025e-09,0.20001041750260437,1.7082464932270368e-19
ADS,Bm3,iter1,2,0.15435775922091158,3.909718433268644e-12,0.25506066376516595,4.536469453518667e-31
ADS,Bm3,iter2,2,0.13936775081355185,3.8648967558409816e-10,0.2311000027750007,1.177739928625177e-25
ADS,Bm3,iter3,2,0.15509065061783198,3.0857250035224476e-12,0.23951833337958336,1.7223181029722228e-27
ADS,Bm4,iter1,2,0.19174744762047485,5.139590117381513e-18,0.27709723227430805,1.396144263232412e-36
ADS,Bm4,iter2,2,0.18622843935572014,4.590542683464158e-17,0.2837214739303685,2.429038505705917e-38
ADS,Bm4,iter3,2,0.1554512499496951,2.745379047242623e-12,0.2265570371392593,1.0750050604034444e-24
ADS,Bm8,iter1,2,0.17759131868948935,1.235764153862883e-15,0.2616955659238915,1.1265487760436956e-32
ADS,Bm8,iter2,2,0.17013121885723614,1.8644514010905997e-14,0.2508686862171715,4.434742170494781e-30
ADS,Bm8,iter3,2,0.16305115696017414,2.1932142347685576e-13,0.22614131503532875,1.3129661507798915e-24
ADS,Bm1,iter1,1.6,0.10919480155942457,9.834078800899026e-07,0.18228645057161263,2.1052945663423821e-16
ADS,Bm1,iter2,1.6,0.15680120846940543,1.7682115007928377e-12,0.23381465395366346,3.0705836456151084e-26
ADS,Bm1,iter3,1.6,0.15887894722661844,8.916341511340944e-13,0.196702276175569,6.7972342972079075e-19
ADS,Bm3,iter1,1.6,0.13825199821486245,5.339466062375057e-10,0.18902162475540618,1.5283738535357053e-17
ADS,Bm3,iter2,1.6,0.141310815473203,2.187895543873801e-10,0.20899317874829468,3.55058615537375e-21
ADS,Bm3,iter3,1.6,0.14635873369788838,4.8096069659615566e-11,0.2090306412576603,3.49236142258376e-21
ADS,Bm4,iter1,1.6,0.14087494773543413,2.487451895324623e-10,0.19308623577155895,2.9912986282008337e-18
ADS,Bm4,iter2,1.6,0.16248657776154446,2.65732864477327e-13,0.22366369991592497,4.287663624400177e-24
ADS,Bm4,iter3,1.6,0.12665648592179415,1.3187964726626912e-08,0.18251000162750042,1.9328419439254633e-16
ADS,Bm8,iter1,1.6,0.151952419235915,8.43412630577237e-12,0.22317442829360706,5.407416105908484e-24
ADS,Bm8,iter2,1.6,0.1680707449611272,3.862872241225703e-14,0.23356349689087422,3.479767455959511e-26
ADS,Bm8,iter3,1.6,0.1354213975922499,1.198293376821145e-09,0.22044407211101802,1.954037778328084e-23
ADS,Bm1,iter1,1.86,0.146510992058107,4.5909909536581955e-11,0.23250880612720154,5.874856085698323e-26
ADS,Bm1,iter2,1.86,0.14082353714679052,2.525320589028527e-10,0.2459122244780561,6.222077652590921e-29
ADS,Bm1,iter3,1.86,0.18536520435562998,6.426486285459004e-17,0.2412709833177458,6.998119579057008e-28
ADS,Bm3,iter1,1.86,0.10124726259903477,5.712871550378177e-06,0.20725883181470794,7.607403277150398e-21
ADS,Bm3,iter2,1.86,0.1522513948026872,7.670542358882935e-12,0.24268977517244375,3.357703955652912e-28
ADS,Bm3,iter3,1.86,0.15665807127715864,1.852988026919333e-12,0.224217212054303,3.2955795782070022e-24
ADS,Bm4,iter1,1.86,0.12050644438451072,6.460910735935902e-08,0.2013992243498061,9.497190898235987e-20
ADS,Bm4,iter2,1.86,0.15190951898569194,8.549628336259473e-12,0.23881147620286905,2.4715426484531017e-27
ADS,Bm4,iter3,1.86,0.14576839455947505,5.7576164140077064e-11,0.2170327697581924,9.497027124897103e-23
ADS,Bm8,iter1,1.86,0.15811828664371663,1.146849560941006e-12,0.2369160337290084,6.472180556608828e-27
ADS,Bm8,iter2,1.86,0.16849981905455402,3.321679101814035e-14,0.2577127289281822,1.0489809628510563e-31
ADS,Bm8,iter3,1.86,0.1186426680335803,1.0300087910631612e-07,0.18861242615310653,1.7974956843281934e-17
ADS,Bm1,iter1,2.25,0.15885920119940342,8.974934044123095e-13,0.2570406132601533,1.5227835342793418e-31
ADS,Bm1,iter2,2.25,0.147084116301457,3.8518546197314895e-11,0.23837301709325426,3.0903446328071495e-27
ADS,Bm1,iter3,2.25,0.18084561900274848,3.642513519185433e-16,0.24364527541131883,2.04211917236391e-28
ADS,Bm3,iter1,2.25,0.1619134536713752,3.226782584925314e-13,0.2570400582600146,1.5232515898599776e-31
ADS,Bm3,iter2,2.25,0.172911373253222,6.87721793339174e-15,0.2602404935601234,2.556905196265246e-32
ADS,Bm3,iter3,2.25,0.19553361721275053,1.1007513902738091e-18,0.24277076769269187,3.2193860319700945e-28
ADS,Bm4,iter1,2.25,0.20010060364940413,1.6445650920384476e-19,0.27822979555744887,7.039025881031375e-37
ADS,Bm4,iter2,2.25,0.1746604435782549,3.6408805651635845e-15,0.24622783505695872,5.268107789100855e-29
ADS,Bm4,iter3,2.25,0.1626285942168708,2.5322306731848727e-13,0.22865236666309163,3.899914589881536e-25
ADS,Bm8,iter1,2.25,0.17839895595217875,9.145385045337334e-16,0.2519400389850098,2.4863557996252777e-30
