,Model,Comparison,Run,Mut_sd,KS stats
99,ADS,SSD,Bm8,0.35,0.38262500000000005
100,ADS,SSD,Bm9,0.01,0.19162398373983736
101,ADS,SSD,Bm9,0.025,0.16712703252032515
102,ADS,SSD,Bm9,0.05,0.16214735772357716
103,ADS,SSD,Bm9,0.075,0.18805284552845525
104,ADS,SSD,Bm9,0.1,0.21220731707317073
105,ADS,SSD,Bm9,0.125,0.24730487804878046
106,ADS,SSD,Bm9,0.15,0.2879532520325203
107,ADS,SSD,Bm9,0.2,0.33524085365853656
108,ADS,SSD,Bm9,0.25,0.3511402439024391
109,ADS,SSD,Bm9,0.35,0.38620934959349595
110,Minimal,SSD,Bm05,0.01,0.2494288617886178
111,Minimal,SSD,Bm05,0.025,0.21917886178861787
112,Minimal,SSD,Bm05,0.05,0.21881402439024386
113,Minimal,SSD,Bm05,0.075,0.22610162601626013
114,Minimal,SSD,Bm05,0.1,0.23777845528455285
115,Minimal,SSD,Bm05,0.125,0.25372459349593496
116,Minimal,SSD,Bm05,0.15,0.2792693089430894
117,Minimal,SSD,Bm05,0.2,0.3312479674796748
118,Minimal,SSD,Bm05,0.25,0.368760162601626
119,Minimal,SSD,Bm05,0.35,0.400290650406504
120,Minimal,SSD,Bm1,0.01,0.1876432926829268
121,Minimal,SSD,Bm1,0.025,0.16230589430894304
122,Minimal,SSD,Bm1,0.05,0.15944410569105688
123,Minimal,SSD,Bm1,0.075,0.16972459349593494
124,Minimal,SSD,Bm1,0.1,0.17909654471544711
125,Minimal,SSD,Bm1,0.125,0.2122510162601626
126,Minimal,SSD,Bm1,0.15,0.2442113821138211
127,Minimal,SSD,Bm1,0.2,0.30862296747967477
128,Minimal,SSD,Bm1,0.25,0.3330670731707317
129,Minimal,SSD,Bm1,0.35,0.34627439024390244
130,Minimal,SSD,Bm10,0.01,0.20080081300813002
131,Minimal,SSD,Bm10,0.025,0.17040447154471547
132,Minimal,SSD,Bm10,0.05,0.17225813008130078
133,Minimal,SSD,Bm10,0.075,0.19004471544715443
134,Minimal,SSD,Bm10,0.1,0.2189563008130081
135,Minimal,SSD,Bm10,0.125,0.24507012195121947
136,Minimal,SSD,Bm10,0.15,0.2842052845528455
137,Minimal,SSD,Bm10,0.2,0.3298922764227642
138,Minimal,SSD,Bm10,0.25,0.3568526422764228
139,Minimal,SSD,Bm10,0.35,0.38475203252032525
140,Minimal,SSD,Bm2,0.01,0.14791463414634143
141,Minimal,SSD,Bm2,0.025,0.1243831300813008
142,Minimal,SSD,Bm2,0.05,0.1147764227642276
143,Minimal,SSD,Bm2,0.075,0.12430182926829265
144,Minimal,SSD,Bm2,0.1,0.1308841463414634
145,Minimal,SSD,Bm2,0.125,0.18872256097560972
146,Minimal,SSD,Bm2,0.15,0.22245528455284544
147,Minimal,SSD,Bm2,0.2,0.31369308943089425
148,Minimal,SSD,Bm2,0.25,0.342354674796748
149,Minimal,SSD,Bm2,0.35,0.385125
150,Minimal,SSD,Bm3,0.01,0.1377510162601626
151,Minimal,SSD,Bm3,0.025,0.11556808943089426
152,Minimal,SSD,Bm3,0.05,0.10632825203252029
153,Minimal,SSD,Bm3,0.075,0.12123272357723576
154,Minimal,SSD,Bm3,0.1,0.14428760162601623
155,Minimal,SSD,Bm3,0.125,0.19382621951219506
156,Minimal,SSD,Bm3,0.15,0.24778861788617879
157,Minimal,SSD,Bm3,0.2,0.3176920731707316
158,Minimal,SSD,Bm3,0.25,0.35600508130081304
159,Minimal,SSD,Bm3,0.35,0.39400000000000013
160,Minimal,SSD,Bm4,0.01,0.13918394308943086
161,Minimal,SSD,Bm4,0.025,0.12459451219512192
162,Minimal,SSD,Bm4,0.05,0.12033231707317071
163,Minimal,SSD,Bm4,0.075,0.1395142276422764
164,Minimal,SSD,Bm4,0.1,0.16630284552845523
165,Minimal,SSD,Bm4,0.125,0.21147357723577231
166,Minimal,SSD,Bm4,0.15,0.2410894308943089
167,Minimal,SSD,Bm4,0.2,0.3112002032520325
168,Minimal,SSD,Bm4,0.25,0.3625376016260162
169,Minimal,SSD,Bm4,0.35,0.3887500000000001
170,Minimal,SSD,Bm5,0.01,0.15526321138211377
171,Minimal,SSD,Bm5,0.025,0.1329359756097561
172,Minimal,SSD,Bm5,0.05,0.1340091463414634
173,Minimal,SSD,Bm5,0.075,0.1520223577235772
174,Minimal,SSD,Bm5,0.1,0.17584146341463414
175,Minimal,SSD,Bm5,0.125,0.21523780487804878
176,Minimal,SSD,Bm5,0.15,0.2588292682926829
177,Minimal,SSD,Bm5,0.2,0.3214430894308942
178,Minimal,SSD,Bm5,0.25,0.360295731707317
179,Minimal,SSD,Bm5,0.35,0.38604166666666667
180,Minimal,SSD,Bm6,0.01,0.1657794715447154
181,Minimal,SSD,Bm6,0.025,0.1405020325203252
182,Minimal,SSD,Bm6,0.05,0.14352439024390243
183,Minimal,SSD,Bm6,0.075,0.16383028455284548
184,Minimal,SSD,Bm6,0.1,0.18480792682926825
185,Minimal,SSD,Bm6,0.125,0.22447662601626014
186,Minimal,SSD,Bm6,0.15,0.265089430894309
187,Minimal,SSD,Bm6,0.2,0.31477845528455284
188,Minimal,SSD,Bm6,0.25,0.3534044715447155
189,Minimal,SSD,Bm6,0.35,0.38595833333333335
190,Minimal,SSD,Bm7,0.01,0.17553861788617883
191,Minimal,SSD,Bm7,0.025,0.14528861788617883
192,Minimal,SSD,Bm7,0.05,0.1529065040650406
193,Minimal,SSD,Bm7,0.075,0.16949491869918695
194,Minimal,SSD,Bm7,0.1,0.19444918699186986
195,Minimal,SSD,Bm7,0.125,0.22858841463414628
196,Minimal,SSD,Bm7,0.15,0.2732225609756097
197,Minimal,SSD,Bm7,0.2,0.32201829268292687
198,Minimal,SSD,Bm7,0.25,0.3468963414634146
199,Minimal,SSD,Bm7,0.35,0.3845
