,Model,Comparison,Run,Mut_sd,KS stats
99,ADS,WGD,Bm8,0.35,0.355765306122449
100,ADS,WGD,Bm9,0.01,0.25529336734693875
101,ADS,WGD,Bm9,0.025,0.2195051020408163
102,ADS,WGD,Bm9,0.05,0.2029387755102041
103,ADS,WGD,Bm9,0.075,0.21158843537414962
104,ADS,WGD,Bm9,0.1,0.20818707482993196
105,ADS,WGD,Bm9,0.125,0.23581377551020402
106,ADS,WGD,Bm9,0.15,0.2589268707482993
107,ADS,WGD,Bm9,0.2,0.2847585034013605
108,ADS,WGD,Bm9,0.25,0.3006343537414966
109,ADS,WGD,Bm9,0.35,0.3486122448979591
110,Minimal,WGD,Bm05,0.01,0.31389625850340136
111,Minimal,WGD,Bm05,0.025,0.2895034013605442
112,Minimal,WGD,Bm05,0.05,0.26530017006802714
113,Minimal,WGD,Bm05,0.075,0.2596989795918367
114,Minimal,WGD,Bm05,0.1,0.2594064625850339
115,Minimal,WGD,Bm05,0.125,0.263235544217687
116,Minimal,WGD,Bm05,0.15,0.29981207482993194
117,Minimal,WGD,Bm05,0.2,0.3566011904761905
118,Minimal,WGD,Bm05,0.25,0.39152636054421763
119,Minimal,WGD,Bm05,0.35,0.4461547619047619
120,Minimal,WGD,Bm1,0.01,0.19908673469387753
121,Minimal,WGD,Bm1,0.025,0.18365136054421768
122,Minimal,WGD,Bm1,0.05,0.1801335034013605
123,Minimal,WGD,Bm1,0.075,0.18412159863945576
124,Minimal,WGD,Bm1,0.1,0.21416411564625845
125,Minimal,WGD,Bm1,0.125,0.2453103741496598
126,Minimal,WGD,Bm1,0.15,0.2853537414965986
127,Minimal,WGD,Bm1,0.2,0.34828231292517003
128,Minimal,WGD,Bm1,0.25,0.390531462585034
129,Minimal,WGD,Bm1,0.35,0.4287304421768708
130,Minimal,WGD,Bm10,0.01,0.2662440476190476
131,Minimal,WGD,Bm10,0.025,0.23083503401360536
132,Minimal,WGD,Bm10,0.05,0.21674744897959186
133,Minimal,WGD,Bm10,0.075,0.21817176870748298
134,Minimal,WGD,Bm10,0.1,0.22489965986394556
135,Minimal,WGD,Bm10,0.125,0.23877295918367344
136,Minimal,WGD,Bm10,0.15,0.2728469387755102
137,Minimal,WGD,Bm10,0.2,0.2958571428571428
138,Minimal,WGD,Bm10,0.25,0.2975178571428571
139,Minimal,WGD,Bm10,0.35,0.3384872448979592
140,Minimal,WGD,Bm2,0.01,0.10472959183673465
141,Minimal,WGD,Bm2,0.025,0.08383248299319723
142,Minimal,WGD,Bm2,0.05,0.09976870748299316
143,Minimal,WGD,Bm2,0.075,0.12734523809523804
144,Minimal,WGD,Bm2,0.1,0.1732772108843537
145,Minimal,WGD,Bm2,0.125,0.21403401360544214
146,Minimal,WGD,Bm2,0.15,0.2687525510204081
147,Minimal,WGD,Bm2,0.2,0.34189285714285716
148,Minimal,WGD,Bm2,0.25,0.3887755102040816
149,Minimal,WGD,Bm2,0.35,0.4590765306122449
150,Minimal,WGD,Bm3,0.01,0.1331632653061224
151,Minimal,WGD,Bm3,0.025,0.10702891156462581
152,Minimal,WGD,Bm3,0.05,0.08753911564625845
153,Minimal,WGD,Bm3,0.075,0.1181224489795918
154,Minimal,WGD,Bm3,0.1,0.15638520408163262
155,Minimal,WGD,Bm3,0.125,0.20754676870748293
156,Minimal,WGD,Bm3,0.15,0.25339370748299317
157,Minimal,WGD,Bm3,0.2,0.3380816326530612
158,Minimal,WGD,Bm3,0.25,0.3721428571428571
159,Minimal,WGD,Bm3,0.35,0.42666751700680267
160,Minimal,WGD,Bm4,0.01,0.16328061224489795
161,Minimal,WGD,Bm4,0.025,0.13105697278911563
162,Minimal,WGD,Bm4,0.05,0.12311819727891155
163,Minimal,WGD,Bm4,0.075,0.1289523809523809
164,Minimal,WGD,Bm4,0.1,0.1411539115646258
165,Minimal,WGD,Bm4,0.125,0.1863239795918367
166,Minimal,WGD,Bm4,0.15,0.24809523809523804
167,Minimal,WGD,Bm4,0.2,0.3094285714285714
168,Minimal,WGD,Bm4,0.25,0.36432057823129255
169,Minimal,WGD,Bm4,0.35,0.41251615646258505
170,Minimal,WGD,Bm5,0.01,0.187516156462585
171,Minimal,WGD,Bm5,0.025,0.156094387755102
172,Minimal,WGD,Bm5,0.05,0.14345408163265305
173,Minimal,WGD,Bm5,0.075,0.14696343537414963
174,Minimal,WGD,Bm5,0.1,0.16043367346938772
175,Minimal,WGD,Bm5,0.125,0.18043452380952374
176,Minimal,WGD,Bm5,0.15,0.2084659863945578
177,Minimal,WGD,Bm5,0.2,0.2942406462585034
178,Minimal,WGD,Bm5,0.25,0.3475714285714286
179,Minimal,WGD,Bm5,0.35,0.3965246598639456
180,Minimal,WGD,Bm6,0.01,0.21254931972789115
181,Minimal,WGD,Bm6,0.025,0.18003316326530608
182,Minimal,WGD,Bm6,0.05,0.1590442176870748
183,Minimal,WGD,Bm6,0.075,0.1650399659863945
184,Minimal,WGD,Bm6,0.1,0.1774430272108843
185,Minimal,WGD,Bm6,0.125,0.1922083333333333
186,Minimal,WGD,Bm6,0.15,0.2142942176870748
187,Minimal,WGD,Bm6,0.2,0.27919897959183665
188,Minimal,WGD,Bm6,0.25,0.32278656462585037
189,Minimal,WGD,Bm6,0.35,0.3771751700680272
190,Minimal,WGD,Bm7,0.01,0.22970153061224488
191,Minimal,WGD,Bm7,0.025,0.19475765306122442
192,Minimal,WGD,Bm7,0.05,0.17685544217687074
193,Minimal,WGD,Bm7,0.075,0.18099659863945575
194,Minimal,WGD,Bm7,0.1,0.19127040816326524
195,Minimal,WGD,Bm7,0.125,0.2080663265306122
196,Minimal,WGD,Bm7,0.15,0.2347465986394557
197,Minimal,WGD,Bm7,0.2,0.2795680272108843
198,Minimal,WGD,Bm7,0.25,0.31834863945578235
199,Minimal,WGD,Bm7,0.35,0.3617372448979592
200,Minimal,WGD,Bm8,0.01,0.2428180272108843
201,Minimal,WGD,Bm8,0.025,0.20992346938775508
202,Minimal,WGD,Bm8,0.05,0.19218622448979591
203,Minimal,WGD,Bm8,0.075,0.18998979591836737
204,Minimal,WGD,Bm8,0.1,0.20103826530612243
205,Minimal,WGD,Bm8,0.125,0.22564540816326528
206,Minimal,WGD,Bm8,0.15,0.24265986394557823
207,Minimal,WGD,Bm8,0.2,0.2710459183673469
208,Minimal,WGD,Bm8,0.25,0.3037763605442177
209,Minimal,WGD,Bm8,0.35,0.356140306122449
210,Minimal,WGD,Bm9,0.01,0.25803571428571426
211,Minimal,WGD,Bm9,0.025,0.22122023809523805
212,Minimal,WGD,Bm9,0.05,0.20356207482993194
213,Minimal,WGD,Bm9,0.075,0.2045255102040816
214,Minimal,WGD,Bm9,0.1,0.22003911564625844
215,Minimal,WGD,Bm9,0.125,0.2410586734693877
