Model,Run,Iter,Mut_alpha,pearson,r_pval,spearman,rho_pval
ADS,Bm05,iter1,0,0.14221557895323553,1.6741722444693654e-10,0.15273081368270341,6.585174194050963e-12
ADS,Bm05,iter2,0,0.19394404319578512,2.1102729289395633e-18,0.17517751829437958,3.01302352704789e-15
ADS,Bm05,iter3,0,0.1279917201645874,9.245262465191277e-09,0.14423214455803612,9.164079907338217e-11
ADS,Bm10,iter1,0,0.02968938700329731,0.1844384888288077,0.03542108094921891,0.1132880808028633
ADS,Bm10,iter2,0,0.06734322003999857,0.002584927252096333,0.08263304539355532,0.0002160417413958579
ADS,Bm10,iter3,0,0.06829374607767955,0.0022442506417978533,0.07094406591715735,0.001499748105235845
ADS,Bm1,iter1,0,0.12366989002890266,2.8806592458364048e-08,0.13390406447601613,1.8356584420813354e-09
ADS,Bm1,iter2,0,0.17677733587848732,1.6713785759554652e-15,0.17601132500283126,2.2177678126692073e-15
ADS,Bm1,iter3,0,0.14056091765141032,2.727714832635002e-10,0.17026127156531787,1.7801242617296612e-14
ADS,Bm2,iter1,0,0.134208949542653,1.6855378041852116e-09,0.1329743447435862,2.3783148306647894e-09
ADS,Bm2,iter2,0,0.12462430026928441,2.2486313818369522e-08,0.1300973755243439,5.241230288930132e-09
ADS,Bm2,iter3,0,0.13955465408779683,3.660295735775407e-10,0.13813174953293736,5.527873148336317e-10
ADS,Bm3,iter1,0,0.11447462408587852,2.8494413088280374e-07,0.09987094446773612,7.649601182551658e-06
ADS,Bm3,iter2,0,0.13878188772199662,4.5811893421870643e-10,0.12529072932268231,1.8894064361707696e-08
ADS,Bm3,iter3,0,0.11665238766474459,1.681755722120363e-07,0.12998735499683875,5.400200460572758e-09
ADS,Bm4,iter1,0,0.09672452143357986,1.4701709976849688e-05,0.09768122442030609,1.2078022971086293e-05
ADS,Bm4,iter2,0,0.10677602884224825,1.7024728104754396e-06,0.10966600991650248,8.824881036937069e-07
ADS,Bm4,iter3,0,0.10978698740497647,8.582317720080039e-07,0.11745924536481134,1.3799519088755872e-07
ADS,Bm5,iter1,0,0.08758934834670998,8.774201790053917e-05,0.10522577630644409,2.4053215399985637e-06
ADS,Bm5,iter2,0,0.07641137251908309,0.0006260156388995313,0.08238459259614815,0.0002257408256940338
ADS,Bm5,iter3,0,0.09092831174917405,4.65444346495259e-05,0.11483298620824656,2.6143441157818823e-07
ADS,Bm6,iter1,0,0.09175687184434164,3.963478939439214e-05,0.0918344438029901,3.90402528701227e-05
ADS,Bm6,iter2,0,0.09611061929023937,1.6662370351778756e-05,0.08540767085191771,0.00013122495639444329
ADS,Bm6,iter3,0,0.0875938914313133,8.766765743322537e-05,0.1080070912922755,1.2894544125693746e-06
ADS,Bm7,iter1,0,0.062355452871160955,0.005277449076038298,0.05847386555702038,0.00890619493044146
ADS,Bm7,iter2,0,0.10183521025420553,5.037282538819069e-06,0.09967135441783859,7.977915017271418e-06
ADS,Bm7,iter3,0,0.0700461141452787,0.0017217689701224416,0.06750990288063785,0.0025219639309693896
ADS,Bm8,iter1,0,0.053025982301710274,0.01771221246706363,0.045331141510716357,0.042657822253293336
ADS,Bm8,iter2,0,0.092376601412817,3.5115081411140855e-05,0.09313810292423287,3.022969628767106e-05
ADS,Bm8,iter3,0,0.055251133998909435,0.01346421012779526,0.05485444229589223,0.01414818384791639
ADS,Bm9,iter1,0,0.04517218079479941,0.04339070481323983,0.03904000807984219,0.0808985448362338
ADS,Bm9,iter2,0,0.0742697808160419,0.0008874879688177549,0.08579303059170536,0.00012230140676297037
ADS,Bm9,iter3,0,0.061343692655201454,0.006065064946208861,0.06665815566447507,0.0028590731946062467
ADS,Bm05,iter1,-0.01,0.17408712625630474,4.4880576725213046e-15,0.18306890476722618,1.5602478115720828e-16
ADS,Bm05,iter2,-0.01,0.19559330441708508,1.0740601478540867e-18,0.18640616560154138,4.282470537527636e-17
ADS,Bm05,iter3,-0.01,0.16449897775687383,1.3364455072098186e-13,0.16852824613206155,3.2885815334861554e-14
ADS,Bm10,iter1,-0.01,0.04050118819635942,0.07015960950335956,0.04873369641750143,0.029304225766910424
ADS,Bm10,iter2,-0.01,0.11774885222078087,1.284969026019322e-07,0.13180841794066758,3.28269900665887e-09
ADS,Bm10,iter3,-0.01,0.07970351457806236,0.0003598561357929301,0.08466998780252184,0.00015004276490335555
ADS,Bm1,iter1,-0.01,0.1619308544997392,3.2078493834746824e-13,0.17561569990392495,2.5653370868406753e-15
ADS,Bm1,iter2,-0.01,0.19438434130983376,1.7631557513060968e-18,0.199955887988972,1.7479251733499253e-19
ADS,Bm1,iter3,-0.01,0.17124017365923394,1.2550063446392112e-14,0.17626407356601836,2.020435881003091e-15
ADS,Bm2,iter1,-0.01,0.15019133159179238,1.469438303830572e-11,0.14369504992376247,1.0768439608541419e-10
