Duplication,ORF_P1,Gene_P1,ORF_P2,Gene_P2,bm_P1,bm_P2,m_P1,m_P2,amEser_P1,amEser_P2,bm_Eser_P1,bm_Eser_P2,bp_P1,bp_calc_P1,bp_P2,bp_calc_P2,pEst_P1,pEst_calc_P1,pEst_P2,pEst_calc_P2,apBelle_P1,apBelle_P2,cv_P1,cv_P2,bm_fold_original,amEser_fold,bm_fold_Eser,bp_fold_original,pEst_fold_original,apBelle_fold,bp_fold_calc,pEst_fold_calc,bm_diff,bm_Eser_diff,amEser_diff,bp_diff,pEst_diff,apBelle_diff,bp_calc_diff,pEst_calc_diff
SSD,YAL036C,RBG1,YGR173W,RBG2,1.718675047,1.643553096,1.013971847,0.938849896,0.5203360169308885,0.6743258720968321,1.5343078639308887,1.6131757680968322,3.092909171,3.3508726561026956,3.09757803,3.354366157290506,3.978389522,4.237767260608351,3.907936431,4.16613881081372,-0.136898144,-0.557114548,-0.85216915,-0.871762329,0.24954971956965197,0.5115432262033841,0.26199350663373183,0.015509613883168174,0.23404010236455644,1.3959286783801383,0.011605159745310161,0.2379445597660118,0.08627234201380032,0.09055131240813562,0.1754530026181266,0.005375170799143801,0.08093470180525618,0.44927536288563125,0.004022020190894732,0.08227887167458821
SSD,YAL039C,CYC3,YKL087C,CYT2,0.891671019,1.082353611,0.186967819,0.377650411,0.723270065133716,0.9224595888098172,0.910237884133716,1.3001099998098171,3.449658845,3.570784370527384,3.456404744,3.498349023590117,3.508135169,3.630674947424407,3.70556366,3.7489221921578033,1.317946716,,,,0.6334338595707445,0.661693274906872,1.295127134477616,0.022409391413372125,0.6558432509841174,,0.24062501405382025,0.3928088444228915,0.21607142893288905,0.4209588904778747,0.2253881325091756,0.007766347087092702,0.2234627863109543,,0.0832014865707188,0.13530233486330048
SSD,YAL042W,ERV46,YML067C,ERV41,1.970835777,1.617976698,1.266132577,0.913273497,0.2065108367230012,0.42761754292588783,1.4726434137230013,1.340891039925888,2.78226111,3.091116201227738,2.991756253,3.2292927191731513,3.919902191,4.2301715358380605,3.776538255,4.015488974418274,,-0.601131377,,-0.666149855,1.1721724880661788,0.7345005793033748,0.4376719120847324,0.6959278012741466,0.47624468679203275,,0.45901245701657606,0.7131600322627718,0.38527888043718456,0.15053278185957525,0.24919891436580124,0.2366196244425778,0.16357114482309595,,0.15775308494459292,0.24224945926460054
SSD,YAL060W,BDH1,YAL061W,BDH2,1.823723904,0.887096316,1.119020704,0.182393115,0.46151412642307665,0.46380091193524875,1.5805348304230766,0.6461940269352486,2.972863264,3.2458237985922844,3.073858744,3.3847967869325033,3.963392473,4.237767260608351,3.127760364,3.440112660168195,-0.213532201,,-0.580870692,,3.111409499023785,0.007596537039865768,3.1038129653058477,0.33549972246863463,2.775909779877079,,0.46165827439782703,2.6497512272183075,0.7925798592849107,0.7915989100262764,0.002632753032697754,0.11575414929252024,0.7451930006712306,,0.15864710603958543,0.7251082251082253
SSD,YBL002W,HTB2,YDR224C,HTB1,2.552704945,2.50743659,1.848001745,1.802733389,0.43119355403662696,0.4633573264108618,2.279195299036627,2.266090715410862,3.724892005,3.535227697089114,3.833680919,3.6440166111248673,5.444402254,5.256152199536329,5.507922813,5.319672758228897,,,-0.951169913,,0.15037822028383374,0.10684573908753281,0.04353248451823063,0.36138894982888464,0.21101072954505198,,0.3613889499476555,0.2110107285237842,0.052069984175883884,0.015086064821078196,0.0370129953646731,0.12459702715958455,0.07300065408925561,,0.12459702720010839,0.07300065373719732
SSD,YBL011W,SCT1,YKR067W,GPT2,1.485945243,1.29091492,0.781242042,0.58621172,0.6458684903274363,0.6649609853355498,1.4271105323274362,1.2511727053355497,2.267456659,2.8380320120180866,2.498850638,3.0601853342725147,2.920207206,3.4921968121796327,2.956570862,3.519319811818852,-0.69277715,0.23876547,-0.702239489,-0.656492938,0.6478767093286568,0.06342389556894912,0.58445281043778,0.7686741598278759,0.12079745049921886,3.0945176009629822,0.7379773625695506,0.0901006545191424,0.2208380525165324,0.19983041462669285,0.02197750771285819,0.2602738775913505,0.041840764265799815,0.7903930133838013,0.25032870761608883,0.031216361679224654
SSD,YBL032W,HEK2,YBR233W,PBP2,1.819165317,0.891275126,1.114462117,0.186571926,0.29232090938479316,0.9754061710173585,1.4067830263847931,1.1619780970173585,3.022276466,3.294101589998488,3.082778993,3.389541095573455,4.008247088,4.281486464749983,3.140859424,3.4490357795698605,,0.062674211,-0.835795901,,3.0823844944533008,2.269160121820703,0.8132243726325973,0.20098504425298028,2.88139945020032,,0.3170431749316422,2.7653413187080824,0.7888097073484304,0.27460911880186345,0.6563824357623803,0.06954367006424393,0.761012699397324,,0.10943871490834074,0.7435597716135407
SSD,YBL066C,SEF1,YLR451W,LEU3,0.801387838,0.941348108,0.096684638,0.236644908,1.2695681760304183,1.030368824909644,1.3662528140304184,1.267013732909644,1.981767249,2.7318490389937313,2.284457962,2.922143342956689,1.949960392,2.701456434487968,2.392611375,3.0317110089783736,,0.539795465,,,0.464937953081021,0.7946030447669268,0.32966509168590646,1.0055167835761867,1.4704547366572085,,0.6321439946315847,1.0970819494647492,0.15975494757036232,0.11375865054034827,0.2686316194267409,0.3350317790178336,0.46964967444064865,,0.21564522524476137,0.3628981886321049
SSD,YBL091C,MAP2,YLR244C,MAP1,1.788006369,1.99307672,1.083303169,1.288373519,0.08459890974896214,0.45930586691841835,1.167902078748962,1.7476793859184183,2.98251431,3.297588522144884,3.130901946,3.4094954324305062,3.937325984,4.253814448764785,4.29078397,4.570791709713272,0.062674211,-1.206449406,-0.652962866,-0.819014419,0.6812289604153121,1.244749568370972,1.925978525464357,0.49293305696231876,1.1741620140557028,4.215937399197369,0.37174670928984827,1.052975668585223,0.231804852406741,0.583328556268595,0.40648841347174675,0.16919476304231165,0.3858658897655917,0.8978723404254125,0.12812942952620426,0.3495522227982054
SSD,YBL097W,BRN1,YGR116W,SPT6,0.984006329,1.839423963,0.279303128,1.134720763,0.9414462290456219,0.45673736512014884,1.220749357045622,1.5914581281201488,2.537350991,3.1050597034802863,2.191304909,3.043033286124798,2.688162624,3.2572855897240345,3.197534176,4.0506768066644145,1.141855457,0.062674211,,-0.744365734,2.841635871246675,1.6101679929149646,1.231467881653638,1.149540201921496,1.6920956693251794,3.5849625005629497,0.20604729843840583,2.635588573791123,0.755151733631854,0.4026387359232794,0.5065230114483488,0.3785793441517743,0.5273272643124801,0.8461538461382729,0.07128941382774454,0.7227722772277225
SSD,YBR002C,RER2,YMR101C,SRT1,1.275903155,-0.177921899,0.571199955,-0.882625099,1.0292742450923025,0.4465725250449488,1.6004742000923025,-0.43605257395505104,3.007424934,3.1550685918980803,2.646500116,2.8728203192656268,3.450133394,3.599191304531141,1.635383521,1.8631179781210083,,,-0.791827473,,4.8295022919337365,1.9356932147644947,6.765195506698231,1.198966293056308,6.028468588311972,,0.937608466591175,5.767110757786378,0.932049418638254,0.9817808191556102,0.585545401707667,0.39315807382374757,0.9698229132103054,,0.31397615485742764,0.9639376218323586
