Model,Run,Iter,Mut_corr,pearson,r_pval,spearman,rho_pval
ADS,Bm05,iter1,0,0.003911698049303183,0.8612149772933294,-0.03776722694180673,0.0913060442091636
ADS,Bm05,iter2,0,0.0158348649444436,0.47909534452409325,-0.029114359278589817,0.19308886764303862
ADS,Bm05,iter3,0,-0.04304214503324706,0.0542804535984994,-0.08751472287868071,8.897203004166795e-05
ADS,Bm10,iter1,0,0.008873190612209241,0.6916765619216355,-0.013711990927997733,0.5399660606657355
ADS,Bm10,iter2,0,0.008488849509998054,0.7043890777349731,-0.007924546981136746,0.7232036058157745
ADS,Bm10,iter3,0,-2.9508460272626574e-05,0.9989477234620601,-0.009852627963156991,0.6596777401617475
ADS,Bm1,iter1,0,0.0405086295256228,0.07010806873972918,0.0007972276993069248,0.9715767310036365
ADS,Bm1,iter2,0,-0.015103081000538037,0.49964619086182727,-0.05191836247959061,0.020234324724210957
ADS,Bm1,iter3,0,0.00018678884865769296,0.993339154395567,-0.04816838554209638,0.0312355208839677
ADS,Bm2,iter1,0,0.0015359886317594827,0.9452693362007988,-0.035883578970894746,0.10865326926654333
ADS,Bm2,iter2,0,0.016111855326462934,0.47143858815374345,-0.029559230889807723,0.18637093347863395
ADS,Bm2,iter3,0,-0.03333142431782004,0.1361956505027427,-0.08259222864805715,0.00021760783067783913
ADS,Bm3,iter1,0,-0.0101063262954661,0.6514868294245957,-0.04945897536474384,0.026977482176789677
ADS,Bm3,iter2,0,0.0010358929844938797,0.963073058061862,-0.03376621294155323,0.1311564167213349
ADS,Bm3,iter3,0,-0.03362269719927717,0.13280355068517896,-0.0591214947803737,0.00817744599983413
ADS,Bm4,iter1,0,-0.01951133479353045,0.38314787080917284,-0.05472820668205166,0.014372173516070737
ADS,Bm4,iter2,0,-0.0013746132239030118,0.951011848374245,-0.0252142968035742,0.2597036486784435
ADS,Bm4,iter3,0,-0.04817206602375604,0.031222602422669075,-0.05288799272199817,0.018010618299579433
ADS,Bm5,iter1,0,-0.014654393970138381,0.512474276323301,-0.03544593886148472,0.11303507792583913
ADS,Bm5,iter2,0,0.0090567023735507,0.6856369311338484,-0.01885906371476593,0.3992560426108336
ADS,Bm5,iter3,0,-0.03178619249970571,0.15531905995037068,-0.041566637891659465,0.06308986652045193
ADS,Bm6,iter1,0,0.010632155630812618,0.6346439838124737,-0.024689986672496667,0.26974599168713087
ADS,Bm6,iter2,0,0.004029745427620003,0.8570711122672781,-0.011984729996182499,0.5921952289854941
ADS,Bm6,iter3,0,-0.018646157067110317,0.4046007836459391,-0.024614986653746663,0.27120397428080023
ADS,Bm7,iter1,0,0.0012406534313873447,0.9557807258539669,-0.03151925287981322,0.15881959333426102
ADS,Bm7,iter2,0,0.025801685017804294,0.2487638640603418,-0.006479773619943405,0.7721175548690735
ADS,Bm7,iter3,0,-0.025905680270371725,0.24686106564662935,-0.03429171857292964,0.12525999254942727
ADS,Bm8,iter1,0,0.008361662373811378,0.7086143854948284,-0.018487809121952282,0.4086034897457722
ADS,Bm8,iter2,0,0.0085507150690989,0.7023371115799881,-0.007332252333063082,0.7431326838409362
ADS,Bm8,iter3,0,-0.028176063558095824,0.207837463726198,-0.03512901128225281,0.11629425618704235
ADS,Bm9,iter1,0,0.007993069088336299,0.720909788529937,-0.021020970755242688,0.34742150159981355
ADS,Bm9,iter2,0,0.0006915447901299646,0.9753433149627782,-0.013280509820127455,0.552794853113578
ADS,Bm9,iter3,0,-0.020707540270333474,0.3546592823374753,-0.030979069744767437,0.1660853852264971
ADS,Bm05,iter1,0.1,0.09124913902165231,4.374346009214974e-05,0.04345297836324458,0.05201868598707643
ADS,Bm05,iter2,0.1,0.08830556355921647,7.672604130051875e-05,0.03860645765161441,0.08432989948535768
