Model,Comparison,Property,Run,Mut_corr,KS stats,KS p-value
ADS,All duplicates,Divergence ratio,Bm05,-0.4,-0.41152078239608797,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm05,-0.3,-0.40353748981255094,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm05,-0.2,-0.39165770171149134,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm05,-0.1,-0.39891116544417277,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm05,0.0,-0.39075998370008147,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm05,0.1,-0.39193643031784836,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm05,0.2,-0.3852436837815811,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm05,0.3,-0.3968052159739201,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm05,0.4,-0.4012848410757946,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm05,0.5,-0.412780358598207,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm05,0.6,-0.42765199674001625,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm05,0.7,-0.4467803585982069,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm1,-0.4,-0.22380888345558267,7.06841992344683e-15
ADS,All duplicates,Divergence ratio,Bm1,-0.3,-0.22890912795436016,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm1,-0.2,-0.22426079869600646,1.0806170773018193e-14
ADS,All duplicates,Divergence ratio,Bm1,-0.1,-0.22047555012224931,1.669035280353152e-14
ADS,All duplicates,Divergence ratio,Bm1,0.0,-0.22082436837815808,1.1250259982868256e-14
ADS,All duplicates,Divergence ratio,Bm1,0.1,-0.21325346373268128,1.9559909247846008e-12
ADS,All duplicates,Divergence ratio,Bm1,0.2,-0.22028035859820697,8.030613211455298e-15
ADS,All duplicates,Divergence ratio,Bm1,0.3,-0.22143357783211082,1.48769885299771e-14
ADS,All duplicates,Divergence ratio,Bm1,0.4,-0.22122045639771795,5.5141076889716106e-15
ADS,All duplicates,Divergence ratio,Bm1,0.5,-0.23124205378973098,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm1,0.6,-0.23808231458842702,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm1,0.7,-0.2613141809290953,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm10,-0.4,-0.23617685411572942,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm10,-0.3,-0.23002852485737568,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm10,-0.2,-0.2257901385493072,1.6653345369377348e-15
ADS,All duplicates,Divergence ratio,Bm10,-0.1,-0.2225285248573757,2.997602166487923e-15
ADS,All duplicates,Divergence ratio,Bm10,0.0,-0.22052689486552565,6.29126380620922e-15
ADS,All duplicates,Divergence ratio,Bm10,0.1,-0.22393520782396084,7.88258347483861e-15
ADS,All duplicates,Divergence ratio,Bm10,0.2,-0.22538019559902198,3.1086244689504383e-15
ADS,All duplicates,Divergence ratio,Bm10,0.3,-0.23508353708231455,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm10,0.4,-0.2257334963325183,1.6653345369377348e-15
ADS,All duplicates,Divergence ratio,Bm10,0.5,-0.23504686226568863,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm10,0.6,-0.2408251833740831,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm10,0.7,-0.24552852485737572,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm2,-0.4,-0.062319070904645425,0.14028589606824224
ADS,All duplicates,Divergence ratio,Bm2,-0.3,-0.05146088019559897,0.32934457442351933
ADS,All duplicates,Divergence ratio,Bm2,-0.2,-0.047842705786471006,0.4061296148931017
ADS,All duplicates,Divergence ratio,Bm2,-0.1,-0.04116055419722894,0.5968320875037588
