Model,Mut_sigma,Mut_ratio,Mut_alpha,Mut_corr,Iter,Folder,Set,Comparison,Type,Moods_stat,Moods_p-val,KS_stat,KS_p-val
ADS,0.075,0.5,0,-0.3,Bm05_iter2,corr_03_neg,Mut_correlations_WGD_1e5,SSD,True duplicates,22.649426829268293,0.0006806198316629209,0.263310975609756,2.422089506640745e-08
ADS,0.075,0.5,0,-0.3,Bm05_iter2,corr_03_neg,Mut_correlations_WGD_1e5,WGD,All,62.480958279059806,0.026712942101815608,0.27032448979591833,0.012847367289102346
ADS,0.075,0.5,0,-0.3,Bm05_iter2,corr_03_neg,Mut_correlations_WGD_1e5,WGD,True duplicates,49.64690115092219,4.091645827334072e-06,0.2836811224489796,2.3224521732412823e-09
ADS,0.075,0.5,0,-0.3,Bm05_iter3,corr_03_neg,Mut_correlations_WGD_1e5,All duplicates,All,94.737620490774,0.008068420363490977,0.25815574572127137,0.0022306497394144575
ADS,0.075,0.5,0,-0.3,Bm05_iter3,corr_03_neg,Mut_correlations_WGD_1e5,All duplicates,True duplicates,74.68438353900804,7.995486801183293e-09,0.26643327782376836,1.1674603858719151e-15
ADS,0.075,0.5,0,-0.3,Bm05_iter3,corr_03_neg,Mut_correlations_WGD_1e5,SSD,All,37.28950243902439,0.033362151952088144,0.26307560975609756,0.015724599457830026
ADS,0.075,0.5,0,-0.3,Bm05_iter3,corr_03_neg,Mut_correlations_WGD_1e5,SSD,True duplicates,25.90405943921644,0.000701171043909321,0.26796859996159017,2.371888902026999e-08
ADS,0.075,0.5,0,-0.3,Bm05_iter3,corr_03_neg,Mut_correlations_WGD_1e5,WGD,All,62.480958279059806,0.026712942101815608,0.2717530612244898,0.011272495106539953
ADS,0.075,0.5,0,-0.3,Bm05_iter3,corr_03_neg,Mut_correlations_WGD_1e5,WGD,True duplicates,50.21553347091134,2.9737137459319804e-06,0.2782309577374256,1.2803058412284926e-09
ADS,0.075,0.5,0,-0.2,Bm05_iter1,corr_02_neg,Mut_correlations_WGD_1e5,All duplicates,All,89.29871324658346,0.004638287923618455,0.2579444987775061,0.004161485430244588
ADS,0.075,0.5,0,-0.2,Bm05_iter1,corr_02_neg,Mut_correlations_WGD_1e5,All duplicates,True duplicates,71.715555007582,4.380292231409138e-10,0.2683416699948373,1.2895130389315074e-15
ADS,0.075,0.5,0,-0.2,Bm05_iter1,corr_02_neg,Mut_correlations_WGD_1e5,SSD,All,37.67935609756098,0.023340277453221616,0.2613609756097561,0.03373782979334295
ADS,0.075,0.5,0,-0.2,Bm05_iter1,corr_02_neg,Mut_correlations_WGD_1e5,SSD,True duplicates,23.368100767661062,0.00012880707568407903,0.26987173258186764,1.4402467064554415e-07
ADS,0.075,0.5,0,-0.2,Bm05_iter1,corr_02_neg,Mut_correlations_WGD_1e5,WGD,All,61.77197859313185,0.026705541354283022,0.2705979591836734,0.021349920889052194
ADS,0.075,0.5,0,-0.2,Bm05_iter1,corr_02_neg,Mut_correlations_WGD_1e5,WGD,True duplicates,51.034603602854425,5.875706136834217e-07,0.2825107732335962,3.8523825266090077e-10
ADS,0.075,0.5,0,-0.2,Bm05_iter2,corr_02_neg,Mut_correlations_WGD_1e5,All duplicates,All,92.43153513268598,0.004638662170745007,0.2563378973105134,0.0013120455149979778
ADS,0.075,0.5,0,-0.2,Bm05_iter2,corr_02_neg,Mut_correlations_WGD_1e5,All duplicates,True duplicates,72.20184663841951,4.0656765056389325e-09,0.2643221854562105,1.2366772932749094e-15
