Model,Mut_sigma,Mut_ratio,Mut_alpha,Mut_corr,Iter,Folder,Set,Type,rho_fold,p-val_fold,rho_signed,p-val_signed,rho_ratio,p-val_ratio
Mixed,0.025,5.0,0,0,Bm5_iter2,alpha_0,Mut_alpha_WGD,All,0.4615397346463576,3.9595638770726877e-132,0.1077817325049895,2.1440042730907848e-14,0.9572010911361748,0.0
Mixed,0.025,5.0,0,0,Bm5_iter2,alpha_0,Mut_alpha_WGD,True duplicates,0.366871243209576,3.495757295535049e-71,0.0344329812947185,0.0181921803447013,0.9654526245153656,0.0
No Cost,0.025,5.0,0,0,Bm5_iter2,alpha_0,Mut_alpha_WGD,All,0.5722160541785688,1.94237619720761e-217,-0.3365877012771777,1.0700682508612399e-132,0.9417827552292408,0.0
No Cost,0.025,5.0,0,0,Bm5_iter2,alpha_0,Mut_alpha_WGD,True duplicates,0.4677998371922878,1.1154508857040183e-117,-0.2349955354246344,1.9354277914237226e-59,0.911035038095004,0.0
ADS,0.025,5.0,0,0,Bm5_iter2,alpha_0,Mut_alpha_WGD,All,0.3503328545172567,4.255283598115708e-73,0.0679413339147923,1.5204172709599031e-06,0.6653085716013716,2.0316e-319
ADS,0.025,5.0,0,0,Bm5_iter2,alpha_0,Mut_alpha_WGD,True duplicates,0.333199253575985,6.21868887596488e-60,0.0123882830952462,0.3924248156878356,0.606558375090846,5.2625132048764527e-228
Minimal,0.025,5.0,0,0,Bm5_iter2,alpha_0,Mut_alpha_WGD,All,0.3597190156350425,3.0260430036179184e-77,0.0719009834300058,3.5903914043311274e-07,0.6891476333356215,0.0
Minimal,0.025,5.0,0,0,Bm5_iter2,alpha_0,Mut_alpha_WGD,True duplicates,0.3399170566353999,1.7744737396956477e-62,0.0158238820664349,0.2745928563600668,0.6362156139177592,1.0598906440114686e-257
Mixed,0.025,4.0,0,0,Bm4_iter2,alpha_0,Mut_alpha_WGD,All,0.499645274951244,5.150359225024343e-158,0.1013744759116403,6.721641714059571e-13,0.9540812396289984,0.0
Mixed,0.025,4.0,0,0,Bm4_iter2,alpha_0,Mut_alpha_WGD,True duplicates,0.4142032951513118,3.7519616456095154e-92,0.0296267329671318,0.0421442784028668,0.9600395416635142,0.0
No Cost,0.025,4.0,0,0,Bm4_iter2,alpha_0,Mut_alpha_WGD,All,0.5315320924691349,2.3919825565751718e-182,-0.293360056777421,8.26706388293159e-100,0.9306362210937956,0.0
No Cost,0.025,4.0,0,0,Bm4_iter2,alpha_0,Mut_alpha_WGD,True duplicates,0.4377266328726828,1.9464273036062202e-101,-0.1918005245082667,8.647624907262969e-40,0.8940339461166866,0.0
ADS,0.025,4.0,0,0,Bm4_iter2,alpha_0,Mut_alpha_WGD,All,0.3685518933363029,2.8026802173959907e-81,0.0861470796823481,1.0518279434969387e-09,0.6138601143456184,7.644051829044815e-259
ADS,0.025,4.0,0,0,Bm4_iter2,alpha_0,Mut_alpha_WGD,True duplicates,0.3319301796181569,1.214038503073075e-59,0.026176794255124,0.0704993640690161,0.5643944588735942,1.498929408123863e-191
Minimal,0.025,4.0,0,0,Bm4_iter2,alpha_0,Mut_alpha_WGD,All,0.3764852109576337,5.194864934343167e-85,0.0701345729555771,6.900736026246312e-07,0.6231203395712543,6.508436611487407e-269
Minimal,0.025,4.0,0,0,Bm4_iter2,alpha_0,Mut_alpha_WGD,True duplicates,0.3555600018425656,7.967713610145417e-69,0.0010150782572494,0.944082509174309,0.5800779719387029,6.4669940133223074e-205
Mixed,0.025,7.0,0,0,Bm7_iter2,alpha_0,Mut_alpha_WGD,All,0.4393787147805944,1.6162819622834762e-118,0.1011774994782104,7.448005116268819e-13,0.9565540287606448,0.0
Mixed,0.025,7.0,0,0,Bm7_iter2,alpha_0,Mut_alpha_WGD,True duplicates,0.3551725795459278,7.071233728052429e-67,0.0149492122285778,0.3047056529749447,0.9611094337864088,0.0
No Cost,0.025,7.0,0,0,Bm7_iter2,alpha_0,Mut_alpha_WGD,All,0.5806016248002601,2.6846742710391008e-225,-0.3654637033273887,7.815419578321293e-158,0.9494934411349506,0.0
