Systematic Name,Half-life [min],R2
YMR120C,12,0.97
YGR157W,12,0.97
YOR120W,12,0.97
YPL061W,12,0.97
YAL008W,12,0.98
YOR222W,12,0.98
YDL021W,12,0.98
YKL218C,12,0.98
YFL031W,12,0.98
YLR241W,12,0.98
YMR062C,12,0.98
YLR237W,12,0.98
YBR296C,12,0.98
YLR014C,12,0.98
YIL072W,12,0.98
YBR034C,12,0.98
YHR071W,12,0.98
YBL054W,12,0.98
YGL157W,12,0.98
YNR016C,12,0.98
YMR229C,12,0.98
YGL260W,12,0.98
YNL208W,12,0.99
YJL109C,12,0.99
YHR049W,12,0.99
YGR053C,12,0.99
YOR011W,12,0.99
YKL014C,12,0.99
YGL121C,12,0.99
YMR008C,12,0.99
YOL165C,12,0.99
YOL124C,12,0.99
YFL055W,12,0.99
YKL078W,12,0.99
YOR116C,12,0.99
YPL126W,12,0.99
YGL120C,12,0.99
YGR244C,12,0.99
YNL256W,12,0.99
YOR336W,12,0.99
YDL148C,12,0.99
YHR197W,12,0.99
YPL012W,12,0.99
YPL093W,12,0.99
YFL007W,12,0.99
YER055C,12,0.99
YDR129C,12,0.99
YJL033W,12,0.99
YJR025C,12,0.99
YLR276C,12,0.99
YPL119C-A,12,0.99
YCL043C,12,1
YMR266W,12,1
YCL054W,12,1
YLR409C,12,1
YDR324C,12,1
YDL085W,12,1
YDR035W,12,1
YOL140W,12,1
YNL182C,12,1
YDR346C,12,1
YLR015W,12,1
YOR185C,12,1
YML131W,12,1
YDR060W,12,1
YGL026C,12,1
YDR519W,12,1
YGL117W,13,0.83
YDR218C,13,0.87
YGL255W,13,0.87
YGR008C,13,0.88
YMR011W,13,0.88
YCL042W,13,0.89
YPL087W,13,0.89
YGL037C,13,0.89
YGR097W,13,0.9
YOR302W,13,0.9
YIL172C,13,0.91
YBL100W-C,13,0.91
YHR053C,13,0.92
YGL033W,13,0.92
YNL201C,13,0.93
YOR288C,13,0.93
YEL060C,13,0.94
YDR380W,13,0.94
YGR030C,13,0.94
YGR028W,13,0.94
YKL055C,13,0.94
YBR238C,13,0.95
YGR281W,13,0.95
YPL130W,13,0.95
YGL168W,13,0.95
YDR343C,13,0.96
YBR201C-A,13,0.96
YBR053C,13,0.96
YJR103W,13,0.96
YJL114W,13,0.96
YPR047W,13,0.96
YDR275W,13,0.96
YGL077C,13,0.96
YGR019W,13,0.96
YNL044W,13,0.96
YNL134C,13,0.96
YNL204C,13,0.96
YML123C,13,0.97
YJL035C,13,0.97
YOR303W,13,0.97
YDR076W,13,0.97
YAL068C,13,0.97
YDR194C,13,0.97
YCR024C-B,13,0.97
YMR196W,13,0.97
YHR050W-A,13,0.97
YDR518W,13,0.97
YDR011W,13,0.97
YKR076W,13,0.97
YMR315W,13,0.97
YOL081W,13,0.98
YOR068C,13,0.98
YPL054W,13,0.98
YBR297W,13,0.98
YBL022C,13,0.98
YOL064C,13,0.98
YLR223C,13,0.98
YLR174W,13,0.98
YLL011W,13,0.98
YIL104C,13,0.98
YKL104C,13,0.98
YKL173W,13,0.98
YDL063C,13,0.98
YHR044C,13,0.98
YDL238C,13,0.98
YHL030W,13,0.98
YIL165C,13,0.98
YNL124W,13,0.98
YPL216W,13,0.98
YBL017C,13,0.98
YJL087C,13,0.98
YKL205W,13,0.98
YJR041C,13,0.98
YKR024C,13,0.98
YER172C,13,0.99
YLR452C,13,0.99
YIL075C,13,0.99
YCR072C,13,0.99
YNL123W,13,0.99
YNL141W,13,0.99
YCR057C,13,0.99
YOR119C,13,0.99
YPR010C,13,0.99
YDR021W,13,0.99
YIL030C,13,0.99
YMR259C,13,0.99
YOR109W,13,0.99
YJL098W,13,0.99
YER006W,13,0.99
YGR103W,13,0.99
YFL023W,13,0.99
YKR061W,13,0.99
YLR336C,13,0.99
YGL173C,13,0.99
YBR247C,13,0.99
YLR267W,13,0.99
YIL096C,13,0.99
YOR206W,13,0.99
YMR006C,13,0.99
YOL083W,13,0.99
YPL226W,13,0.99
YML004C,13,0.99
YHR202W,13,0.99
YJL198W,13,0.99
YHR196W,13,0.99
YBR218C,13,0.99
YPL217C,13,0.99
YDR379C-A,13,0.99
YHR122W,13,0.99
YLR129W,13,0.99
YKR079C,13,0.99
YML080W,13,0.99
YMR239C,13,0.99
YOL080C,13,0.99
YMR128W,13,0.99
YGR090W,13,0.99
YHL039W,13,0.99
YMR090W,13,0.99
YLR002C,13,0.99
YDR496C,13,0.99
YHR052W,13,0.99
YHR106W,13,1
YKL157W,13,1
YGL169W,13,1
YHR170W,13,1
YLR384C,13,1
YGR159C,13,1
YOR254C,13,1
YML110C,13,1
YBL039C,13,1
YEL031W,13,1
YDR101C,13,1
YGR245C,13,1
YOR243C,13,1
YBL047C,13,1
YBR142W,13,1
YLL034C,13,1
YML093W,13,1
YGR124W,13,1
YKL033W-A,13,1
YPL043W,13,1
YDL031W,13,1
YJL010C,13,1
YLL008W,13,1
YMR297W,13,1
YDL153C,13,1
YBL055C,13,1
YGR284C,13,1
YNR012W,13,1
YOR002W,13,1
YJL050W,13,1
YNL061W,13,1
YOR007C,13,1
YBL049W,13,1
YOR048C,13,1
