Duplication;P1;P2;Dupli.SSD_WGD;MultiSSD;P1_DHFR_bank_MatA;P1_DHFR_bank_Mat_alpha;P2_DHFR_bank_MatA;P2_DHFR_bank_Mat_alpha;P1resultPCR.MatA;P2resultPCR.MatA;P1resultPCR.Mat.alpha;P2resultPCR.Mat.alpha;P1.GDiss.resultPCR.MatA;P2.GDiss.resultPCR.MatA;P1.GDiss.resultPCR.Mat.alpha;P2.GDiss.resultPCR.Mat.alpha;P1.MatA_reconstructed.validated;P2.MatA_reconstructed.validated;P1.Mat.alpha_reconstructed.validated;P2.Mat.alpha_reconstructed.validated;P1.falsePositive;P2.falsePositive
SSD;YFR055W;YLR303W;0;1;1;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
SSD;YFR057W;YOR337W;0;1;1;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
SSD;YGL001C;YOL151W;0;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
SSD;YGL003C;YGL116W;0;1;1;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL004C;YFL009W;0;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL005C;YBR130C;0;1;0;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL006W;YGL167C;0;0;1;1;0;1;0;NA;1;1;NA;1;NA;NA;NA;NA;NA;NA;NA;1
SSD;YGL008C;YPL036W;0;0;1;1;0;1;ok;ok;1;1;NA;NA;NA;NA;NA;1;NA;NA;NA;NA
SSD;YGL009C;YLR304C;0;1;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
SSD;YGL011C;YML092C;0;1;1;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL012W;YNL280C;0;0;1;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL014W;YGL178W;0;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL018C;YNL007C;0;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL019W;YOR039W;0;0;1;1;1;1;NA;NA;1;1;1;0;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL023C;YNR006W;0;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL026C;YCL064C;0;1;1;1;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
SSD;YGL028C;YMR305C;1;1;0;0;1;1;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL029W;YPL105C;1;1;0;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL038C;YJR075W;0;0;0;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL039W;YGL157W;0;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL044C;YIL061C;0;1;0;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL048C;YOR259C;0;1;0;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL055W;YNL111C;0;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL058W;YMR022W;0;1;0;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL059W;YIL042C;0;0;0;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL064C;YNR038W;0;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL065C;YNL048W;0;0;0;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL073W;YHR206W;1;1;1;0;0;1;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL077C;YNR056C;0;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL078C;YNL112W;0;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL080W;YHR162W;1;0;1;1;0;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL083W;YDR180W;0;1;1;0;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL086W;YIL149C;1;1;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL087C;YDR059C;1;1;1;1;1;1;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL091C;YIL003W;0;0;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL092W;YMR047C;1;1;1;1;0;1;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL093W;YDL058W;0;1;1;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL094C;YOL080C;0;0;1;1;1;1;NA;NA;1;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL099W;YNR053C;0;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL100W;YLR208W;0;1;1;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL106W;YBR109C;0;1;0;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL110C;YGR196C;0;1;1;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL125W;YPL023C;0;0;0;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
SSD;YGL128C;YNL064C;0;1;0;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL131C;YPR031W;0;1;0;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL136C;YCL054W;0;1;1;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL141W;YDR457W;0;1;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL142C;YOR149C;0;1;0;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL147C;YNL067W;0;1;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
SSD;YGL150C;YOR304W;0;1;1;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL153W;YDL058W;0;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL155W;YPR176C;0;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL160W;YLR047C;0;0;0;1;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL161C;YHL019C;0;1;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL164C;YLR086W;0;1;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL171W;YGL078C;0;1;0;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL172W;YGR119C;0;1;1;1;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL173C;YOR048C;0;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
SSD;YGL178W;YPR042C;1;1;1;1;1;0;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL180W;YPL141C;1;1;0;1;0;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
SSD;YGL181W;YDR524C;0;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL185C;YPL113C;0;0;0;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL186C;YER060W;0;1;0;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL190C;YLL011W;0;1;0;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL194C;YNL330C;0;1;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL200C;YAR002C-A;1;0;NA;NA;1;1;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL201C;YPR019W;0;1;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL202W;YHR137W;0;1;0;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
SSD;YGL203C;YBR139W;0;1;0;0;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL212W;YDR468C;0;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL213C;YLR129W;0;1;1;1;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL215W;YNL289W;0;1;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL216W;YBL063W;0;1;0;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL220W;YAL046C;0;1;0;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL226W;YIL111W;1;0;1;1;1;0;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL233W;YJL074C;0;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL238W;YJR132W;0;1;1;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL241W;YGL238W;0;1;1;1;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL242C;YCR051W;0;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL245W;YOR168W;0;1;1;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
SSD;YGL247W;YHR036W;0;0;1;0;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL251C;YER172C;0;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL254W;YPR186C;0;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL255W;YLR130C;0;0;1;1;0;1;rien;ok;1;1;NA;NA;NA;NA;NA;1;NA;NA;NA;NA
SSD;YGL257C;YNR059W;0;0;1;0;0;0;ok;700;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL258W;YOR387C;0;0;0;1;0;1;ok;rien;1;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA
SSD;YGL258W-A;YIR039C;0;1;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL259W;YIR039C;0;1;0;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL261C;YAL068C;0;1;0;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGL263W;YNL336W;0;1;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR007W;YGR202C;0;0;0;1;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR009C;YMR017W;0;0;0;1;1;1;rien;ok;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR012W;YGR155W;0;0;0;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
SSD;YGR015C;YGR031W;0;0;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR019W;YOL140W;0;1;1;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
SSD;YGR020C;YHR167W;0;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR027W-A;YPR137C-A;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR027W-B;YJR029W;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR028W;YPL074W;0;1;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR029W;YPR037C;0;0;0;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR038C-A;YDR098C-A;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR042W;YDR096W;1;1;0;1;0;1;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR047C;YBR112C;0;1;0;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR055W;YHL036W;0;0;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR059W;YHR107C;0;1;1;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR067C;YOR113W;0;1;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR068C;YOR018W;1;0;0;0;1;1;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR074W;YER112W;0;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR083C;YKR026C;0;1;0;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR086C;YPL004C;0;0;0;1;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
SSD;YGR087C;YLR044C;0;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
SSD;YGR089W;YDL058W;0;1;0;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR091W;YLR197W;0;1;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR096W;YPR011C;0;1;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR098C;YOR380W;0;1;0;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR100W;YOL112W;1;1;1;0;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR109W-A;YGR109W-B;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR109W-B;YIL082W-A;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR110W;YLR099C;1;0;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR119C;YMR047C;1;1;1;0;0;1;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR120C;YBL063W;0;1;0;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR123C;YML016C;1;1;0;1;1;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA
SSD;YGR125W;YPR003C;0;1;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR126W;YDR464W;0;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR129W;YDR356W;0;1;1;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR130C;YOR195W;0;1;1;1;1;1;0;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR132C;YGR231C;0;0;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR133W;YDR059C;1;1;1;1;1;1;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR135W;YGR253C;0;1;0;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR145W;YBR195C;0;1;1;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR152C;YOR101W;1;0;1;0;1;1;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR154C;YKR076W;0;1;0;1;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
SSD;YGR159C;YHR086W;0;1;1;1;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR161W-A;YFL002W-B;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR161W-B;YFL002W-A;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR163W;YML121W;0;0;1;1;1;1;NA;NA;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR167W;YDR170C;0;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
SSD;YGR169C;YOL066C;1;1;0;1;1;1;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR171C;YGR264C;0;0;1;1;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
SSD;YGR177C;YOR377W;0;0;1;0;1;1;rien;ok;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR179C;YCL029C;0;1;0;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR181W;YHR005C-A;0;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR184C;YLR024C;0;0;0;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR185C;YOL097C;0;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
SSD;YGR186W;YDR153C;0;1;0;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR189C;YLR213C;0;1;0;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR191W;YKR039W;0;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
SSD;YGR193C;YNL071W;0;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR196C;YGR159C;0;1;0;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR199W;YAL023C;1;0;1;1;1;1;0;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR200C;YLR222C;0;1;0;1;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
SSD;YGR201C;YPL048W;0;1;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
SSD;YGR203W;YPR200C;0;0;1;1;0;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR210C;YHL014C;0;1;0;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR218W;YGL241W;0;1;0;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR223C;YFR021W;0;1;0;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR224W;YKR105C;0;1;0;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR225W;YGL003C;0;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR229C;YHR077C;0;1;0;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR232W;YOR034C;1;1;1;1;1;1;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR233C;YPL110C;0;1;0;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
SSD;YGR234W;YIL043C;0;1;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR240C;YMR205C;0;0;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;1;1
SSD;YGR245C;YNL091W;0;1;1;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR246C;YPR086W;0;0;1;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR249W;YOR140W;0;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR250C;YER165W;0;1;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
SSD;YGR253C;YOL038W;0;1;0;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR257C;YBR192W;0;1;1;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR258C;YKL113C;0;0;1;1;1;1;1;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR260W;YLR004C;0;1;0;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
SSD;YGR261C;YKL135C;0;1;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR270W;YLL034C;0;1;1;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR272C;YDR356W;0;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR274C;YLR309C;0;1;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR276C;YLR107W;0;0;0;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR281W;YLL015W;0;1;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR282C;YMR305C;1;1;0;1;1;1;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR285C;YNL227C;0;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
SSD;YGR287C;YOL157C;0;1;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR288W;YBR297W;0;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR289C;YBR298C;0;1;0;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YGR295C;YNL336W;0;1;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YHL002W;YDR358W;1;1;1;1;1;1;NA;1;NA;1;NA;NA;NA;NA;NA;1;NA;NA;NA;NA
SSD;YHL004W;YGR214W;1;0;0;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;1;NA;NA;1;1
SSD;YHL007C;YNL298W;1;1;1;0;1;1;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YHL008C;YJL165C;1;1;0;1;1;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YHL009C;YML007W;1;1;1;1;1;1;NA;NA;NA;1;NA;0;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YHL009W-A;YJL114W;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YHL009W-B;YJL113W;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YHL010C;YNL079C;1;1;0;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YHL011C;YBL068W;1;1;0;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YHL013C;YDL058W;0;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YHL019C;YPL259C;0;1;0;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YHL024W;YNL016W;0;1;0;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SSD;YHL027W;YOR113W;0;1;1;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
