;lm;lp;wRPF;wmRNA;bmEser;amEser;bm;m;bp;cv;apExp;am;isEssential;hasTATA;YEPDFit;pEst
CNE1;3,17868924;2,701567985;1,359266165;1,647480773;1,117135512;0,504883559;1,197717268;0,493014068;2,595885851;NA;-0,232281637;0,704301506;FALSE;FALSE;0,0739;2,960408424
ECM1;2,805500858;2,328379603;1,950413539;1,93277807;1,79983209;0,688211986;1,483014565;0,778311365;3,274924311;-0,663140179;0,062674211;0,704301506;FALSE;FALSE;0,04494;3,92474418
BDH1;3,060320029;2,583198774;2,243881002;2,27348741;1,323972014;0,393402285;1,823723904;1,119020704;2,972863264;-0,580870692;-0,213532201;0,704301506;FALSE;TRUE;-0,00535;3,963392473
BDH2;3,098297536;2,621176282;1,446226402;1,336859821;0,288584066;0,396076175;0,887096316;0,182393115;3,073858744;NA;NA;0,704301506;FALSE;NA;-0,01583;3,127760364
SEO1;3,2509077;2,773786445;-0,301029996;0,350248018;0,127454504;0,753209978;-0,099515487;-0,804218687;2,160603986;NA;NA;0,704301506;FALSE;TRUE;0,00735;1,227893804
NUP60;3,209515015;2,73239376;1,895643505;1,849235091;1,742036151;0,813271414;1,399471586;0,694768386;2,899683099;-0,671518461;0,442885452;0,704301506;FALSE;FALSE;0,21748;3,465959989
SWD1;3,10754913;2,630427875;1,202760687;1,530967682;1,316240041;0,827424597;1,081204176;0,376500976;2,627033576;NA;-0,004272579;0,704301506;FALSE;TRUE;0,01768;2,875043057
RFA1;3,270911639;2,793790385;2,011358954;1,916874879;1,512446463;0,813135471;1,467111373;0,762408173;2,886362135;NA;0,074908667;0,704301506;TRUE;FALSE;0,4200892;3,520278813
SEN34;2,918030337;2,440909082;1,396722279;1,462248215;1,543877768;0,72938705;1,01248471;0,30778151;3,079233426;NA;NA;0,704301506;TRUE;FALSE;0,4200892;3,258523441
BUD14;3,328379603;2,851258349;1,613736141;1,844911874;1,624784594;0,709040305;1,395148369;0,690445168;2,503234364;-0,679957625;0,156578714;0,704301506;FALSE;FALSE;0,048435;3,065188037
ADE1;2,96425963;2,487138375;2,454707693;2,333467427;1,784337446;0,210993771;1,883703922;1,179000721;3,219770335;-0,70863115;-0,267514014;0,704301506;FALSE;FALSE;0,029955;4,270279562
KIN3;3,116607744;2,639486489;1,239299479;1,540704783;1,442971054;0,745790325;1,090941278;0,386238078;2,644776652;NA;NA;0,704301506;FALSE;TRUE;0,066995;2,902523234
CDC15;3,46612587;2,989004616;0,696356389;1,211387553;1,258250158;0,91399371;0,761624048;0,056920847;2,081632665;NA;-0,418449787;0,704301506;TRUE;FALSE;0,4200892;2,010062017
UIP3;2,850033258;2,372912003;1,840607879;1,822102669;1,418129014;0,555613564;1,372339163;0,667635963;3,231261652;NA;NA;0,704301506;FALSE;FALSE;-0,02204;3,77040612
YAT1;3,314709693;2,837588438;0,149219113;0,809559715;0,455822575;0,188237476;0,359796209;-0,344906991;2,087739405;NA;NA;0,704301506;FALSE;TRUE;-0,00446;1,614340919
SWH1;3,552303109;3,075181855;1,415974411;1,794209116;1,393967638;0,905381504;1,344445611;0,639742411;2,132251885;NA;NA;0,704301506;FALSE;FALSE;0,008285;2,643502801
ECM15;2,498310554;2,021189299;2,576663783;2,44811862;1,319775957;-0,775468028;1,998355115;1,293651915;3,693024309;NA;-0,474444974;0,704301506;FALSE;FALSE;-0,01184;4,858184729
HTB2;2,597695186;2,120573931;3,262265941;3,00246845;2,064507098;0,357716276;2,552704945;1,848001745;3,724892005;-0,951169913;NA;0,704301506;FALSE;TRUE;-0,02747;5,444402254
UTP20;3,874017704;3,396896449;1,63286204;2,178055612;1,726901835;0,565111216;1,728292106;1,023588906;1,643578424;-0,711974465;NA;0,704301506;TRUE;NA;0,4200892;2,538675835
PDR3;3,467015818;2,989894564;0,926342447;1,477844476;0,850423286;0,701144255;1,028080971;0,323377771;2,044271852;NA;-0,088593465;0,704301506;FALSE;FALSE;-0,029635;2,239158127
LDB7;2,73479983;2,257678575;1,930082633;2,016615548;1,753124505;0,751587495;1,566852042;0,862148842;3,241456956;NA;NA;0,704301506;FALSE;NA;0,019975;3,975114303
SLA1;3,572290606;3,095169351;2,107074231;2,283459536;1,255944548;0,320786715;1,833696031;1,128992831;2,314113789;-0,710745592;0,006192855;0,704301506;FALSE;FALSE;0,212315;3,314615124
HIR1;3,401917251;2,924795996;1,151676231;1,488832634;1,204822198;0,788109095;1,039069129;0,334365929;2,323716046;NA;-0,071219369;0,704301506;FALSE;FALSE;-0,014545;2,529590479
ALK2;3,307709923;2,830588669;1,406199424;1,524006446;1,498263305;0,873012853;1,07424294;0,36953974;2,637272754;NA;NA;0,704301506;FALSE;NA;-0,014735;2,878320999
SCT1;3,357934847;2,880813592;1,498310554;1,935708748;1,322182493;0,602543365;1,485945243;0,781242042;2,267456659;-0,702239489;-0,69277715;0,704301506;FALSE;FALSE;-0,002605;2,920207206
