;lm;lp;wRPF;wmRNA;bmEser;amEser;bm;m;bp;cv;apExp;am;isEssential;hasTATA;YEPDFit;pEst
COQ1;3,152899596;2,675778342;1,455149521;1,734079407;1,518585045;0,682653039;1,284315902;0,579612702;2,630960217;-0,556893543;-0,187203263;0,704301506;FALSE;FALSE;0,05066;3,082081424
GPI18;3,114610984;2,63748973;1,305995883;1,496514519;1,361511482;0,706920402;1,046751013;0,342047813;2,75766008;NA;NA;0,704301506;TRUE;NA;0,4200892;2,971216398
RCR1;2,807535028;2,330413773;1,206556044;1,376576957;1,288747967;0,912282521;0,926813452;0,222110252;3,085233759;NA;NA;0,704301506;FALSE;NA;-0,010105;3,178852515
UGA2;3,174350597;2,697229343;1,278067331;1,288025535;0,667109834;0,479116746;0,83826203;0,13355883;2,878480898;NA;0,127615018;0,704301506;FALSE;TRUE;-0,002405;2,883548232
DSF2;3,344588743;2,867467488;1,041787319;1,296445794;1,521349784;1,052329537;0,846682289;0,141979089;2,463542482;NA;0,317946716;0,704301506;FALSE;NA;-0,003655;2,477030075
IPP1;2,936513742;2,459392488;3,425785204;3,235424911;1,979066313;-0,318296148;2,785661406;2,080958205;3,31663625;-0,661244783;-1,326983992;0,704301506;TRUE;FALSE;0,4200892;5,269102961
GRX7;2,786751422;2,309630167;2,094750552;1,937267072;1,360193106;0,42036527;1,487503567;0,782800367;3,433521758;NA;NA;0,704301506;FALSE;NA;-0,01343;4,087830629
MNN2;3,253822439;2,776701184;2,068222979;2,219741661;1,514912919;0,473749012;1,769978156;1,065274955;2,657448579;-0,641494089;0,442885452;0,704301506;FALSE;FALSE;0,052205;3,59423204
KAP104;3,440436766;2,963315511;1,910143961;2,132355762;1,526379826;0,533066161;1,682592257;0,977889056;2,400141133;-0,709297757;0,006192855;0,704301506;FALSE;TRUE;NA;3,249538694
GAL7;3,041787319;2,564666064;-0,408935393;0,359835482;0,07517472;0,700133174;-0,089928023;-0,794631223;2,252231505;NA;NA;0,704301506;FALSE;TRUE;-0,01323;1,329108787
FUR4;3,279210513;2,802089258;1,039810554;1,24674471;0,89952089;0,861385632;0,796981205;0,092278004;2,576645032;NA;NA;0,704301506;FALSE;FALSE;NA;2,540431541
POA1;2,727541257;2,250420002;1,766561553;1,653598382;1,394415395;0,664688299;1,203834877;0,499131676;3,448211614;NA;-0,193936645;0,704301506;FALSE;NA;-0,011485;3,818851795
CHS3;3,543819805;3,06669855;1,548266545;1,897846932;1,702524804;0,555928035;1,448083426;0,743380226;2,169389508;NA;-0,071219369;0,704301506;FALSE;TRUE;-0,006495;2,784278239
SCO2;2,957128198;2,480006943;1,407390904;1,36267093;0,989240221;0,514600493;0,912907425;0,208204224;3,150381477;NA;0,505033359;0,704301506;TRUE;FALSE;-0,024125;3,230094206
OLA1;3,07371835;2,596597096;3,024239306;2,956394166;1,946918907;0,025020953;2,506630661;1,801927461;3,056916489;-0,890927919;-0,514562197;0,704301506;FALSE;NA;0,058335;4,730352455
ETR1;3,05804623;2,580924976;1,999565488;1,89337333;1,010282825;0,085028361;1,443609825;0,738906625;3,110935627;NA;0,257248875;0,704301506;FALSE;NA;0,215855;3,721350757
YPK3;3,198106999;2,720985744;1,437116093;1,706717782;1,41973684;0,798526594;1,256954277;0,552251077;2,595081012;-0,715569266;-0,187203263;0,704301506;FALSE;NA;0,002325;3,018840593
CDS1;3,137986733;2,660865478;1,87052095;1,992155711;1,651755849;0,633492399;1,542392206;0,837689005;2,803168206;NA;NA;0,704301506;TRUE;FALSE;0,4200892;3,512365716
RKM3;3,219846386;2,742725131;1,139879086;1,54567815;1,310068296;0,831062781;1,095914645;0,391211444;2,43714425;NA;0,050774987;0,704301506;FALSE;NA;-0,00793;2,699864199
