Duplication;ORF;HM.Stynen;list.Biogrid.HM.Pubmed.id;n.Biogrid.study;n.Biogrid.HM;HM.Biogrid;HM.Kim;HM.PCA;HM.final
S;YBL096C;NA;NA;NA;NA;NA;0;NA;0
S;YBL098W;1;NA;NA;NA;NA;NA;NA;1
S;YBL100W-C;0;NA;NA;NA;NA;NA;NA;0
S;YBL102W;1;NA;PCA(18467557);1;1;0;NA;1
S;YBL104C;0;NA;NA;NA;NA;0;NA;0
S;YBL107C;0;NA;NA;NA;NA;0;NA;0
S;YBL108C-A;0;NA;NA;NA;NA;NA;NA;0
S;YBL108W;NA;NA;NA;NA;NA;0;NA;0
S;YBL109W;NA;NA;NA;NA;NA;0;NA;0
S;YBR004C;0;NA;NA;NA;NA;NA;NA;0
S;YBR012C;NA;NA;NA;NA;NA;0;NA;0
S;YBR013C;NA;NA;NA;NA;NA;0;NA;0
S;YBR018C;0;NA;NA;NA;NA;0;NA;0
S;YBR022W;0;NA;NA;NA;NA;0;NA;0
S;YBR026C;0;NA;NA;NA;NA;0;NA;0
S;YBR027C;NA;NA;NA;NA;NA;0;NA;0
S;YBR029C;NA;NA;NA;NA;NA;0;NA;0
S;YBR032W;NA;NA;NA;NA;NA;0;NA;0
S;YBR035C;0;NA;Reconstituted Complex(26327315);1;1;NA;NA;1
S;YBR036C;1;NA;PCA(16093310);1;1;0;NA;1
S;YBR039W;0;NA;NA;NA;NA;1;NA;1
S;YBR047W;0;NA;NA;NA;NA;0;NA;0
S;YBR050C;0;NA;NA;NA;NA;0;NA;0
S;YBR051W;NA;NA;NA;NA;NA;0;NA;0
S;YBR053C;0;NA;NA;NA;NA;0;NA;0
S;YBR058C-A;NA;NA;NA;NA;NA;0;NA;0
S;YBR063C;0;NA;NA;NA;NA;0;NA;0
S;YBR064W;NA;NA;NA;NA;NA;0;NA;0
S;YBR065C;NA;NA;"Affinity Capture-MS(16554755);Reconstituted Complex(25655993)";2;1;0;NA;1
S;YBR070C;0;NA;Affinity Capture-Western(19129246);1;1;0;NA;1
S;YBR071W;0;NA;NA;NA;NA;0;NA;0
S;YBR072C-A;0;NA;NA;NA;NA;NA;NA;0
S;YBR075W;NA;NA;NA;NA;NA;0;NA;0
S;YBR076W;0;NA;NA;NA;NA;0;NA;0
S;YBR077C;1;NA;"Co-crystal Structure(20655927);Co-crystal Structure(23123112);Reconstituted Complex(16732272);Two-hybrid(10688190);Two-hybrid(11283351)";5;2;1;NA;1
S;YBR083W;0;NA;Affinity Capture-MS(11805837);1;0;0;NA;0
S;YBR086C;NA;NA;"Affinity Capture-Western(17234190);PCA(16093310)";2;1;NA;NA;1
S;YBR088C;0;NA;"Affinity Capture-MS(11805837);Co-crystal Structure(17308348);Co-crystal Structure(19053247);Co-crystal Structure(21364740);Co-crystal Structure(22382979);Co-crystal Structure(29499038);Co-crystal Structure(8001157);Reconstituted Complex(17251197);Reconstituted Complex(23395907);Reconstituted Complex(23506842);Reconstituted Complex(23869605);Reconstituted Complex(25228764);Reconstituted Complex(29499038);Two-hybrid(17251197)";14;13;0;NA;1
S;YBR089W;NA;NA;NA;NA;NA;0;NA;0
S;YBR090C;0;NA;NA;NA;NA;0;NA;0
S;YBR094W;NA;NA;"Affinity Capture-MS(16554755);Affinity Capture-MS(22940862)";2;1;0;NA;1
S;YBR096W;NA;NA;NA;NA;NA;0;NA;0
S;YBR100W;NA;NA;NA;NA;NA;0;NA;0
S;YBR101C;NA;NA;Affinity Capture-MS(16554755);1;0;0;NA;0
S;YBR103C-A;NA;NA;NA;NA;NA;0;NA;0
S;YBR106W;1;NA;PCA(18467557);1;1;0;NA;1
S;YBR107C;0;NA;"Affinity Capture-MS(16554755);Co-crystal Structure(24075991);Two-hybrid(17634282)";3;1;0;NA;1
S;YBR108W;NA;NA;"Reconstituted Complex(19345193);Two-hybrid(11489916)";2;1;NA;NA;1
S;YBR110W;0;NA;"Affinity Capture-Western(15044395);PCA(16093310);PCA(16096345)";3;2;0;NA;1
S;YBR111C;0;NA;NA;NA;NA;0;NA;0
S;YBR111W-A;0;NA;"Affinity Capture-MS(21734642);Affinity Capture-Western(19328066)";2;2;NA;NA;1
S;YBR113W;NA;NA;NA;NA;NA;0;NA;0
S;YBR116C;NA;NA;NA;NA;NA;0;NA;0
S;YBR120C;0;NA;NA;NA;NA;0;NA;0
S;YBR122C;NA;NA;NA;NA;NA;0;NA;0
S;YBR123C;0;NA;"Affinity Capture-MS(14759368);Affinity Capture-MS(16554755)";2;1;0;NA;1
S;YBR128C;0;NA;"Affinity Capture-MS(23904270);Affinity Capture-Western(11157979);Affinity Capture-Western(24165940)";3;0;0;NA;0
S;YBR129C;0;NA;NA;NA;NA;0;NA;0
S;YBR131W;0;NA;NA;NA;NA;0;NA;0
S;YBR133C;0;NA;"Affinity Capture-Western(11408575);Reconstituted Complex(11408575)";2;1;0;NA;1
S;YBR134W;NA;NA;NA;NA;NA;0;NA;0
S;YBR135W;0;NA;"Affinity Capture-MS(11805837);Affinity Capture-MS(16554755);Co-crystal Structure(10997903);Reconstituted Complex(21704044);Two-hybrid(11283351)";5;2;0;NA;1
S;YBR137W;1;NA;"Co-crystal Structure(25288638);Two-hybrid(11283351)";2;2;0;NA;1
S;YBR141C;NA;NA;NA;NA;NA;0;NA;0
S;YBR144C;NA;NA;NA;NA;NA;0;NA;0
S;YBR153W;0;NA;"Co-crystal Structure(23620735);Two-hybrid(18719252)";2;2;0;NA;1
S;YBR154C;0;NA;"Affinity Capture-MS(14759368);Affinity Capture-MS(16554755)";2;1;0;NA;1
S;YBR157C;0;NA;NA;NA;NA;NA;NA;0
S;YBR162W-A;0;NA;NA;NA;NA;0;NA;0
S;YBR163W;NA;NA;NA;NA;NA;0;NA;0
S;YBR166C;1;NA;"Affinity Capture-MS(16554755);Two-hybrid(18719252)";2;1;0;NA;1
S;YBR167C;NA;NA;"Affinity Capture-MS(16554755);Affinity Capture-Western(17881380);Two-hybrid(11880623)";3;1;0;NA;1
S;YBR170C;NA;NA;"Affinity Capture-MS(22940862);Two-hybrid(11283351)";2;1;0;NA;1
S;YBR173C;0;NA;NA;NA;NA;0;NA;0
S;YBR174C;NA;NA;NA;NA;NA;0;NA;0
S;YBR176W;NA;NA;"Two-hybrid(10688190);Two-hybrid(18719252)";2;2;0;NA;1
S;YBR178W;NA;NA;NA;NA;NA;0;NA;0
