Duplication,ORF_P1,Gene_P1,ORF_P2,Gene_P2,Couple,bm_P1,bm_P2,Delta_bm,LogFold_bm,bp_P1,bp_P2,Delta_bp,LogFold_bp,Crick distance,bp/bm_P1,bp/bm_P2,cv_P1,cv_P2,pEst_P1,pEst_P2,Delta_pEst,LogFold_pEst
WGD,YBR140C,IRA1,YOL081W,Problem,YBR140C-YOL081W,1.354580413,1.392720919,,,1.3902798840000001,1.244527868,,,,,,,-0.5684754160000001,1.9116656019999998,1.8040540919999999,,
WGD,YBR145W,ADH5,YOL086C,Problem,YBR145W-YOL086C,0.9300856740000001,3.602644531,,,2.9533016969999997,3.20131908,,,,,,,,3.050192675,5.970768916,,
SSD,YBR151W,APD1,YML050W,Problem,YBR151W-YML050W,1.6148067869999998,0.534763808,,,2.9398489110000003,3.0333289839999997,,,,,,-0.594056319,,3.721461002,2.734898097,,
WGD,YBR161W,CSH1,YPL057C,Problem,YBR161W-YPL057C,1.045503239,1.332350642,,,2.8710417510000004,2.7838366089999997,,,,,,,-0.7267671659999999,3.083350295,3.2829925560000004,,
WGD,YBR169C,SSE2,YPL106C,Problem,YBR169C-YPL106C,1.277208078,2.7455160739999998,,,2.633917921,2.8535005339999997,,,,,,-0.56193255,,3.077931304,4.765821913,,
WGD,YBR172C,SMY2,YPL105C,Problem,YBR172C-YPL105C,1.330697828,1.363417027,,,2.616539654,2.402736265,,,,,,-0.724458312,-0.6721304309999999,3.114042786,2.932958597,,
WGD,YBR177C,EHT1,YPL095C,Problem,YBR177C-YPL095C,1.504623745,0.7535414109999999,,,2.905868138,2.5406732219999997,,,,,,-0.6829818990000001,,3.577297188,2.461019938,,
WGD,YBR183W,YPC1,YPL087W,Problem,YBR183W-YPL087W,1.039350864,1.326719751,,,2.7651692469999998,2.961415824,,,,,,,,2.9713254160000004,3.4549408789999996,,
SSD,YBR207W,FTH1,YER145C,Problem,YBR207W-YER145C,1.378316085,2.0351055280000003,,,2.823522619,2.945606293,,,,,,-0.6937894920000001,-0.7193078359999999,3.368644008,4.147517125,,
WGD,YBR210W,ERV15,YGL054C,Problem,YBR210W-YGL054C,1.3733192909999998,2.060540163,,,3.410091724,3.590170432,,,,,,,-0.904656268,3.95021632,4.817515900000001,,
WGD,YBR214W,SDS24,YGL056C,Problem,YBR214W-YGL056C,1.0062987190000001,1.247204136,,,2.93857893,2.907060813,,,,,,-0.635073966,-0.7471469690000001,3.111682954,3.3210702530000002,,
WGD,YBR216C,YBP1,YGL060W,Problem,YBR216C-YGL060W,1.119493328,1.080948333,,,2.584874095,2.533653433,,,,,,-0.6556077260000001,,2.8711727280000003,2.78140707,,
SSD,YBR249C,ARO4,YDR035W,Problem,YBR249C-YDR035W,2.210684546,1.79862668,,,3.1330847569999998,3.063185491,,,,,,-0.761702932,-0.7819899570000001,4.510574608,4.028617476,,
SSD,YBR251W,MRPS5,YGL123W,Problem,YBR251W-YGL123W,1.2451924970000001,3.2264489139999997,,,3.153825673,3.311446174,,,,,,-0.575363335,,3.5658234739999997,5.7047003929999995,,
SSD,YBR263W,SHM1,YLR058C,Problem,YBR263W-YLR058C,2.100526012,2.473050152,,,2.8518969710000004,3.104436285,,,,,,-0.64320954,-0.85062691,4.119228288,4.7442917410000005,,
WGD,YBR273C,UBX7,YJL048C,Problem,YBR273C-YJL048C,1.2823084359999999,0.832178428,,,2.992783694,2.7994071330000003,,,,,,,,3.441897435,2.798390866,,
SSD,YBR281C,DUG2,YFR044C,Problem,YBR281C-YFR044C,1.208438748,2.200961595,,,2.480406965,2.920831733,,,,,,,-0.658466559,2.855651017,4.288598633,,
SSD,YBR283C,SSH1,YLR378C,Problem,YBR283C-YLR378C,2.0606608509999997,2.103172261,,,2.827550768,2.765878204,,,,,,-0.847711656,,4.055016923999999,4.035855768999999,,
WGD,YCL011C,GBP2,YNL004W,Problem,YCL011C-YNL004W,1.798283364,1.343398024,,,2.7844533289999998,2.9824381580000003,,,,,,-0.622967091,-0.698535927,3.7495419969999997,3.4926414869999998,,
WGD,YCL024W,KCC4,YDR507C,Problem,YCL024W-YDR507C,0.970852265,1.4511495630000002,,,2.078274247,2.360948751,,,,,,,-0.652572401,2.215931817,2.978903618,,
WGD,YCL037C,SRO9,YDR515W,Problem,YCL037C-YDR515W,2.012229961,1.048409155,,,3.151956343,2.922789921,,,,,,-0.895171596,-0.640828794,4.330991609,3.1380043810000005,,
WGD,YCL043C,PDI1,YDR518W,Problem,YCL043C-YDR518W,2.5221753430000002,1.411950082,,,2.903163357,2.8763848810000003,,,,,,-0.750068243,,4.592144004,3.455140268,,
WGD,YCL050C,APA1,YDR530C,Problem,YCL050C-YDR530C,1.9016655830000002,1.004623962,,,3.358425519,2.870916409,,,,,,-0.815308569,,4.426896406,3.042345675,,
WGD,YCL051W,LRE1,YDR528W,Problem,YCL051W-YDR528W,0.991145577,1.126577845,,,2.4942896930000003,2.5360807640000003,,,,,,,,2.652240574,2.829463913,,
SSD,YCL057W,PRD1,YKL134C,Problem,YCL057W-YKL134C,1.710614976,0.98208254,,,2.562938762,2.4127005759999998,,,,,,-0.7768936190000001,,3.440359043,2.5615884209999997,,
WGD,YCR005C,CIT2,YNR001C,Problem,YCR005C-YNR001C,1.589015564,1.768824511,,,2.84036458,2.8797425939999997,,,,,,,-0.629301907,3.5961854489999996,3.8153724089999996,,
SSD,YCR009C,RVS161,YDR388W,Problem,YCR009C-YDR388W,1.832767979,1.911075951,,,3.2249993789999998,2.858360172,,,,,,-0.8157345570000001,-0.793984123,4.224572662,3.9362414269999997,,
WGD,YCR026C,NPP1,YEL016C,Problem,YCR026C-YEL016C,1.131617184,1.057282367,,,2.483934551,2.305540625,,,,,,,,2.782357039,2.529628297,,
SSD,YCR036W,RBK1,YJR105W,Problem,YCR036W-YJR105W,1.428298476,2.360186562,,,3.021322168,3.207760859,,,,,,-0.678919635,-0.881404635,3.616425949,4.734752726,,
WGD,YCR048W,ARE1,YNR019W,Problem,YCR048W-YNR019W,1.47858113,1.35335205,,,2.552342843,2.796509997,,,,,,,-0.56193255,3.197729278,3.3166673510000004,,
WGD,YCR052W,RSC6,YNR023W,Problem,YCR052W-YNR023W,1.50923016,0.9144121279999999,,,2.7957708639999996,2.745060367,,,,,,,,3.4718063289999996,2.8262777989999996,,
WGD,YCR067C,SED4,YNR026C,Problem,YCR067C-YNR026C,1.3579744169999999,1.256868946,,,2.393922004,2.95629609,,,,,,-0.598599459,-0.634699251,2.918701725,3.37997034,,
