Duplication,ORF_P1,Gene_P1,ORF_P2,Gene_P2,Couple,bm_P1,bm_P2,Delta_bm,LogFold_bm,bp_P1,bp_P2,Delta_bp,LogFold_bp,Crick distance,bp/bm_P1,bp/bm_P2,cv_P1,cv_P2,pEst_P1,pEst_P2,Delta_pEst,LogFold_pEst
SSD,YDR245W,MNN10,YJL183W,Problem,YDR245W-YJL183W,1.718350782,1.748315971,,,2.825302991,2.73493052,,,,,,-0.684659523,-0.730487056,3.710459077,3.650051795,,
WGD,YDR247W,VHS1,YPL026C,Problem,YDR247W-YPL026C,0.836243617,1.042717505,,,2.6907798119999997,2.669686781,,,,,,-0.648590248,-0.573570075,2.693828733,2.87920959,,
WGD,YDR252W,BTT1,YPL037C,Problem,YDR252W-YPL037C,0.809591422,2.72358013,,,3.598155124,3.652409374,,,,,,,-0.9413842029999999,3.5745518510000003,5.542794809,,
WGD,YDR253C,MET32,YPL038W,Problem,YDR253C-YPL038W,0.46669044299999995,1.224822097,,,3.202154568,3.206464598,,,,,,,,2.835650316,3.5980919989999998,,
SSD,YDR258C,HSP78,YLL026W,Problem,YDR258C-YLL026W,1.4955573359999998,2.099362422,,,2.62355381,2.713924579,,,,,,-0.571217489,-0.657084083,3.28591645,3.980092305,,
WGD,YDR259C,YAP6,YOR028C,Problem,YDR259C-YOR028C,0.545432786,0.741128212,,,2.465533417,3.1015982689999997,,,,,,,,2.177771508,3.009531786,,
WGD,YDR263C,DIN7,YOR033C,Problem,YDR263C-YOR033C,0.79919011,1.0896889859999999,,,1.719270899,2.130718499,,,,,,,,1.685266313,2.38721279,,
WGD,YDR264C,AKR1,YOR034C,Problem,YDR264C-YOR034C,1.7805065519999999,1.147492778,,,2.39838803,2.214410254,,,,,,-0.756961951,,3.3456998860000002,2.528708336,,
WGD,YDR272W,GLO2,YOR040W,Problem,YDR272W-YOR040W,1.5573866000000003,0.8666262459999999,,,3.369200055,3.032235169,,,,,,-0.758329026,,4.09339196,3.06566672,,
WGD,YDR275W,BSC2,YOR044W,Problem,YOR044W-YDR275W,1.170164205,0.838932755,,,2.2119220619999997,3.247842111,,,,,,,,2.548891572,3.2535801710000003,,
WGD,YDR277C,MTH1,YOR047C,Problem,YDR277C-YOR047C,0.63517007,1.121246167,,,2.784931616,2.665588096,,,,,,,,2.58690699,2.9536395669999997,,
SSD,YDR284C,DPP1,YDR503C,Problem,YDR284C-YDR503C,1.395272488,1.059842199,,,3.1052157910000004,2.9296503460000003,,,,,,,,3.667293583,3.15629785,,
SSD,YDR292C,SRP101,YPR088C,Problem,YDR292C-YPR088C,1.49025465,1.850766764,,,2.631456397,2.817394111,,,,,,,,3.288516351,3.83496618,,
SSD,YDR294C,DPL1,YMR250W,Problem,YDR294C-YMR250W,1.53480881,1.179340145,,,2.6337695130000003,2.694630697,,,,,,-0.7582045690000001,,3.335383628,3.0407761460000002,,
WGD,YDR304C,CPR5,YHR057C,Problem,YDR304C-YHR057C,2.1151982990000002,1.368330364,,,3.380088745,3.310436246,,,,,,-0.579796626,,4.662092348,3.8455719139999998,,
WGD,YDR309C,GIC2,YHR061C,Problem,YDR309C-YHR061C,1.364150915,1.012634493,,,3.175937166,2.974237421,,,,,,-0.51349868,,3.7068933860000004,3.1536772180000003,,
SSD,YDR319C,YFT2,YGL126W,Problem,YDR319C-YGL126W,0.971840422,1.3482652880000001,,,3.024892361,2.605522406,,,,,,,-0.65130581,3.163538087,3.120592999,,
SSD,YDR339C,FCF1,YOR004W,Problem,YDR339C-YOR004W,1.536425795,1.453435042,,,3.388279921,3.255614641,,,,,,,,4.09151102,3.875854988,,
SSD,YDR347W,MRP1,YJR101W,Problem,YDR347W-YJR101W,1.552056712,1.3640175730000001,,,2.814138445,3.082091239,,,,,,,-0.636764196,3.5330004610000003,3.612914117,,
WGD,YDR351W,SBE2,YHR103W,Problem,YDR351W-YHR103W,1.14219105,1.4732731630000002,,,2.377259463,2.231094871,,,,,,,,2.6862558169999997,2.871173339,,
