Model,Mut_sigma,Mut_ratio,Mut_alpha,Mut_corr,Iter,Folder,Set,Comparison,Type,Moods_stat,Moods_p-val,KS_stat,KS_p-val
ADS,0.01,0.5,0,0,Bm05_iter1,1_percent,Mut_SD_SSD,All duplicates,All,55.84969804692113,0.0046382810449712595,0.22410268948655254,3.700866432977221e-07
ADS,0.01,0.5,0,0,Bm05_iter1,1_percent,Mut_SD_SSD,All duplicates,True duplicates,54.958029560367706,0.0009461287574493359,0.22892212561758768,3.370992473734588e-09
ADS,0.01,0.5,0,0,Bm05_iter1,1_percent,Mut_SD_SSD,SSD,All,18.42058536585366,0.03148281089780239,0.22811219512195116,8.995447288139919e-05
ADS,0.01,0.5,0,0,Bm05_iter1,1_percent,Mut_SD_SSD,SSD,True duplicates,17.681434065378,0.010967219050994558,0.23227153122153624,5.094113910957908e-05
ADS,0.01,0.5,0,0,Bm05_iter1,1_percent,Mut_SD_SSD,WGD,All,43.19592714824607,0.026704886025979323,0.23596326530612238,0.0003318112301190735
ADS,0.01,0.5,0,0,Bm05_iter1,1_percent,Mut_SD_SSD,WGD,True duplicates,41.15970201703968,0.010900887720829481,0.2408692522652214,1.783130586633727e-05
ADS,0.01,0.5,0,0,Bm05_iter2,1_percent,Mut_SD_SSD,All duplicates,All,60.63341303764753,0.0046382810449616795,0.2299012224938875,2.1915608543573767e-06
ADS,0.01,0.5,0,0,Bm05_iter2,1_percent,Mut_SD_SSD,All duplicates,True duplicates,57.33835433280143,0.0009673660398380709,0.23540542907447892,6.167220594512172e-09
ADS,0.01,0.5,0,0,Bm05_iter2,1_percent,Mut_SD_SSD,SSD,All,17.64087804878049,0.03154322750798523,0.22747317073170725,0.00029126013997766986
ADS,0.01,0.5,0,0,Bm05_iter2,1_percent,Mut_SD_SSD,SSD,True duplicates,17.938517892400384,0.010842039463703422,0.23426913074836697,2.2609762962371636e-05
ADS,0.01,0.5,0,0,Bm05_iter2,1_percent,Mut_SD_SSD,WGD,All,44.278882394009734,0.026704908311671962,0.24314081632653056,0.0005754194534364003
