Model,Mut_sigma,Mut_ratio,Mut_alpha,Mut_corr,Iter,Folder,Set,Type,rho_fold,p-val_fold,rho_signed,p-val_signed,rho_ratio,p-val_ratio
Mixed,0.15,10.0,0,0,Bm10_iter1,15_percent,Mut_SD_SSD_1e5,All,0.5190934018747906,1.5144548912842687e-172,0.1522136229677437,2.6623047625534132e-27,0.8945742907158867,0.0
Mixed,0.15,10.0,0,0,Bm10_iter1,15_percent,Mut_SD_SSD_1e5,True duplicates,0.3801156074403079,1.2915587942597472e-60,-0.0390141340324061,0.0111508666878779,0.7961308131856253,0.0
No Cost,0.15,10.0,0,0,Bm10_iter1,15_percent,Mut_SD_SSD_1e5,All,0.4986837966325391,2.5475480505679336e-157,-0.003370013924391,0.8116972305114075,0.8731153389304543,0.0
No Cost,0.15,10.0,0,0,Bm10_iter1,15_percent,Mut_SD_SSD_1e5,True duplicates,0.3844476639738921,8.969998503891242e-63,-0.0501667655956854,0.0010680619770563,0.7026574314258219,8.272073992100107e-261
ADS,0.15,10.0,0,0,Bm10_iter1,15_percent,Mut_SD_SSD_1e5,All,0.5107968365754267,3.1247880472354264e-166,0.102436480490659,3.852408084290935e-13,0.8283611493697841,0.0
ADS,0.15,10.0,0,0,Bm10_iter1,15_percent,Mut_SD_SSD_1e5,True duplicates,0.4107222689141164,5.927084553749581e-73,-0.0554634577238783,0.0002883159120909,0.6642672690715955,1.3231539139491868e-225
Minimal,0.15,10.0,0,0,Bm10_iter1,15_percent,Mut_SD_SSD_1e5,All,0.5053347248755624,3.6116219078009053e-162,0.1041048691759132,1.5883281392661574e-13,0.8368106183696992,0.0
Minimal,0.15,10.0,0,0,Bm10_iter1,15_percent,Mut_SD_SSD_1e5,True duplicates,0.4117352565012423,1.2700722900009308e-73,-0.0570771284969186,0.0001882446578084,0.7057675680388433,7.411635221746715e-268
Mixed,0.15,1.0,0,0,Bm1_iter2,15_percent,Mut_SD_SSD_1e5,All,0.6301328357972538,9.101279122769437e-277,0.3056722328678057,1.2757970612694817e-108,0.5496085213453634,2.421227600770976e-197
Mixed,0.15,1.0,0,0,Bm1_iter2,15_percent,Mut_SD_SSD_1e5,True duplicates,0.286647150624891,3.710442857989424e-33,-0.0123626013508596,0.4241945200396958,0.6949121300656718,9.793679894962648e-243
No Cost,0.15,1.0,0,0,Bm1_iter2,15_percent,Mut_SD_SSD_1e5,All,0.5994605774496925,7.796890010653413e-244,0.2258709361847674,7.330008914744915e-59,0.4602646255783401,2.5609185806025443e-131
No Cost,0.15,1.0,0,0,Bm1_iter2,15_percent,Mut_SD_SSD_1e5,True duplicates,0.3986423659411993,4.426407549426201e-64,-0.0701482749037137,6.0443133236342185e-06,0.3143828313119354,3.044520823188154e-39
ADS,0.15,1.0,0,0,Bm1_iter2,15_percent,Mut_SD_SSD_1e5,All,0.5086478537996567,1.2651060068308329e-164,0.1830056529379155,6.562314345645551e-39,-0.0303072156011545,0.1297848360144491
ADS,0.15,1.0,0,0,Bm1_iter2,15_percent,Mut_SD_SSD_1e5,True duplicates,0.3579522403460108,9.172627891533811e-55,-0.0915763883719887,2.0008554774256342e-09,0.0023218564444081,0.9221505101425054
Minimal,0.15,1.0,0,0,Bm1_iter2,15_percent,Mut_SD_SSD_1e5,All,0.5175981863677098,2.144035408946926e-171,0.1798488543029107,1.2882768034078204e-37,0.0003136151541784,0.9874953343152342
Minimal,0.15,1.0,0,0,Bm1_iter2,15_percent,Mut_SD_SSD_1e5,True duplicates,0.3937770739165006,1.9459470126624978e-66,-0.0881404511581648,8.229316818229582e-09,0.0421776931870086,0.0767288369465304
Mixed,0.15,3.0,0,0,Bm3_iter2,15_percent,Mut_SD_SSD_1e5,All,0.5556372163259546,1.4989215614102394e-202,0.2103518157054536,4.0788730035939545e-51,0.7958549819927973,0.0
Mixed,0.15,3.0,0,0,Bm3_iter2,15_percent,Mut_SD_SSD_1e5,True duplicates,0.342987171151125,1.376542066220761e-48,-0.0252759193108409,0.1007654204935906,0.7200298733406334,1.9840297710572248e-274
No Cost,0.15,3.0,0,0,Bm3_iter2,15_percent,Mut_SD_SSD_1e5,All,0.5269474873195981,1.0938756849687037e-178,0.0904541587988158,1.478145178761127e-10,0.7402427882628462,0.0
No Cost,0.15,3.0,0,0,Bm3_iter2,15_percent,Mut_SD_SSD_1e5,True duplicates,0.331134642613313,3.348592992246172e-44,-0.0508711079409273,0.0010056880569027,0.4560151565543374,6.84368584160373e-87
ADS,0.15,3.0,0,0,Bm3_iter2,15_percent,Mut_SD_SSD_1e5,All,0.5455318470058377,7.01547470714342e-194,0.1748900411863174,1.2392651959085284e-35,0.5279302348688376,1.815950947789281e-179
ADS,0.15,3.0,0,0,Bm3_iter2,15_percent,Mut_SD_SSD_1e5,True duplicates,0.409653189639202,1.0443329823151577e-71,-0.0608129172492765,7.30616967579014e-05,0.3186519138480752,1.514181995934224e-42
Minimal,0.15,3.0,0,0,Bm3_iter2,15_percent,Mut_SD_SSD_1e5,All,0.5150923782343715,1.7672266145560968e-169,0.1859996430231734,3.705033872851979e-40,0.5326008852161418,3.2910990618253003e-183
Minimal,0.15,3.0,0,0,Bm3_iter2,15_percent,Mut_SD_SSD_1e5,True duplicates,0.3980091156956338,3.0182157136246995e-67,-0.0619565816285021,5.380828409843557e-05,0.3332997821828126,1.7294721311328454e-46
Mixed,0.15,9.0,0,0,Bm9_iter3,15_percent,Mut_SD_SSD_1e5,All,0.5305092677904863,1.5857557590415037e-181,0.1797543343016162,1.407201348109595e-37,0.8808891997582721,0.0
Mixed,0.15,9.0,0,0,Bm9_iter3,15_percent,Mut_SD_SSD_1e5,True duplicates,0.3646219254121889,3.659168104388178e-55,-0.0182433646780831,0.236182217827532,0.7877151749603803,0.0
No Cost,0.15,9.0,0,0,Bm9_iter3,15_percent,Mut_SD_SSD_1e5,All,0.5050681400636725,5.676887120323465e-162,-0.0173253272936928,0.2206237301318787,0.8619352201496354,0.0
No Cost,0.15,9.0,0,0,Bm9_iter3,15_percent,Mut_SD_SSD_1e5,True duplicates,0.3980280208435101,4.828916801652993e-68,-0.0465799428850381,0.0023470155397604,0.6805475804670317,2.8167251048918803e-240
ADS,0.15,9.0,0,0,Bm9_iter3,15_percent,Mut_SD_SSD_1e5,All,0.5186670268833268,3.22889780906663e-172,0.1178323080654719,6.322356732758214e-17,0.7997612633218023,0.0
ADS,0.15,9.0,0,0,Bm9_iter3,15_percent,Mut_SD_SSD_1e5,True duplicates,0.403082039869093,1.1501301443171956e-70,-0.0187707384309384,0.2193204222576027,0.6296306656230897,1.2654360221234328e-197
Minimal,0.15,9.0,0,0,Bm9_iter3,15_percent,Mut_SD_SSD_1e5,All,0.523214899394453,9.4993722298218e-176,0.106840602957347,3.60315970996483e-14,0.8158072457931596,0.0
Minimal,0.15,9.0,0,0,Bm9_iter3,15_percent,Mut_SD_SSD_1e5,True duplicates,0.4075524870069387,3.0608717459742847e-71,-0.0484347701354633,0.0015738207017528,0.6545712383554636,2.46113606846532e-215
Mixed,0.15,2.0,0,0,Bm2_iter2,15_percent,Mut_SD_SSD_1e5,All,0.5765236209477794,1.9032540340912652e-221,0.2398896083842511,2.2185191860605342e-66,0.7461863066538091,0.0
Mixed,0.15,2.0,0,0,Bm2_iter2,15_percent,Mut_SD_SSD_1e5,True duplicates,0.3034901011852087,1.4662958007317969e-36,-0.0179244705080259,0.2481454797829692,0.700163970166179,7.678614805181986e-244
No Cost,0.15,2.0,0,0,Bm2_iter2,15_percent,Mut_SD_SSD_1e5,All,0.546553886872622,9.607164390221777e-195,0.1078287926250747,2.0888171296294895e-14,0.6946769316283091,0.0
No Cost,0.15,2.0,0,0,Bm2_iter2,15_percent,Mut_SD_SSD_1e5,True duplicates,0.3486931535252711,3.7611070965014114e-50,-0.066543935573776,1.5411805701221532e-05,0.4135196219627343,9.808849243499129e-72
ADS,0.15,2.0,0,0,Bm2_iter2,15_percent,Mut_SD_SSD_1e5,All,0.5394463223189853,8.435124277118581e-189,0.1825658646796004,9.96803318529138e-39,0.3653408157025306,8.483070707057286e-80
