Model,Comparison,Property,Run,Mut_alpha,KS stats,KS p-value
ADS,All duplicates,Divergence ratio,Bm05,-0.35,-0.4763553382233088,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm05,-0.25,-0.45924531377343114,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm05,-0.175,-0.43363854930725343,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm05,-0.15,-0.42624205378973096,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm05,-0.125,-0.42531866340668295,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm05,-0.1,-0.41341035044824775,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm05,-0.075,-0.39578198859005703,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm05,-0.05,-0.38518867155664216,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm05,-0.01,-0.3506752241238793,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm05,0.0,-0.33352689486552567,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm1,-0.35,-0.3001161369193153,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm1,-0.25,-0.28894091279543593,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm1,-0.175,-0.27560717196414014,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm1,-0.15,-0.26739731051344745,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm1,-0.125,-0.2688720456397718,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm1,-0.1,-0.2642371638141809,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm1,-0.075,-0.255742053789731,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm1,-0.05,-0.24535207823960878,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm1,-0.01,-0.22198696006519966,1.5358085173981333e-14
ADS,All duplicates,Divergence ratio,Bm1,0.0,-0.21787367563162177,2.5424107263916085e-14
ADS,All duplicates,Divergence ratio,Bm10,-0.35,-0.22193357783211085,1.217544583672255e-14
ADS,All duplicates,Divergence ratio,Bm10,-0.25,-0.2219902200488997,1.6135241291218943e-14
ADS,All duplicates,Divergence ratio,Bm10,-0.175,-0.20917522412387934,2.4872696495018925e-13
ADS,All duplicates,Divergence ratio,Bm10,-0.15,-0.2071768541157294,5.181780930267147e-13
ADS,All duplicates,Divergence ratio,Bm10,-0.125,-0.19612021189894047,7.552329132446781e-12
ADS,All duplicates,Divergence ratio,Bm10,-0.1,-0.19750692746536266,5.795364188543317e-12
ADS,All duplicates,Divergence ratio,Bm10,-0.075,-0.1897836185819071,4.161800533826939e-11
ADS,All duplicates,Divergence ratio,Bm10,-0.05,-0.17739853300733488,2.8039101040988612e-09
ADS,All duplicates,Divergence ratio,Bm10,-0.01,-0.144360228198859,1.8705909955452071e-06
ADS,All duplicates,Divergence ratio,Bm10,0.0,-0.1376768541157294,1.1305368721144701e-05
ADS,All duplicates,Divergence ratio,Bm2,-0.35,-0.13377220863895675,2.299723543271644e-05
ADS,All duplicates,Divergence ratio,Bm2,-0.25,-0.13310554197229008,1.1832326643997545e-05
ADS,All duplicates,Divergence ratio,Bm2,-0.175,-0.12962387938060302,3.091570166657842e-05
ADS,All duplicates,Divergence ratio,Bm2,-0.15,-0.13610554197229008,7.351295652657797e-06
ADS,All duplicates,Divergence ratio,Bm2,-0.125,-0.1285105949470252,3.324521554419017e-05
ADS,All duplicates,Divergence ratio,Bm2,-0.1,-0.12377220863895673,7.013969654896927e-05
ADS,All duplicates,Divergence ratio,Bm2,-0.075,-0.11923390383048081,0.0001161372235015
ADS,All duplicates,Divergence ratio,Bm2,-0.05,-0.11662387938060303,0.0001861742323213
ADS,All duplicates,Divergence ratio,Bm2,-0.01,-0.1069343928280358,0.0009007019418028334
ADS,All duplicates,Divergence ratio,Bm2,0.0,-0.10663936430317844,0.0009949505791771666
ADS,All duplicates,Divergence ratio,Bm3,-0.35,-0.1392155664221679,1.3104533477766486e-05
ADS,All duplicates,Divergence ratio,Bm3,-0.25,-0.12854889975550118,2.8801983918376923e-05
ADS,All duplicates,Divergence ratio,Bm3,-0.175,-0.11121556642216786,0.0004402020872051667
ADS,All duplicates,Divergence ratio,Bm3,-0.15,-0.10321556642216785,0.0016170637935466333
ADS,All duplicates,Divergence ratio,Bm3,-0.125,-0.0930488997555012,0.006715113973939566
ADS,All duplicates,Divergence ratio,Bm3,-0.1,-0.08458394458027706,0.01921612567523
ADS,All duplicates,Divergence ratio,Bm3,-0.075,-0.07297921760391193,0.05526028113725143
ADS,All duplicates,Divergence ratio,Bm3,-0.05,-0.07454726976365113,0.05850671077355527
ADS,All duplicates,Divergence ratio,Bm3,-0.01,-0.06443072534637322,0.11412769237007803
ADS,All duplicates,Divergence ratio,Bm3,0.0,-0.06398736756316213,0.12425251893868772
ADS,All duplicates,Divergence ratio,Bm4,-0.35,-0.16509209453952725,3.6210296316951946e-08
ADS,All duplicates,Divergence ratio,Bm4,-0.25,-0.15531214343928282,8.124734554397032e-07
ADS,All duplicates,Divergence ratio,Bm4,-0.175,-0.1398455582722086,5.1042029947471574e-06
ADS,All duplicates,Divergence ratio,Bm4,-0.15,-0.14011206193969025,1.0082219669545664e-05
ADS,All duplicates,Divergence ratio,Bm4,-0.125,-0.13369722901385486,1.1895287173010102e-05
ADS,All duplicates,Divergence ratio,Bm4,-0.1,-0.11931214343928276,0.00011916237518041233
ADS,All duplicates,Divergence ratio,Bm4,-0.075,-0.10586389568052157,0.0012061063923222333
ADS,All duplicates,Divergence ratio,Bm4,-0.05,-0.08801059494702523,0.017350343987849102
ADS,All duplicates,Divergence ratio,Bm4,-0.01,-0.057835778321108366,0.21070479434179265
ADS,All duplicates,Divergence ratio,Bm4,0.0,-0.049067644661776634,0.3804742121581328
ADS,All duplicates,Divergence ratio,Bm5,-0.35,-0.18222534637326812,4.959022822011624e-10
ADS,All duplicates,Divergence ratio,Bm5,-0.25,-0.1775069274653626,9.30780193660515e-10
ADS,All duplicates,Divergence ratio,Bm5,-0.175,-0.15724368378158107,9.591519900542522e-08
