Model,Run,Iter,Mut_alpha,pearson,r_pval,spearman,rho_pval
ADS,Bm05,iter1,0,-0.35983614793382446,3.4039768693327656e-62,-0.3521389210347302,1.836766889129561e-59
ADS,Bm05,iter2,0,-0.3295086830854643,7.348656140643506e-52,-0.2790969877742469,4.157528905130589e-37
ADS,Bm05,iter3,0,-0.3747700416205366,1.0281900309600362e-67,-0.3198927169731792,8.08427714832145e-49
ADS,Bm10,iter1,0,0.8460094003073106,0.0,0.7900563235140808,0.0
ADS,Bm10,iter2,0,0.8469389082546824,0.0,0.7982567085641771,0.0
ADS,Bm10,iter3,0,0.8456816363331179,0.0,0.7919492114873027,0.0
ADS,Bm1,iter1,0,0.016360226969589775,0.46463066925123336,0.021960806490201618,0.326286352300585
ADS,Bm1,iter2,0,0.03373414382124294,0.13152309464136497,0.030241455060363763,0.1764064574322852
ADS,Bm1,iter3,0,-0.015729465017658942,0.4820266009884699,-0.006514774628693656,0.7709209060720481
ADS,Bm2,iter1,0,0.36302909382930304,2.3786200785765403e-63,0.30272018018004504,1.1705744846076179e-43
ADS,Bm2,iter2,0,0.41022610831904455,4.918329530696432e-82,0.3615883683970921,7.932659580526926e-63
ADS,Bm2,iter3,0,0.3732627295918065,3.824355254268682e-67,0.3183425145856286,2.441518208365543e-48
ADS,Bm3,iter1,0,0.5402454417918718,6.0859945369317175e-152,0.4625141731285433,1.436487022398903e-106
ADS,Bm3,iter2,0,0.5639232357920342,2.7829397214689505e-168,0.5022888760722191,2.5530616647355276e-128
ADS,Bm3,iter3,0,0.5319512958829107,1.6055989893685274e-146,0.48656143064035773,2.2512928335588052e-119
ADS,Bm4,iter1,0,0.6446912723864265,2.320087556525998e-235,0.5721443105360777,2.8547456796941216e-174
ADS,Bm4,iter2,0,0.6680684726109549,8.822954652224222e-259,0.5956084474021118,2.482598480375677e-192
ADS,Bm4,iter3,0,0.63897181647897,6.113238936280292e-230,0.5835416853854214,7.360935903088634e-183
ADS,Bm5,iter1,0,0.7051066414476268,1.3129100707203583e-300,0.6373801068450267,1.8810781082430483e-228
ADS,Bm5,iter2,0,0.7157573373718765,7.1383545667e-314,0.642621396155349,2.191199805370224e-233
ADS,Bm5,iter3,0,0.690527092721788,2.1791876698400034e-283,0.6312865308216327,7.781586910622105e-223
ADS,Bm6,iter1,0,0.7334348958077601,0.0,0.6616397089099272,3.953882911326733e-252
ADS,Bm6,iter2,0,0.7461886753010918,0.0,0.6703752430938107,3.29638281589458e-261
ADS,Bm6,iter3,0,0.7532919259705007,0.0,0.6875143268785817,5.882554138279348e-280
ADS,Bm7,iter1,0,0.7678631024039939,0.0,0.7007021276755319,2.697629879941214e-295
ADS,Bm7,iter2,0,0.8003116030248549,0.0,0.744272532068133,0.0
ADS,Bm7,iter3,0,0.7688437128734559,0.0,0.7078378139594533,5.942897114171963e-304
ADS,Bm8,iter1,0,0.8050921104137421,0.0,0.7352504483126121,0.0
ADS,Bm8,iter2,0,0.8155474752131074,0.0,0.7591726207931552,0.0
ADS,Bm8,iter3,0,0.8004298133018316,0.0,0.7460595275148819,0.0
ADS,Bm9,iter1,0,0.8266825696580171,0.0,0.7727432756858189,0.0
ADS,Bm9,iter2,0,0.8360775037747272,0.0,0.7799245229811307,0.0
ADS,Bm9,iter3,0,0.8209255012157197,0.0,0.7631110307777577,0.0
ADS,Bm05,iter1,-0.01,-0.40401031702715734,2.1405297129081754e-79,-0.38222846955711737,1.3941878603331872e-70
ADS,Bm05,iter2,-0.01,-0.3569867170426672,3.566211187397659e-61,-0.29121846080461516,2.166050078279573e-40
ADS,Bm05,iter3,-0.01,-0.3761183656248021,3.1563823828442192e-68,-0.3492691248172812,1.8338947257104853e-58
ADS,Bm10,iter1,-0.01,0.8612037608229829,0.0,0.816105732026433,0.0
ADS,Bm10,iter2,-0.01,0.8605060683111446,0.0,0.8170662092665522,0.0
ADS,Bm10,iter3,-0.01,0.861654633286284,0.0,0.8184541611135402,0.0
ADS,Bm1,iter1,-0.01,0.03112524188707678,0.16409506867118703,0.028501319625329907,0.2026351679444691
ADS,Bm1,iter2,-0.01,0.018693107342031504,0.4034184980225551,0.014740127185031796,0.510009950033155
ADS,Bm1,iter3,-0.01,-0.023183423820378864,0.3000690524728028,-0.01858940264735066,0.4060327151364752
ADS,Bm2,iter1,-0.01,0.3625399519309744,3.5828042735019674e-63,0.3246053701513425,2.6969830397025743e-50
ADS,Bm2,iter2,-0.01,0.4125151778519819,5.080188222739772e-83,0.36035767058941764,2.208649614429954e-62
ADS,Bm2,iter3,-0.01,0.38988588977585215,1.3221243179317487e-73,0.3343378900844725,1.9807505660575954e-53
ADS,Bm3,iter1,-0.01,0.5644876779881755,1.0931804743466685e-168,0.4958526819631705,1.3317145158530316e-124
ADS,Bm3,iter2,-0.01,0.5886083500587782,8.677489240358416e-187,0.5356946764236691,5.991922192996969e-149
ADS,Bm3,iter3,-0.01,0.5551960578422617,4.173267225317555e-162,0.4933020543255135,3.7645383959551515e-123
