Model,Comparison,Property,Run,Mut_corr,KS stats,KS p-value
ADS,All duplicates,Divergence ratio,Bm10,0.3,-0.23919519152404237,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm10,0.4,-0.24165851670741648,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm10,0.5,-0.24302689486552562,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm10,0.6,-0.2496218418907905,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm10,0.7,-0.2539918500407498,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm2,-0.4,-0.05417155664221677,0.27353280274943215
ADS,All duplicates,Divergence ratio,Bm2,-0.3,-0.043305215973920064,0.5392340960984003
ADS,All duplicates,Divergence ratio,Bm2,-0.2,-0.0366010594947025,0.733702388442821
ADS,All duplicates,Divergence ratio,Bm2,-0.1,-0.04203993480032597,0.5706424928444052
ADS,All duplicates,Divergence ratio,Bm2,0.0,-0.05250448247758754,0.30505230507024406
ADS,All duplicates,Divergence ratio,Bm2,0.1,-0.05085615321923387,0.3359181284673813
ADS,All duplicates,Divergence ratio,Bm2,0.2,-0.063082314588427,0.13092426346909528
ADS,All duplicates,Divergence ratio,Bm2,0.3,-0.0729458027709861,0.05973822173511207
ADS,All duplicates,Divergence ratio,Bm2,0.4,-0.0859388753056234,0.013556525249030634
ADS,All duplicates,Divergence ratio,Bm2,0.5,-0.08998736756316213,0.0101492997991876
ADS,All duplicates,Divergence ratio,Bm2,0.6,-0.108582314588427,0.0009715325630964333
ADS,All duplicates,Divergence ratio,Bm2,0.7,-0.12784392828035854,3.741529131606747e-05
ADS,All duplicates,Divergence ratio,Bm3,-0.4,-0.11179502852485738,0.0005126577171855143
ADS,All duplicates,Divergence ratio,Bm3,-0.3,-0.09839527302363482,0.0026424986006376
ADS,All duplicates,Divergence ratio,Bm3,-0.2,-0.09175957620211894,0.006551388043508633
ADS,All duplicates,Divergence ratio,Bm3,-0.1,-0.09344295028524853,0.005641847202619733
ADS,All duplicates,Divergence ratio,Bm3,0.0,-0.0820965770171149,0.025767020925979597
ADS,All duplicates,Divergence ratio,Bm3,0.1,-0.09374531377343105,0.0051080923243117665
ADS,All duplicates,Divergence ratio,Bm3,0.2,-0.10084718826405865,0.0023763963110917
ADS,All duplicates,Divergence ratio,Bm3,0.3,-0.10622045639771797,0.0009601804751346333
ADS,All duplicates,Divergence ratio,Bm3,0.4,-0.10888223308883453,0.0009212741314720666
ADS,All duplicates,Divergence ratio,Bm3,0.5,-0.11788223308883454,0.00014291063893196666
ADS,All duplicates,Divergence ratio,Bm3,0.6,-0.12571556642216788,4.520196945704639e-05
ADS,All duplicates,Divergence ratio,Bm3,0.7,-0.1440488997555012,2.1820125307714378e-06
