Model,Run,Iter,Mut_corr,pearson,r_pval,spearman,rho_pval
ADS,Bm05,iter1,0,-0.04105712279950391,0.06639368056286428,-0.05137119384279845,0.02159195338350693
ADS,Bm05,iter2,0,-0.07353335963471283,0.0009986323869253296,-0.07736015384003846,0.0005348273892213548
ADS,Bm05,iter3,0,-0.023918117252934443,0.28500887141236275,-0.03523542580885645,0.11519179555298491
ADS,Bm10,iter1,0,-0.010275541893440335,0.6460467255567554,0.0020147795036948757,0.9282495170600471
ADS,Bm10,iter2,0,-0.038423690323923225,0.08581125173027641,-0.04350547087636771,0.05173545634072706
ADS,Bm10,iter3,0,-0.0072723075607519765,0.7451595372916645,-0.016509388127347032,0.46056854284871185
ADS,Bm1,iter1,0,-0.02216514626088463,0.3218040195208635,-0.028477954119488523,0.2030056964391337
ADS,Bm1,iter2,0,-0.0672046658186615,0.0026383547485013736,-0.08142457735614433,0.00026718901082132624
ADS,Bm1,iter3,0,-0.01706204294541711,0.4456923021915436,-0.03097524624381156,0.16613768939456716
ADS,Bm2,iter1,0,-0.04037783893064882,0.0710184968266316,-0.052195228048807,0.019576174233752092
ADS,Bm2,iter2,0,-0.06127541693135579,0.006121844677311616,-0.06565659141414786,0.003307780990078378
ADS,Bm2,iter3,0,-0.02241335383739255,0.31641370182621587,-0.03010088852522213,0.17842639933389334
ADS,Bm3,iter1,0,-0.04210885122047914,0.05972437795632016,-0.04653244463311115,0.03745035418752409
ADS,Bm3,iter2,0,-0.056825064689873785,0.01102961014096881,-0.05927217731804433,0.008015733148474704
ADS,Bm3,iter3,0,-0.013838482282501782,0.5362336408821484,-0.027539337884834467,0.2183003732344916
ADS,Bm4,iter1,0,-0.024694126128972423,0.26966567839106154,-0.025719022929755735,0.2502836234036616
ADS,Bm4,iter2,0,-0.06519834399335601,0.0035337085161792335,-0.06195602898900725,0.005576636719440299
ADS,Bm4,iter3,0,-0.006080786232323533,0.7857961610833514,-0.00805727151431788,0.7187628491173581
ADS,Bm5,iter1,0,-0.024768020683472922,0.26823474210478987,-0.013189306797326699,0.5555255013479136
ADS,Bm5,iter2,0,-0.046741410488978424,0.03660208287579403,-0.04361890540472635,0.051127808700493334
ADS,Bm5,iter3,0,-0.018900685673036488,0.3982161610023661,-0.030216499554124886,0.17676381919883807
ADS,Bm6,iter1,0,-0.013332718873849401,0.5512346632825437,-0.004097861524465381,0.8546817875086754
ADS,Bm6,iter2,0,-0.044398841236648674,0.04710952566214672,-0.04991363447840862,0.025601652016562757
ADS,Bm6,iter3,0,-0.012237846893781852,0.5843983291152088,-0.019773790943447736,0.3767802302359845
ADS,Bm7,iter1,0,-0.003312850591257613,0.882293076828335,0.004923463230865808,0.8258340459707076
ADS,Bm7,iter2,0,-0.04551497287260025,0.041823343462196544,-0.05111104427776107,0.022264766803745055
ADS,Bm7,iter3,0,0.00023404218337956702,0.9916541670080278,-0.014719844179961045,0.5105924072883473
ADS,Bm8,iter1,0,0.007283335772169333,0.744786518423988,0.018552918138229534,0.40695482524430626
ADS,Bm8,iter2,0,-0.04720947678656278,0.034761211453527896,-0.05815111453777863,0.009290577221143244
ADS,Bm8,iter3,0,-0.0005886124075407482,0.9790123979148134,-0.01303465375866344,0.5601708532711441
ADS,Bm9,iter1,0,-0.014423377050618923,0.519145403748814,-9.683552420888105e-05,0.9965468390947818
ADS,Bm9,iter2,0,-0.04208117789083271,0.05989246615376154,-0.05188809547202387,0.02030743053680113
ADS,Bm9,iter3,0,0.011719022606905027,0.6004308994233278,0.0077482174370543605,0.7291177314053461
ADS,Bm05,iter1,0.1,0.0620216511892316,0.0055264558991426765,0.05501366425341606,0.013870057314623705
ADS,Bm05,iter2,0.1,0.0231171727007823,0.30145270089901605,0.017882599470649865,0.4241175844062687
ADS,Bm05,iter3,0.1,0.08352587610311818,0.0001843196036362647,0.06376264444066111,0.004335327671826226
ADS,Bm10,iter1,0.1,0.04967859113345384,0.026305143558083277,0.0364284856071214,0.10338640140679119
ADS,Bm10,iter2,0.1,0.08325648867062521,0.00019339746832723845,0.07894323773580943,0.00040969655595278444
ADS,Bm10,iter3,0.1,0.09807256058498293,1.113906038274453e-05,0.09757014789253697,1.2357997296847473e-05
ADS,Bm1,iter1,0.1,0.07012642683990469,0.0017007457806313827,0.054825333206333295,0.014199559511216814
ADS,Bm1,iter2,0.1,0.06500779520066491,0.0036317159315818353,0.05117116129279032,0.022107691111324525
ADS,Bm1,iter3,0.1,0.07487717536710506,0.000804561441353669,0.05503839175959793,0.01382729920412897
ADS,Bm2,iter1,0.1,0.04551658132738383,0.041816103461848456,0.025168765792191447,0.2605653279601647
ADS,Bm2,iter2,0.1,0.07842234951644964,0.00044748578558224613,0.07042735610683902,0.0016240534754035593
ADS,Bm2,iter3,0.1,0.038497403262774246,0.08521129017881258,0.026985156746289183,0.22771028635213156
ADS,Bm3,iter1,0.1,0.041835737600856,0.06140049889539345,0.02135339633834908,0.3398484602449241
ADS,Bm3,iter2,0.1,0.07465631917142573,0.0008338456977687084,0.06927180381795095,0.001937060068723059
ADS,Bm3,iter3,0.1,0.047615646605649,0.03322837775158577,0.03894817423704356,0.08161575138637547
ADS,Bm4,iter1,0.1,0.06167238925734558,0.005798292482514568,0.049057905264476315,0.02824363541273214
ADS,Bm4,iter2,0.1,0.06581336189908035,0.003233560227107928,0.05262799465699867,0.018584843829111804
ADS,Bm4,iter3,0.1,0.05587646485117863,0.012445230590613416,0.03921813980453495,0.07952194751566391
ADS,Bm5,iter1,0.1,0.060627315779455584,0.006685117341922078,0.044897060224265053,0.0446842566672189
ADS,Bm5,iter2,0.1,0.0680634978833065,0.002322773198131895,0.06447162861790716,0.003920887111486786
ADS,Bm5,iter3,0.1,0.07056309272389147,0.0015905126782383091,0.06777856844464211,0.002423422191419872
ADS,Bm6,iter1,0.1,0.05241588699127279,0.01906509252652476,0.03383853845963461,0.13033235559234455
ADS,Bm6,iter2,0.1,0.07634028430779065,0.0006333996286965283,0.07497626474406618,0.0007917351939758358
