Model,Run,Iter,Mut_corr,pearson,r_pval,spearman,rho_pval
ADS,Bm05,iter1,0,0.03257124696063482,0.1453632868872001,0.054733651683412925,0.014362447907769239
ADS,Bm05,iter2,0,0.05738687402257433,0.010260330418195374,0.08420617955154489,0.00016314428107836408
ADS,Bm05,iter3,0,0.04552191157359029,0.04179211845600862,0.08151455187863797,0.00026302085574946623
ADS,Bm10,iter1,0,0.06845548004430839,0.002190555228882463,0.10538430384607596,2.3223107182911014e-06
ADS,Bm10,iter2,0,0.11521019773129146,2.387136585684011e-07,0.14540839385209847,6.422952605147336e-11
ADS,Bm10,iter3,0,0.08769684150298482,8.599845218049434e-05,0.10497437924359482,2.5428271490345566e-06
ADS,Bm1,iter1,0,0.030387514154844194,0.17432568269333815,0.06914510328627582,0.0019745531722084966
ADS,Bm1,iter2,0,0.09362292183416947,2.7463449771238334e-05,0.14477688169422043,7.776088486757771e-11
ADS,Bm1,iter3,0,0.08230281219495916,0.00022902169717629718,0.1262529420632355,1.467193366185883e-08
ADS,Bm2,iter1,0,0.0429655051411352,0.05471132709546486,0.08539971784992945,0.00013141541970962213
ADS,Bm2,iter2,0,0.0783447267501064,0.00045338781277216324,0.11728689082172271,1.4396635710987053e-07
ADS,Bm2,iter3,0,0.05337608532019938,0.016974454878987542,0.0901924140481035,5.3624653385322145e-05
ADS,Bm3,iter1,0,0.06606642287564582,0.0031169459684538517,0.10979328644832162,8.569865290963891e-07
ADS,Bm3,iter2,0,0.08464574645975428,0.0001507022603414346,0.11973892493473123,7.83564746325625e-08
ADS,Bm3,iter3,0,0.09427628587578546,2.411402744264003e-05,0.1230998452749613,3.3370170980669827e-08
ADS,Bm4,iter1,0,0.03133707615186664,0.16124262119318797,0.06685296021324005,0.002778535489762827
ADS,Bm4,iter2,0,0.07141921741815441,0.0013932321939714013,0.08930739432684859,6.349124725301313e-05
ADS,Bm4,iter3,0,0.0699737194412246,0.001740923873715601,0.0976183624045906,1.2235718231025371e-05
ADS,Bm5,iter1,0,0.03636090093997356,0.10402841883400836,0.07007903651975914,0.0017131222723463582
ADS,Bm5,iter2,0,0.087421002837518,9.053983105679637e-05,0.11293490973372745,4.1129983776732114e-07
ADS,Bm5,iter3,0,0.0688821127581748,0.002054510545919907,0.08037439409359852,0.0003206402403059803
ADS,Bm6,iter1,0,0.0706967824678745,0.0015581016341418242,0.10374235543558885,3.3330937533910633e-06
ADS,Bm6,iter2,0,0.10203189348372124,4.828867369767361e-06,0.11689215072303769,1.5859779860898568e-07
ADS,Bm6,iter3,0,0.091869170654469,3.877684482285753e-05,0.10667034116758528,1.7433270217153644e-06
ADS,Bm7,iter1,0,0.060366505188130845,0.006924630443975875,0.11165163541290885,5.564506630768942e-07
ADS,Bm7,iter2,0,0.11416858480077956,3.0662497691518085e-07,0.1454633523658381,6.316726672435913e-11
ADS,Bm7,iter3,0,0.08252107960182423,0.00022036322686357649,0.10847402411850603,1.159553858060092e-06
ADS,Bm8,iter1,0,0.09495204580983628,2.1060310186245143e-05,0.14150190387547595,2.0679537325087288e-10
ADS,Bm8,iter2,0,0.08448880752527185,0.00015503826657737256,0.11474566218641553,2.6698436635954323e-07
ADS,Bm8,iter3,0,0.08205732181445063,0.00023914091787657075,0.10748432987108245,1.4514767557982367e-06
ADS,Bm9,iter1,0,0.10150072681186535,5.411627127663708e-06,0.14534744583686146,6.542797292591843e-11
ADS,Bm9,iter2,0,0.10122310064881218,5.742411176269417e-06,0.12871680517920128,7.611791800061031e-09
ADS,Bm9,iter3,0,0.07304045119212574,0.001080073582259938,0.10167085491771374,5.218017037233825e-06
ADS,Bm05,iter1,0.1,0.05518619686966221,0.013574135794607877,0.09215041703760425,3.6704802012719006e-05
ADS,Bm05,iter2,0.1,0.07216493630340523,0.0012400357174186217,0.11839837609959401,1.0943668130483081e-07
ADS,Bm05,iter3,0.1,0.09378263773993334,2.660607430146965e-05,0.15847681561920388,1.01869961756623e-12
ADS,Bm10,iter1,0.1,0.0758547051839529,0.000686043027014476,0.0940485940121485,2.523456239996992e-05
ADS,Bm10,iter2,0.1,0.1227702872950398,3.632037436184504e-08,0.14532635733158933,6.58477125229285e-11
ADS,Bm10,iter3,0.1,0.06268947716347097,0.0050384579863783936,0.09057290714322677,4.984542353921675e-05
ADS,Bm1,iter1,0.1,0.13314959994743056,2.2653019666155404e-09,0.17786742396685598,1.1150930351301575e-15
ADS,Bm1,iter2,0.1,0.1285080515058973,8.050875331586056e-09,0.16573330893332722,8.729900451649745e-14
ADS,Bm1,iter3,0.1,0.08986153274489059,5.7130147606648675e-05,0.12681474170368542,1.2646703198581396e-08
ADS,Bm2,iter1,0.1,0.08053054167487507,0.0003121049433184874,0.148083436020859,2.8315699808480826e-11
ADS,Bm2,iter2,0.1,0.08065445031071103,0.0003054836451775781,0.13062500365625093,4.5399485723182194e-09
ADS,Bm2,iter3,0.1,0.0636825414809425,0.004384565069364727,0.11517081929270481,2.4099338599652435e-07
ADS,Bm3,iter1,0.1,0.06835299332938002,0.0022244423228685276,0.0987793011948253,9.61702342727153e-06
ADS,Bm3,iter2,0.1,0.08579207509951538,0.0001223228080912738,0.13990579097644773,3.304096690638542e-10
ADS,Bm3,iter3,0.1,0.0667639613206357,0.002815069711296971,0.09840395910098977,1.0398764018085162e-05
ADS,Bm4,iter1,0.1,0.07190137542847479,0.0012923094519237846,0.10850002062500516,1.1527042623112086e-06
ADS,Bm4,iter2,0.1,0.08030958584751503,0.0003242464785260941,0.12070613867653465,6.143421891970772e-08
ADS,Bm4,iter3,0.1,0.09866475753427467,9.849435386404745e-06,0.12523642780910696,1.916458954512794e-08
ADS,Bm5,iter1,0.1,0.08360134631807592,0.00018184909999788022,0.11587097746774437,2.0342679969644245e-07
ADS,Bm5,iter2,0.1,0.10128043545965848,5.672552142122733e-06,0.13379036144759038,1.8949125240467016e-09
ADS,Bm5,iter3,0.1,0.07641236911806468,0.000625912692500582,0.10610679252669812,1.9775616840671856e-06
ADS,Bm6,iter1,0.1,0.08246830333282465,0.0002224282059309221,0.12424078306019579,2.4845183582903527e-08
