,Model,Comparison,Run,Mut_sd,KS stats
99,ADS,WGD,Bm8,0.35,0.20601190476190467
100,ADS,WGD,Bm9,0.01,0.14879336734693874
101,ADS,WGD,Bm9,0.025,0.1408707482993197
102,ADS,WGD,Bm9,0.05,0.1286709183673469
103,ADS,WGD,Bm9,0.075,0.1109336734693877
104,ADS,WGD,Bm9,0.1,0.10552465986394555
105,ADS,WGD,Bm9,0.125,0.11369642857142855
106,ADS,WGD,Bm9,0.15,0.11966836734693875
107,ADS,WGD,Bm9,0.2,0.1329404761904762
108,ADS,WGD,Bm9,0.25,0.15767602040816325
109,ADS,WGD,Bm9,0.35,0.20783928571428567
110,Minimal,WGD,Bm05,0.01,0.26279846938775503
111,Minimal,WGD,Bm05,0.025,0.26182227891156457
112,Minimal,WGD,Bm05,0.05,0.2463971088435374
113,Minimal,WGD,Bm05,0.075,0.2326445578231293
114,Minimal,WGD,Bm05,0.1,0.2312551020408163
115,Minimal,WGD,Bm05,0.125,0.23037074829931972
116,Minimal,WGD,Bm05,0.15,0.2303069727891157
117,Minimal,WGD,Bm05,0.2,0.2371173469387755
118,Minimal,WGD,Bm05,0.25,0.24141836734693878
119,Minimal,WGD,Bm05,0.35,0.2779430272108843
120,Minimal,WGD,Bm1,0.01,0.2007746598639455
121,Minimal,WGD,Bm1,0.025,0.19703571428571423
122,Minimal,WGD,Bm1,0.05,0.1875646258503401
123,Minimal,WGD,Bm1,0.075,0.1702797619047619
124,Minimal,WGD,Bm1,0.1,0.16842261904761902
125,Minimal,WGD,Bm1,0.125,0.16880527210884347
126,Minimal,WGD,Bm1,0.15,0.1687142857142857
127,Minimal,WGD,Bm1,0.2,0.17989115646258502
128,Minimal,WGD,Bm1,0.25,0.18992687074829925
129,Minimal,WGD,Bm1,0.35,0.22763860544217684
130,Minimal,WGD,Bm10,0.01,0.15563690476190475
131,Minimal,WGD,Bm10,0.025,0.15338520408163261
132,Minimal,WGD,Bm10,0.05,0.1341062925170068
133,Minimal,WGD,Bm10,0.075,0.11516241496598635
134,Minimal,WGD,Bm10,0.1,0.11476360544217683
135,Minimal,WGD,Bm10,0.125,0.11888435374149657
136,Minimal,WGD,Bm10,0.15,0.12753486394557825
137,Minimal,WGD,Bm10,0.2,0.14307908163265304
138,Minimal,WGD,Bm10,0.25,0.16586649659863942
139,Minimal,WGD,Bm10,0.35,0.22211054421768703
140,Minimal,WGD,Bm2,0.01,0.14246003401360538
141,Minimal,WGD,Bm2,0.025,0.1305272108843537
142,Minimal,WGD,Bm2,0.05,0.12182993197278907
143,Minimal,WGD,Bm2,0.075,0.10924404761904756
144,Minimal,WGD,Bm2,0.1,0.1075365646258503
145,Minimal,WGD,Bm2,0.125,0.11316496598639453
146,Minimal,WGD,Bm2,0.15,0.11464455782312921
147,Minimal,WGD,Bm2,0.2,0.12487670068027208
148,Minimal,WGD,Bm2,0.25,0.13742006802721085
149,Minimal,WGD,Bm2,0.35,0.19057738095238094
150,Minimal,WGD,Bm3,0.01,0.11764370748299315
151,Minimal,WGD,Bm3,0.025,0.10825510204081627
152,Minimal,WGD,Bm3,0.05,0.09102976190476185
153,Minimal,WGD,Bm3,0.075,0.08175425170068022
154,Minimal,WGD,Bm3,0.1,0.07220833333333328
155,Minimal,WGD,Bm3,0.125,0.07844557823129249
156,Minimal,WGD,Bm3,0.15,0.08180272108843535
157,Minimal,WGD,Bm3,0.2,0.09528741496598635
158,Minimal,WGD,Bm3,0.25,0.10749829931972782
159,Minimal,WGD,Bm3,0.35,0.17666666666666667
160,Minimal,WGD,Bm4,0.01,0.11509693877551018
161,Minimal,WGD,Bm4,0.025,0.11397619047619045
162,Minimal,WGD,Bm4,0.05,0.0893928571428571
163,Minimal,WGD,Bm4,0.075,0.07579761904761899
164,Minimal,WGD,Bm4,0.1,0.0687848639455782
165,Minimal,WGD,Bm4,0.125,0.06939540816326525
166,Minimal,WGD,Bm4,0.15,0.06930017006802718
167,Minimal,WGD,Bm4,0.2,0.08630442176870745
168,Minimal,WGD,Bm4,0.25,0.11421343537414962
169,Minimal,WGD,Bm4,0.35,0.18505017006802715
170,Minimal,WGD,Bm5,0.01,0.12187755102040815
171,Minimal,WGD,Bm5,0.025,0.11657908163265303
172,Minimal,WGD,Bm5,0.05,0.09955272108843534
173,Minimal,WGD,Bm5,0.075,0.08178231292517002
174,Minimal,WGD,Bm5,0.1,0.07730272108843535
175,Minimal,WGD,Bm5,0.125,0.08073554421768706
176,Minimal,WGD,Bm5,0.15,0.0877159863945578
