Model,Mut_sigma,Mut_ratio,Mut_alpha,Mut_corr,Iter,Folder,Set,Type,rho_fold,p-val_fold,rho_signed,p-val_signed,rho_ratio,p-val_ratio
Mixed,0.25,4.0,0,0,Bm4_iter3,25_percent,Mut_SD_WGD,All,0.8024462501194001,0.0,0.423168675075209,1.880772755092651e-216,0.969542387702782,0.0
Mixed,0.25,4.0,0,0,Bm4_iter3,25_percent,Mut_SD_WGD,True duplicates,0.1998667862293685,6.711408476308849e-15,-0.0700761680154369,9.376305317429436e-06,0.9263314308363088,0.0
No Cost,0.25,4.0,0,0,Bm4_iter3,25_percent,Mut_SD_WGD,All,0.8646291656686665,0.0,0.4275151857890479,2.347503979174307e-221,0.8789664430986309,0.0
No Cost,0.25,4.0,0,0,Bm4_iter3,25_percent,Mut_SD_WGD,True duplicates,0.4022448915197052,6.250847410780288e-57,-0.1233594376006519,8.132196562916666e-15,0.3997191621630589,3.545721435267722e-56
ADS,0.25,4.0,0,0,Bm4_iter3,25_percent,Mut_SD_WGD,All,0.8508182363549179,0.0,0.3964491106303248,7.510160273821296e-188,0.8674645645223305,0.0
ADS,0.25,4.0,0,0,Bm4_iter3,25_percent,Mut_SD_WGD,True duplicates,0.4334375710302727,6.38130293897871e-70,-0.1304049706873912,1.1862806023213955e-16,0.4408268110700208,1.5589231498781003e-72
Minimal,0.25,4.0,0,0,Bm4_iter3,25_percent,Mut_SD_WGD,All,0.847445430951269,0.0,0.4111394135512436,2.9822607921331665e-203,0.8516534894805584,0.0
Minimal,0.25,4.0,0,0,Bm4_iter3,25_percent,Mut_SD_WGD,True duplicates,0.4132082454035823,9.092386776513416e-63,-0.1119064548116932,1.3017247400120293e-12,0.3603446551142454,4.3003689637851607e-47
Mixed,0.25,5.0,0,0,Bm5_iter3,25_percent,Mut_SD_WGD,All,0.8064310003249601,0.0,0.4187183411910331,1.6630902817264555e-211,0.97381206211393,0.0
Mixed,0.25,5.0,0,0,Bm5_iter3,25_percent,Mut_SD_WGD,True duplicates,0.2243923722321066,2.047896872296788e-18,-0.0808231416993859,3.229937043670852e-07,0.9338220567027246,0.0
No Cost,0.25,5.0,0,0,Bm5_iter3,25_percent,Mut_SD_WGD,All,0.8497269166283068,0.0,0.4242788838167251,1.0681997488133364e-217,0.8867412408865988,0.0
No Cost,0.25,5.0,0,0,Bm5_iter3,25_percent,Mut_SD_WGD,True duplicates,0.357576099951351,6.915638142977665e-45,-0.1190436584991616,6.224919119236561e-14,0.443943818897294,6.262080242016682e-71
ADS,0.25,5.0,0,0,Bm5_iter3,25_percent,Mut_SD_WGD,All,0.8474791307966609,0.0,0.4065502080131022,2.341436323809207e-198,0.8605972341435576,0.0
ADS,0.25,5.0,0,0,Bm5_iter3,25_percent,Mut_SD_WGD,True duplicates,0.4362649845461219,1.824734785444618e-71,-0.088378932180558,2.0235130166315912e-08,0.407995365119535,6.933630517794815e-62
Minimal,0.25,5.0,0,0,Bm5_iter3,25_percent,Mut_SD_WGD,All,0.8468251602600257,0.0,0.4251524739862269,1.1095909474591308e-218,0.8819076823532292,0.0
Minimal,0.25,5.0,0,0,Bm5_iter3,25_percent,Mut_SD_WGD,True duplicates,0.4122104382630976,1.0921110060889859e-62,-0.0728968045442015,3.9073079866467366e-06,0.5006334727885194,4.3051178574451985e-96
Mixed,0.25,10.0,0,0,Bm10_iter2,25_percent,Mut_SD_WGD,All,0.8096057413403629,0.0,0.3854764887135261,7.586605993686855e-177,0.9794035515205683,0.0
Mixed,0.25,10.0,0,0,Bm10_iter2,25_percent,Mut_SD_WGD,True duplicates,0.3060907080254499,1.3376453830586744e-33,-0.1126925081474932,9.655964633338829e-13,0.9261408088346986,0.0
No Cost,0.25,10.0,0,0,Bm10_iter2,25_percent,Mut_SD_WGD,All,0.8442849253575881,0.0,0.4413018223901386,2.1476830012407053e-237,0.9219359094297456,0.0
No Cost,0.25,10.0,0,0,Bm10_iter2,25_percent,Mut_SD_WGD,True duplicates,0.3608544922128395,5.6038625335060386e-45,-0.0932649597735508,4.865869929522063e-09,0.596919566196341,5.1089633450314885e-138
ADS,0.25,10.0,0,0,Bm10_iter2,25_percent,Mut_SD_WGD,All,0.8443570467131275,0.0,0.4348782141804872,7.8986535679563425e-230,0.9111543642806984,0.0
ADS,0.25,10.0,0,0,Bm10_iter2,25_percent,Mut_SD_WGD,True duplicates,0.4273356842851583,1.8857514704268937e-66,-0.0623435976167067,8.416706594178682e-05,0.5843788309024419,1.2567381771398586e-135
Minimal,0.25,10.0,0,0,Bm10_iter2,25_percent,Mut_SD_WGD,All,0.8390016695053556,0.0,0.4029897165587576,1.301644276576985e-194,0.91261643606663,0.0
Minimal,0.25,10.0,0,0,Bm10_iter2,25_percent,Mut_SD_WGD,True duplicates,0.4274846246312708,1.6381449658182758e-67,-0.0886082745950707,2.0167003501379146e-08,0.6093286065988504,9.46756479670417e-153
Mixed,0.25,6.0,0,0,Bm6_iter3,25_percent,Mut_SD_WGD,All,0.7923050895848145,0.0,0.4060063935159227,8.799221829776104e-198,0.9745127124660342,0.0
Mixed,0.25,6.0,0,0,Bm6_iter3,25_percent,Mut_SD_WGD,True duplicates,0.2018154016240096,2.639114718998268e-15,-0.0791036647044202,5.358790631349159e-07,0.9212202197916785,0.0
No Cost,0.25,6.0,0,0,Bm6_iter3,25_percent,Mut_SD_WGD,All,0.8530634010021443,0.0,0.4301440898484939,2.341590706112558e-224,0.8964020880003342,0.0
No Cost,0.25,6.0,0,0,Bm6_iter3,25_percent,Mut_SD_WGD,True duplicates,0.3687339964316915,1.226333956805171e-47,-0.1006335227155123,2.426579820251526e-10,0.4813712529472553,1.8679228172654779e-84
ADS,0.25,6.0,0,0,Bm6_iter3,25_percent,Mut_SD_WGD,All,0.8348350163896027,0.0,0.4070996883646954,6.129717015296426e-199,0.8730654834344775,0.0
ADS,0.25,6.0,0,0,Bm6_iter3,25_percent,Mut_SD_WGD,True duplicates,0.3878880155508687,1.665037547149705e-55,-0.0925675246645605,4.234051652107633e-09,0.4530335583290555,1.9210804952777138e-77
Minimal,0.25,6.0,0,0,Bm6_iter3,25_percent,Mut_SD_WGD,All,0.8508248419239749,0.0,0.4027359212391594,2.3971532253929122e-194,0.8884730097396817,0.0
Minimal,0.25,6.0,0,0,Bm6_iter3,25_percent,Mut_SD_WGD,True duplicates,0.4560234341524063,4.1078837434674537e-78,-0.1123879197687431,9.893964329323914e-13,0.5181827128241573,4.142744580510117e-104
Mixed,0.25,7.0,0,0,Bm7_iter3,25_percent,Mut_SD_WGD,All,0.7975992623358822,0.0,0.3969314916558365,2.4109941133739408e-188,0.9790231149796984,0.0
Mixed,0.25,7.0,0,0,Bm7_iter3,25_percent,Mut_SD_WGD,True duplicates,0.2344141943536643,2.0847639692012003e-20,-0.0799665610129844,3.853008681435478e-07,0.9328854104168092,0.0
No Cost,0.25,7.0,0,0,Bm7_iter3,25_percent,Mut_SD_WGD,All,0.8534806823489093,0.0,0.4281836021393645,4.0745798819319063e-222,0.908617662178826,0.0
No Cost,0.25,7.0,0,0,Bm7_iter3,25_percent,Mut_SD_WGD,True duplicates,0.4035899415950596,2.8953548076346277e-58,-0.0973843946040263,8.244527731504316e-10,0.5636825470348149,3.9984784843444476e-123
ADS,0.25,7.0,0,0,Bm7_iter3,25_percent,Mut_SD_WGD,All,0.8385034511525523,0.0,0.4078205681931334,1.0523940046374806e-199,0.902514475026316,0.0
ADS,0.25,7.0,0,0,Bm7_iter3,25_percent,Mut_SD_WGD,True duplicates,0.403101713558928,1.1614283960769694e-59,-0.0989693069512567,3.563652396107686e-10,0.5647236226019838,5.176702813611509e-127
Minimal,0.25,7.0,0,0,Bm7_iter3,25_percent,Mut_SD_WGD,All,0.8384331591733056,0.0,0.397532918387893,5.831924407677959e-189,0.8916545439447271,0.0
Minimal,0.25,7.0,0,0,Bm7_iter3,25_percent,Mut_SD_WGD,True duplicates,0.4180681283742476,1.909787455835676e-65,-0.1027130414232418,6.610747664629304e-11,0.5425440073493351,3.1758677337672306e-117
Mixed,0.25,1.0,0,0,Bm1_iter3,25_percent,Mut_SD_WGD,All,0.8083034092005457,0.0,0.455181388370642,2.6151799338846424e-254,0.3278854965576795,9.777145915420215e-64
Mixed,0.25,1.0,0,0,Bm1_iter3,25_percent,Mut_SD_WGD,True duplicates,0.1490343936469488,9.839914601275774e-09,-0.0310637704536074,0.0504494700897983,0.9257644783346002,0.0
No Cost,0.25,1.0,0,0,Bm1_iter3,25_percent,Mut_SD_WGD,All,0.883375667740107,0.0,0.4373267512251456,1.0788904675014547e-232,0.0999169757307161,5.560704319436872e-07
