Model,Mut_sigma,Mut_ratio,Mut_alpha,Mut_corr,Iter,Folder,Set,Type,rho_fold,p-val_fold,rho_signed,p-val_signed,rho_ratio,p-val_ratio
Mixed,0.025,10.0,0,0,Bm10_iter2,2_5_percent,Mut_SD_WGD_1e5,All,0.1685345142615223,2.1897141853078328e-17,0.1685473881306018,3.5072781822340404e-33,0.8372380641980903,0.0
Mixed,0.025,10.0,0,0,Bm10_iter2,2_5_percent,Mut_SD_WGD_1e5,True duplicates,0.1204535631251783,1.7256550436692e-08,0.1131343173283951,8.496061418718922e-15,0.8213990399048196,0.0
No Cost,0.025,10.0,0,0,Bm10_iter2,2_5_percent,Mut_SD_WGD_1e5,All,0.1750048615367778,1.207927231804433e-18,-0.1782352676599725,5.777382188609596e-37,0.8893495574639293,0.0
No Cost,0.025,10.0,0,0,Bm10_iter2,2_5_percent,Mut_SD_WGD_1e5,True duplicates,0.1531300244682825,4.0534621852557937e-13,-0.1789957036141909,2.8032419183598725e-35,0.871162005502549,0.0
ADS,0.025,10.0,0,0,Bm10_iter2,2_5_percent,Mut_SD_WGD_1e5,All,0.131647487559598,3.8991572706894705e-11,0.0385652109755264,0.006385400236179,0.7943597341375574,0.0
ADS,0.025,10.0,0,0,Bm10_iter2,2_5_percent,Mut_SD_WGD_1e5,True duplicates,0.1126630656584777,9.529270917749629e-08,-0.0073909463056819,0.6112859989766798,0.7527788413115222,0.0
Minimal,0.025,10.0,0,0,Bm10_iter2,2_5_percent,Mut_SD_WGD_1e5,All,0.0992967273114763,6.536510831600135e-07,0.0237660841628907,0.0928925307500051,0.7965733301397329,0.0
Minimal,0.025,10.0,0,0,Bm10_iter2,2_5_percent,Mut_SD_WGD_1e5,True duplicates,0.0844808504726472,5.924583597097189e-05,-0.0210372587988205,0.146979783304318,0.7632662785731027,0.0
Mixed,0.025,0.5,0,0,Bm05_iter1,2_5_percent,Mut_SD_WGD_1e5,All,0.2979360046617608,2.0186380248980013e-52,0.2003654895491005,1.901143362280102e-46,0.4381067115050738,9.11054754700492e-118
Mixed,0.025,0.5,0,0,Bm05_iter1,2_5_percent,Mut_SD_WGD_1e5,True duplicates,0.1717743484942695,3.5181684613523948e-15,0.0564638608036527,0.0001337344271434,0.6674995145341334,2.756745663427014e-267
No Cost,0.025,0.5,0,0,Bm05_iter1,2_5_percent,Mut_SD_WGD_1e5,All,0.2071983468797355,1.2049104552909202e-25,0.0305413279910253,0.0308066089469919,0.4460170551707288,1.7244264762356564e-122
No Cost,0.025,0.5,0,0,Bm05_iter1,2_5_percent,Mut_SD_WGD_1e5,True duplicates,0.1426244787220244,2.214304259181831e-11,-0.058008376779993,7.154408133824712e-05,0.4617553892433088,1.261769295110824e-115
ADS,0.025,0.5,0,0,Bm05_iter1,2_5_percent,Mut_SD_WGD_1e5,All,0.1063054219368675,9.945591614622757e-08,0.0528454873333137,0.0001851817659787,-0.3304462240073958,9.14738783052175e-65
ADS,0.025,0.5,0,0,Bm05_iter1,2_5_percent,Mut_SD_WGD_1e5,True duplicates,0.0940319956307897,8.674239691549603e-06,-0.0274232129710606,0.0593101149053335,-0.3082339291842199,2.75026901119087e-50
Minimal,0.025,0.5,0,0,Bm05_iter1,2_5_percent,Mut_SD_WGD_1e5,All,0.1003671174987388,4.942083362337943e-07,0.0466789517251331,0.0009610944238757,-0.3373883161261306,1.32397433939203e-67
Minimal,0.025,0.5,0,0,Bm05_iter1,2_5_percent,Mut_SD_WGD_1e5,True duplicates,0.0932955015912311,1.0390896653620565e-05,-0.0317854380638179,0.0288820364728081,-0.3071117086754951,7.877803421635608e-50
Mixed,0.025,8.0,0,0,Bm8_iter1,2_5_percent,Mut_SD_WGD_1e5,All,0.2025053339048534,1.5113866252216284e-24,0.1789556608927261,2.961637188772294e-37,0.8043027276004365,0.0
Mixed,0.025,8.0,0,0,Bm8_iter1,2_5_percent,Mut_SD_WGD_1e5,True duplicates,0.137286381267671,1.5264941681814424e-10,0.0958138753809518,5.6819601245080516e-11,0.7828713577183316,0.0
No Cost,0.025,8.0,0,0,Bm8_iter1,2_5_percent,Mut_SD_WGD_1e5,All,0.2071823555811769,1.2154674855782297e-25,-0.1737917303876107,3.345974575222751e-35,0.8754894746063161,0.0
No Cost,0.025,8.0,0,0,Bm8_iter1,2_5_percent,Mut_SD_WGD_1e5,True duplicates,0.1903538585680607,1.3679269772232837e-19,-0.1929263976775117,7.653695701667798e-41,0.8453775617544447,0.0
ADS,0.025,8.0,0,0,Bm8_iter1,2_5_percent,Mut_SD_WGD_1e5,All,0.139516743986679,2.441072530077431e-12,0.0338086578912549,0.0168154263202947,0.7444692165870748,0.0
ADS,0.025,8.0,0,0,Bm8_iter1,2_5_percent,Mut_SD_WGD_1e5,True duplicates,0.1241687000603366,3.9946252670996654e-09,-0.0184597454875847,0.2042714328561045,0.6922769705979909,3.741875e-318
Minimal,0.025,8.0,0,0,Bm8_iter1,2_5_percent,Mut_SD_WGD_1e5,All,0.153361537497846,1.259241106518426e-14,0.0358088749217266,0.0113333537789412,0.749791819166691,0.0
Minimal,0.025,8.0,0,0,Bm8_iter1,2_5_percent,Mut_SD_WGD_1e5,True duplicates,0.1299545576030281,7.555733436429418e-10,-0.0206310345025552,0.156168880714157,0.7007363582271888,0.0
Mixed,0.025,9.0,0,0,Bm9_iter1,2_5_percent,Mut_SD_WGD_1e5,All,0.2022175243228039,1.7614243058445173e-24,0.1855728794295358,5.597981734499033e-40,0.8170273445483751,0.0
Mixed,0.025,9.0,0,0,Bm9_iter1,2_5_percent,Mut_SD_WGD_1e5,True duplicates,0.1542000285505821,4.810009957862589e-13,0.1127377103868994,1.0677174503822156e-14,0.7913597751221797,0.0
No Cost,0.025,9.0,0,0,Bm9_iter1,2_5_percent,Mut_SD_WGD_1e5,All,0.2113647222023555,1.2111025623081132e-26,-0.1772373445634994,1.4510829947391651e-36,0.8822745583159294,0.0
No Cost,0.025,9.0,0,0,Bm9_iter1,2_5_percent,Mut_SD_WGD_1e5,True duplicates,0.1979667140248556,6.239159500036277e-21,-0.1947398758379893,1.9177236176249143e-41,0.8538829697882734,0.0
ADS,0.025,9.0,0,0,Bm9_iter1,2_5_percent,Mut_SD_WGD_1e5,All,0.1296086400013824,7.787763006217522e-11,0.0454235726590995,0.0013145382428209,0.7597058329129334,0.0
